layer,task,epoch,overlap_ratio,current_dead,historical_dead,intersection
layer4,0,1,1.0,34,82,34
layer4,0,2,1.0,68,82,68
layer4,0,3,1.0,2,82,2
layer4,0,4,1.0,4,82,4
layer4,0,6,1.0,2,82,2
layer4,0,7,1.0,1,82,1
layer4,0,8,1.0,1,82,1
layer4,0,10,1.0,3,82,3
layer4,0,11,1.0,3,82,3
layer4,0,12,1.0,5,82,5
layer4,0,13,1.0,3,82,3
layer4,0,15,1.0,22,82,22
layer4,0,16,1.0,9,82,9
layer4,0,17,1.0,3,82,3
layer4,0,19,1.0,25,82,25
layer4,1,0,0.4142857142857143,70,82,29
layer4,1,1,0.9583333333333334,48,123,46
layer4,1,2,1.0,38,125,38
layer4,1,3,0.9767441860465116,43,125,42
layer4,1,4,1.0,35,126,35
layer4,1,5,1.0,35,126,35
layer4,1,6,1.0,22,126,22
layer4,1,7,1.0,16,126,16
layer4,1,8,1.0,5,126,5
layer4,1,9,1.0,7,126,7
layer4,1,10,1.0,20,126,20
layer4,1,11,1.0,8,126,8
layer4,1,12,1.0,1,126,1
layer4,1,13,1.0,1,126,1
layer4,1,14,1.0,6,126,6
layer4,1,15,1.0,5,126,5
layer4,1,16,1.0,23,126,23
layer4,1,17,1.0,1,126,1
layer4,1,18,1.0,8,126,8
layer4,1,19,1.0,15,126,15
layer4,2,0,0.7642276422764228,123,126,94
layer3,2,1,1.0,2,1,1
layer4,2,1,0.9752066115702479,121,155,118
layer4,2,2,0.9906542056074766,107,158,106
layer4,2,3,1.0,107,159,107
layer4,2,4,1.0,106,159,106
layer4,2,5,1.0,103,159,103
layer4,2,6,0.99,100,159,99
layer4,2,7,1.0,99,160,99
layer4,2,8,1.0,98,160,98
layer4,2,9,1.0,90,160,90
layer4,2,10,1.0,96,160,96
layer4,2,11,1.0,88,160,88
layer4,2,12,1.0,93,160,93
layer4,2,13,1.0,88,160,88
layer4,2,14,1.0,103,160,103
layer4,2,15,1.0,95,160,95
layer4,2,16,1.0,99,160,99
layer4,2,17,1.0,95,160,95
layer4,2,18,1.0,91,160,91
layer4,2,19,1.0,109,160,109
layer3,3,0,0.0,4,2,0
layer4,3,0,1.0,146,160,146
layer3,3,1,1.0,1,6,1
layer4,3,1,1.0,141,160,141
layer4,3,2,1.0,138,160,138
layer4,3,3,1.0,138,160,138
layer4,3,4,1.0,141,160,141
layer4,3,5,1.0,140,160,140
layer4,3,6,1.0,135,160,135
layer4,3,7,1.0,140,160,140
layer4,3,8,1.0,130,160,130
layer4,3,9,1.0,125,160,125
layer4,3,10,1.0,133,160,133
layer4,3,11,1.0,129,160,129
layer4,3,12,1.0,128,160,128
layer4,3,13,1.0,139,160,139
layer4,3,14,1.0,129,160,129
layer4,3,15,1.0,129,160,129
layer4,3,16,1.0,130,160,130
layer4,3,17,1.0,129,160,129
layer4,3,18,1.0,126,160,126
layer4,3,19,1.0,134,160,134
layer3,4,0,0.3333333333333333,13,6,2
layer4,4,0,1.0,154,160,154
layer3,4,1,0.8333333333333334,6,17,5
layer4,4,1,1.0,152,160,152
layer4,4,2,1.0,144,160,144
layer4,4,3,1.0,144,160,144
layer4,4,4,1.0,143,160,143
layer4,4,5,1.0,145,160,145
layer4,4,6,1.0,145,160,145
layer4,4,7,1.0,139,160,139
layer4,4,8,1.0,139,160,139
layer4,4,9,1.0,142,160,142
layer4,4,10,1.0,138,160,138
layer4,4,11,1.0,129,160,129
layer4,4,12,1.0,137,160,137
layer3,4,13,1.0,1,18,1
layer4,4,13,1.0,133,160,133
layer4,4,14,1.0,134,160,134
layer4,4,15,1.0,128,160,128
layer4,4,16,1.0,138,160,138
layer4,4,17,1.0,131,160,131
layer4,4,18,1.0,127,160,127
layer4,4,19,1.0,137,160,137
