layer,task,epoch,overlap_ratio,current_dead,historical_dead,intersection
layer4,0,1,0.9259259259259259,54,60,50
layer4,0,2,0.9807692307692307,52,64,51
layer4,1,0,0.6410256410256411,39,65,25
layer4,1,1,1.0,34,79,34
layer4,1,2,0.9696969696969697,33,79,32
layer4,2,0,0.782608695652174,23,80,18
layer4,2,1,1.0,17,85,17
layer4,2,2,0.9545454545454546,22,85,21
layer4,3,0,0.8260869565217391,23,86,19
layer4,3,1,0.9411764705882353,17,90,16
layer4,3,2,1.0,12,91,12
layer4,4,0,1.0,2,91,2
layer4,4,1,1.0,2,91,2
layer4,4,2,1.0,1,91,1
