layer,task,epoch,overlap_ratio,current_dead,historical_dead,intersection
layer4,2,1,1.0,17,5,5
layer4,2,2,1.0,12,17,12
layer4,2,3,1.0,3,17,3
layer4,2,6,1.0,1,17,1
layer4,3,0,0.4117647058823529,91,17,7
layer4,3,1,1.0,80,101,80
layer4,3,2,1.0,83,101,83
layer4,3,3,1.0,41,101,41
layer4,3,4,1.0,67,101,67
layer4,3,5,1.0,31,101,31
layer4,3,6,1.0,37,101,37
layer4,3,7,1.0,34,101,34
layer4,3,8,1.0,18,101,18
layer4,3,9,1.0,9,101,9
layer4,4,0,0.900990099009901,136,101,91
layer4,4,1,1.0,122,146,122
layer4,4,2,1.0,110,146,110
layer4,4,3,1.0,100,146,100
layer4,4,4,1.0,101,146,101
layer4,4,5,1.0,95,146,95
layer4,4,6,1.0,95,146,95
layer4,4,7,1.0,65,146,65
layer4,4,8,1.0,63,146,63
layer4,4,9,1.0,79,146,79
