layer,task,epoch,overlap_ratio,current_dead,historical_dead,intersection
conv1,0,1,1.0,2,1,1
conv1,0,2,1.0,1,2,1
conv1,0,3,0.5,4,2,1
conv1,0,4,0.8,5,5,4
conv1,0,5,1.0,3,6,3
conv1,0,6,0.6666666666666666,6,6,4
conv1,0,7,0.8333333333333334,6,8,5
conv1,0,8,1.0,5,9,5
conv1,0,9,0.8571428571428571,7,9,6
conv1,1,0,0.8571428571428571,7,10,6
conv1,1,1,1.0,5,11,5
conv1,1,2,1.0,5,11,5
conv1,1,3,1.0,4,11,4
conv1,1,4,1.0,5,11,5
conv1,1,5,1.0,5,11,5
conv1,1,6,1.0,5,11,5
conv1,1,7,0.8571428571428571,7,11,6
conv1,1,8,1.0,6,12,6
conv1,1,9,1.0,4,12,4
conv1,2,0,0.7777777777777778,9,12,7
conv1,2,1,1.0,9,14,9
layer4,2,1,1.0,19,31,19
conv1,2,2,1.0,8,14,8
layer4,2,2,1.0,15,31,15
conv1,2,3,1.0,9,14,9
layer4,2,3,1.0,7,31,7
conv1,2,4,1.0,9,14,9
layer4,2,4,1.0,17,31,17
conv1,2,5,1.0,7,14,7
layer4,2,5,1.0,5,31,5
conv1,2,6,1.0,8,14,8
layer4,2,6,1.0,4,31,4
conv1,2,7,1.0,7,14,7
layer4,2,7,1.0,13,31,13
conv1,2,8,1.0,9,14,9
layer4,2,8,1.0,12,31,12
conv1,2,9,1.0,8,14,8
layer4,2,9,1.0,13,31,13
conv1,3,0,1.0,7,14,7
layer4,3,0,0.6666666666666666,9,31,6
conv1,3,1,1.0,8,14,8
layer4,3,1,1.0,9,34,9
conv1,3,2,1.0,7,14,7
layer4,3,2,0.7777777777777778,9,34,7
conv1,3,3,1.0,7,14,7
layer4,3,3,1.0,7,36,7
conv1,3,4,1.0,9,14,9
layer4,3,4,1.0,5,36,5
conv1,3,5,1.0,9,14,9
layer4,3,5,1.0,2,36,2
conv1,3,6,1.0,8,14,8
layer4,3,6,1.0,6,36,6
conv1,3,7,1.0,8,14,8
layer4,3,7,1.0,10,36,10
conv1,3,8,1.0,8,14,8
layer4,3,8,1.0,5,36,5
conv1,3,9,1.0,7,14,7
layer4,3,9,1.0,8,36,8
conv1,4,0,1.0,7,14,7
layer4,4,0,0.5,32,36,16
conv1,4,1,1.0,7,14,7
layer4,4,1,1.0,17,52,17
conv1,4,2,1.0,7,14,7
layer4,4,2,1.0,13,52,13
conv1,4,3,1.0,7,14,7
layer4,4,3,1.0,19,52,19
conv1,4,4,1.0,7,14,7
layer4,4,4,1.0,13,52,13
conv1,4,5,1.0,8,14,8
layer4,4,5,1.0,16,52,16
conv1,4,6,1.0,8,14,8
layer4,4,6,1.0,9,52,9
conv1,4,7,1.0,8,14,8
layer4,4,7,0.9375,16,52,15
conv1,4,8,1.0,8,14,8
layer4,4,8,1.0,9,53,9
conv1,4,9,1.0,8,14,8
layer4,4,9,1.0,11,53,11
