neuron_id,death_task,death_epoch
1,2,0
2,2,0
4,2,0
7,2,0
14,2,0
16,2,0
17,2,0
22,2,0
25,2,0
26,2,0
27,2,0
29,2,0
32,2,0
38,2,0
47,2,0
49,2,0
52,2,0
56,2,0
57,2,0
61,2,0
63,2,0
68,2,0
69,2,0
71,2,0
74,2,0
84,2,0
87,2,0
88,2,0
90,2,0
94,2,0
95,2,0
98,2,0
103,2,0
115,2,0
121,2,0
124,2,0
125,2,0
127,2,0
128,2,0
129,2,0
139,2,0
140,2,0
145,2,0
147,2,0
152,2,0
153,2,0
157,2,0
8,3,0
10,3,0
11,3,0
12,3,0
23,3,0
28,3,0
30,3,0
34,3,0
35,3,0
41,3,0
42,3,0
44,3,0
46,3,0
48,3,0
50,3,0
51,3,0
53,3,0
54,3,0
64,3,0
67,3,0
75,3,0
76,3,0
77,3,0
82,3,0
85,3,0
93,3,0
99,3,0
101,3,0
105,3,0
108,3,0
111,3,0
117,3,0
118,3,0
130,3,0
132,3,0
134,3,0
136,3,0
137,3,0
144,3,0
149,3,0
151,3,0
155,3,0
13,4,0
15,4,0
39,4,0
40,4,0
62,4,0
79,4,0
80,4,0
104,4,0
106,4,0
133,4,0
138,4,0
141,4,0
154,4,0
