layer,task,epoch,overlap_ratio,current_dead,historical_dead,intersection
layer4,2,1,0.9723756906077348,216,181,176
conv1,2,2,1.0,1,1,1
layer4,2,2,0.994535519125683,183,221,182
conv1,2,3,1.0,1,1,1
layer4,2,3,1.0,129,222,129
conv1,2,4,1.0,1,1,1
layer4,2,4,1.0,93,222,93
conv1,2,5,1.0,1,1,1
layer4,2,5,1.0,70,222,70
layer4,2,6,1.0,84,222,84
conv1,2,7,1.0,1,1,1
layer4,2,7,1.0,77,222,77
conv1,2,8,1.0,1,1,1
layer4,2,8,1.0,85,222,85
layer4,2,9,1.0,57,222,57
conv1,3,0,0.0,1,1,0
layer4,3,0,0.7927927927927928,334,222,176
conv1,3,1,1.0,1,2,1
layer4,3,1,0.9932432432432432,296,380,294
conv1,3,2,1.0,1,2,1
layer4,3,2,0.9925373134328358,268,382,266
conv1,3,3,1.0,2,2,2
layer4,3,3,1.0,259,384,259
conv1,3,4,1.0,1,2,1
layer4,3,4,1.0,168,384,168
conv1,3,5,1.0,2,2,2
layer4,3,5,1.0,44,384,44
conv1,3,6,1.0,2,2,2
layer4,3,6,1.0,161,384,161
conv1,3,7,1.0,2,2,2
layer4,3,7,1.0,95,384,95
conv1,3,8,1.0,2,2,2
layer4,3,8,1.0,6,384,6
conv1,3,9,1.0,3,2,2
layer4,3,9,1.0,55,384,55
conv1,4,0,0.6666666666666666,3,3,2
layer4,4,0,0.8984375,445,384,345
conv1,4,1,1.0,2,4,2
layer4,4,1,0.9953488372093023,430,484,428
conv1,4,2,1.0,2,4,2
layer4,4,2,1.0,402,486,402
conv1,4,3,1.0,2,4,2
layer4,4,3,1.0,370,486,370
conv1,4,4,1.0,2,4,2
layer4,4,4,1.0,397,486,397
conv1,4,5,1.0,2,4,2
layer4,4,5,1.0,369,486,369
conv1,4,6,1.0,2,4,2
layer4,4,6,1.0,359,486,359
conv1,4,7,1.0,2,4,2
layer4,4,7,1.0,332,486,332
conv1,4,8,1.0,3,4,3
layer4,4,8,1.0,345,486,345
conv1,4,9,1.0,3,4,3
layer4,4,9,1.0,250,486,250
