neuron_id,death_task,death_epoch
26,1,0
31,1,0
86,1,0
141,1,0
168,1,0
183,1,0
216,1,0
239,1,0
295,1,0
330,1,0
368,1,0
375,1,0
376,1,0
415,1,0
441,1,0
442,1,0
445,1,0
446,1,0
450,1,0
480,1,0
8,1,2
16,1,2
46,1,2
97,1,2
102,1,2
123,1,2
178,1,2
199,1,2
212,1,2
227,1,2
259,1,2
268,1,2
279,1,2
281,1,2
290,1,2
309,1,2
319,1,2
324,1,2
334,1,2
336,1,2
367,1,2
372,1,2
418,1,2
455,1,2
462,1,2
468,1,2
147,1,9
475,1,9
9,2,0
33,2,0
41,2,0
51,2,0
57,2,0
64,2,0
68,2,0
87,2,0
114,2,0
116,2,0
130,2,0
139,2,0
148,2,0
149,2,0
154,2,0
160,2,0
162,2,0
175,2,0
177,2,0
189,2,0
192,2,0
198,2,0
202,2,0
210,2,0
219,2,0
225,2,0
231,2,0
244,2,0
250,2,0
251,2,0
262,2,0
291,2,0
307,2,0
323,2,0
331,2,0
337,2,0
338,2,0
340,2,0
352,2,0
380,2,0
384,2,0
395,2,0
401,2,0
403,2,0
419,2,0
434,2,0
439,2,0
444,2,0
448,2,0
465,2,0
472,2,0
484,2,0
486,2,0
495,2,0
498,2,0
501,2,0
505,2,0
55,2,5
121,2,5
157,2,5
246,2,5
58,3,0
70,3,0
78,3,0
91,3,0
135,3,0
203,3,0
234,3,0
243,3,0
255,3,0
341,3,0
353,3,0
354,3,0
381,3,0
416,3,0
431,3,0
432,3,0
437,3,0
460,3,0
470,3,0
474,3,0
490,3,0
494,3,0
388,3,4
500,4,2
80,4,4
101,4,4
299,4,4
311,4,4
172,4,5
350,4,5
398,4,5
