layer,task,epoch,overlap_ratio,current_dead,historical_dead,intersection
conv1,0,1,1.0,3,1,1
conv1,0,2,1.0,2,3,2
layer4,0,2,0.8,85,105,68
conv1,0,3,1.0,5,3,3
layer4,0,3,0.7704918032786885,129,122,94
conv1,0,4,0.5,2,5,1
conv1,0,5,0.75,4,6,3
conv1,0,6,1.0,1,7,1
layer4,0,6,1.0,2,157,2
conv1,0,7,1.0,2,7,2
layer4,0,7,0.8333333333333334,30,157,25
conv1,0,8,0.0,1,7,0
conv1,0,9,0.6,5,8,3
conv1,1,0,0.6666666666666666,3,10,2
layer4,1,0,0.9876543209876543,459,162,160
conv1,1,1,0.42857142857142855,7,11,3
layer4,1,1,0.9910714285714286,448,461,444
conv1,1,2,0.7142857142857143,7,15,5
layer4,1,2,1.0,413,465,413
conv1,1,3,0.8,5,17,4
layer4,1,3,0.9849462365591398,468,465,458
conv1,1,4,0.5714285714285714,7,18,4
layer4,1,4,1.0,130,475,130
conv1,1,5,0.7777777777777778,9,21,7
layer4,1,5,0.9852631578947368,475,475,468
conv1,1,6,1.0,5,23,5
layer4,1,6,1.0,466,482,466
conv1,1,7,0.8571428571428571,7,23,6
layer4,1,7,1.0,458,482,458
conv1,1,8,0.8,10,24,8
layer4,1,8,1.0,461,482,461
conv1,1,9,0.75,8,26,6
layer4,1,9,1.0,459,482,459
conv1,2,0,1.0,8,28,8
layer4,2,0,0.9767981438515081,431,482,421
conv1,2,1,0.8333333333333334,6,28,5
layer4,2,1,1.0,287,492,287
conv1,2,2,0.9230769230769231,13,29,12
layer4,2,2,1.0,399,492,399
conv1,2,3,1.0,9,30,9
layer4,2,3,1.0,357,492,357
conv1,2,4,0.9090909090909091,11,30,10
layer4,2,4,1.0,425,492,425
conv1,2,5,0.9285714285714286,14,31,13
layer4,2,5,1.0,396,492,396
conv1,2,6,1.0,13,32,13
layer4,2,6,0.9975786924939467,413,492,412
conv1,2,7,1.0,14,32,14
layer4,2,7,1.0,375,493,375
conv1,2,8,0.875,16,32,14
layer4,2,8,1.0,410,493,410
conv1,2,9,0.9375,16,34,15
layer4,2,9,1.0,340,493,340
conv1,3,0,1.0,15,35,15
layer4,3,0,0.9876847290640394,406,493,401
conv1,3,1,0.8421052631578947,19,35,16
layer4,3,1,1.0,361,498,361
conv1,3,2,0.9333333333333333,15,38,14
layer4,3,2,1.0,357,498,357
conv1,3,3,1.0,16,39,16
layer4,3,3,1.0,364,498,364
conv1,3,4,0.9523809523809523,21,39,20
layer4,3,4,1.0,354,498,354
conv1,3,5,1.0,18,40,18
layer4,3,5,1.0,304,498,304
conv1,3,6,1.0,18,40,18
layer4,3,6,1.0,379,498,379
conv1,3,7,0.95,20,40,19
layer4,3,7,1.0,235,498,235
conv1,3,8,1.0,20,41,20
layer4,3,8,1.0,199,498,199
conv1,3,9,1.0,18,41,18
layer4,3,9,1.0,272,498,272
conv1,4,0,1.0,19,41,19
layer4,4,0,1.0,153,498,153
conv1,4,1,1.0,18,41,18
layer4,4,1,0.9901477832512315,406,498,402
conv1,4,2,1.0,17,41,17
layer4,4,2,1.0,377,502,377
conv1,4,3,1.0,23,41,23
layer4,4,3,1.0,344,502,344
conv1,4,4,1.0,21,41,21
layer4,4,4,1.0,389,502,389
conv1,4,5,1.0,18,41,18
layer4,4,5,0.9974489795918368,392,502,391
conv1,4,6,1.0,21,41,21
layer4,4,6,1.0,390,503,390
conv1,4,7,1.0,21,41,21
layer4,4,7,1.0,386,503,386
conv1,4,8,1.0,20,41,20
layer4,4,8,1.0,327,503,327
conv1,4,9,1.0,22,41,22
layer4,4,9,1.0,394,503,394
