neuron_id,death_task,death_epoch
6,0,0
9,0,0
13,0,0
15,0,0
18,0,0
19,0,0
23,0,0
24,0,0
30,0,0
32,0,0
34,0,0
39,0,0
47,0,0
49,0,0
51,0,0
54,0,0
58,0,0
66,0,0
67,0,0
77,0,0
79,0,0
85,0,0
90,0,0
92,0,0
96,0,0
98,0,0
101,0,0
110,0,0
114,0,0
115,0,0
123,0,0
127,0,0
129,0,0
130,0,0
132,0,0
134,0,0
138,0,0
139,0,0
143,0,0
148,0,0
149,0,0
153,0,0
156,0,0
2,0,1
21,0,1
31,0,1
33,0,1
35,0,1
38,0,1
40,0,1
53,0,1
78,0,1
84,0,1
140,0,1
158,0,1
11,0,2
43,0,2
45,0,2
55,0,2
57,0,2
81,0,2
99,0,2
104,0,2
133,0,2
151,0,2
152,0,2
159,0,2
82,1,0
112,1,0
121,1,0
144,1,1
