neuron_id,death_task,death_epoch
5,0,0
9,0,0
12,0,0
14,0,0
16,0,0
17,0,0
29,0,0
35,0,0
36,0,0
48,0,0
49,0,0
53,0,0
55,0,0
58,0,0
61,0,0
63,0,0
69,0,0
76,0,0
78,0,0
80,0,0
90,0,0
95,0,0
96,0,0
98,0,0
101,0,0
105,0,0
107,0,0
116,0,0
122,0,0
125,0,0
129,0,0
131,0,0
136,0,0
139,0,0
149,0,0
155,0,0
159,0,0
25,0,1
83,0,1
100,0,1
102,0,1
118,0,1
133,0,1
142,0,1
26,0,2
45,0,2
158,0,2
2,1,0
7,1,0
10,1,0
21,1,0
23,1,0
28,1,0
30,1,0
31,1,0
34,1,0
37,1,0
38,1,0
41,1,0
44,1,0
60,1,0
64,1,0
67,1,0
70,1,0
71,1,0
73,1,0
79,1,0
81,1,0
91,1,0
94,1,0
99,1,0
104,1,0
106,1,0
109,1,0
110,1,0
111,1,0
112,1,0
115,1,0
117,1,0
119,1,0
126,1,0
135,1,0
144,1,0
148,1,0
151,1,0
153,1,0
8,1,1
46,1,1
75,1,1
88,1,1
121,1,1
137,1,1
147,1,1
22,2,0
24,2,0
33,2,0
66,2,0
72,2,0
87,2,0
89,2,0
123,2,0
127,2,0
141,2,0
143,2,0
154,2,0
156,2,0
27,2,1
82,2,1
108,2,1
