neuron_id,death_task,death_epoch
0,0,0
5,0,0
9,0,0
10,0,0
19,0,0
23,0,0
28,0,0
34,0,0
37,0,0
40,0,0
55,0,0
58,0,0
59,0,0
66,0,0
67,0,0
70,0,0
71,0,0
72,0,0
75,0,0
81,0,0
91,0,0
97,0,0
99,0,0
103,0,0
106,0,0
109,0,0
110,0,0
112,0,0
114,0,0
118,0,0
126,0,0
130,0,0
136,0,0
138,0,0
141,0,0
144,0,0
152,0,0
156,0,0
1,0,1
2,0,1
4,0,1
6,0,1
11,0,1
12,0,1
13,0,1
14,0,1
17,0,1
18,0,1
21,0,1
22,0,1
25,0,1
27,0,1
29,0,1
30,0,1
32,0,1
33,0,1
36,0,1
41,0,1
43,0,1
46,0,1
47,0,1
51,0,1
53,0,1
54,0,1
56,0,1
57,0,1
61,0,1
64,0,1
65,0,1
68,0,1
69,0,1
76,0,1
78,0,1
79,0,1
82,0,1
83,0,1
85,0,1
86,0,1
87,0,1
88,0,1
89,0,1
93,0,1
96,0,1
98,0,1
101,0,1
102,0,1
104,0,1
105,0,1
107,0,1
108,0,1
111,0,1
115,0,1
116,0,1
117,0,1
119,0,1
120,0,1
122,0,1
123,0,1
124,0,1
125,0,1
127,0,1
128,0,1
129,0,1
131,0,1
133,0,1
134,0,1
135,0,1
137,0,1
139,0,1
140,0,1
142,0,1
143,0,1
145,0,1
146,0,1
147,0,1
148,0,1
149,0,1
150,0,1
151,0,1
153,0,1
155,0,1
158,0,1
159,0,1
77,0,2
7,1,0
20,1,0
24,1,0
31,1,0
38,1,0
44,1,0
52,1,0
62,1,0
63,1,0
73,1,0
74,1,0
84,1,0
100,1,0
113,1,0
132,1,0
3,1,1
48,1,1
50,1,1
80,1,1
8,1,2
42,1,2
92,1,2
