model,num_tasks_seen,task,metric_type,accuracy
relu_0.05_win5_method2_adam,1,0,Class-IL,96.89999999999999
relu_0.05_win5_method2_adam,1,0,Task-IL,96.89999999999999
relu_0.05_win5_method2_adam,1,avg,Class-IL,96.9
relu_0.05_win5_method2_adam,1,avg,Task-IL,96.9
relu_0.05_win5_method2_adam,2,0,Class-IL,0.0
relu_0.05_win5_method2_adam,2,0,Task-IL,49.95
relu_0.05_win5_method2_adam,2,1,Class-IL,84.15
relu_0.05_win5_method2_adam,2,1,Task-IL,84.15
relu_0.05_win5_method2_adam,2,avg,Class-IL,42.08
relu_0.05_win5_method2_adam,2,avg,Task-IL,67.05
relu_0.05_win5_method2_adam,3,0,Class-IL,0.0
relu_0.05_win5_method2_adam,3,0,Task-IL,48.949999999999996
relu_0.05_win5_method2_adam,3,1,Class-IL,0.0
relu_0.05_win5_method2_adam,3,1,Task-IL,49.65
relu_0.05_win5_method2_adam,3,2,Class-IL,93.5
relu_0.05_win5_method2_adam,3,2,Task-IL,93.5
relu_0.05_win5_method2_adam,3,avg,Class-IL,31.17
relu_0.05_win5_method2_adam,3,avg,Task-IL,64.03
relu_0.05_win5_method2_adam,4,0,Class-IL,0.0
relu_0.05_win5_method2_adam,4,0,Task-IL,48.35
relu_0.05_win5_method2_adam,4,1,Class-IL,0.0
relu_0.05_win5_method2_adam,4,1,Task-IL,50.05
relu_0.05_win5_method2_adam,4,2,Class-IL,0.0
relu_0.05_win5_method2_adam,4,2,Task-IL,52.349999999999994
relu_0.05_win5_method2_adam,4,3,Class-IL,98.15
relu_0.05_win5_method2_adam,4,3,Task-IL,98.15
relu_0.05_win5_method2_adam,4,avg,Class-IL,24.54
relu_0.05_win5_method2_adam,4,avg,Task-IL,62.22
relu_0.05_win5_method2_adam,5,0,Class-IL,0.0
relu_0.05_win5_method2_adam,5,0,Task-IL,49.55
relu_0.05_win5_method2_adam,5,1,Class-IL,0.0
relu_0.05_win5_method2_adam,5,1,Task-IL,50.1
relu_0.05_win5_method2_adam,5,2,Class-IL,0.0
relu_0.05_win5_method2_adam,5,2,Task-IL,50.0
relu_0.05_win5_method2_adam,5,3,Class-IL,0.0
relu_0.05_win5_method2_adam,5,3,Task-IL,50.0
relu_0.05_win5_method2_adam,5,4,Class-IL,96.85000000000001
