task,layer,inactive_count,epoch,model
1,conv1,1,0,relu_0.05_win5_method2_adam
1,layer1,3,0,relu_0.05_win5_method2_adam
1,layer2,1,0,relu_0.05_win5_method2_adam
1,layer3,1,0,relu_0.05_win5_method2_adam
1,layer4,4,0,relu_0.05_win5_method2_adam
1,conv1,2,1,relu_0.05_win5_method2_adam
1,layer1,4,1,relu_0.05_win5_method2_adam
1,layer2,1,1,relu_0.05_win5_method2_adam
1,layer3,1,1,relu_0.05_win5_method2_adam
1,layer4,1,1,relu_0.05_win5_method2_adam
1,conv1,3,2,relu_0.05_win5_method2_adam
1,layer1,1,2,relu_0.05_win5_method2_adam
1,layer2,1,2,relu_0.05_win5_method2_adam
1,layer3,2,2,relu_0.05_win5_method2_adam
1,layer4,4,2,relu_0.05_win5_method2_adam
1,conv1,1,3,relu_0.05_win5_method2_adam
1,layer1,3,3,relu_0.05_win5_method2_adam
1,layer2,1,3,relu_0.05_win5_method2_adam
1,layer3,1,3,relu_0.05_win5_method2_adam
1,layer4,4,3,relu_0.05_win5_method2_adam
1,conv1,1,4,relu_0.05_win5_method2_adam
1,layer1,4,4,relu_0.05_win5_method2_adam
1,layer2,1,4,relu_0.05_win5_method2_adam
1,layer3,2,4,relu_0.05_win5_method2_adam
1,layer4,15,4,relu_0.05_win5_method2_adam
1,conv1,1,5,relu_0.05_win5_method2_adam
1,layer1,1,5,relu_0.05_win5_method2_adam
1,layer2,2,5,relu_0.05_win5_method2_adam
1,layer3,1,5,relu_0.05_win5_method2_adam
1,layer4,11,5,relu_0.05_win5_method2_adam
1,conv1,1,6,relu_0.05_win5_method2_adam
1,layer1,1,6,relu_0.05_win5_method2_adam
1,layer2,2,6,relu_0.05_win5_method2_adam
1,layer3,1,6,relu_0.05_win5_method2_adam
1,layer4,6,6,relu_0.05_win5_method2_adam
1,conv1,3,7,relu_0.05_win5_method2_adam
1,layer1,1,7,relu_0.05_win5_method2_adam
1,layer2,1,7,relu_0.05_win5_method2_adam
1,layer3,1,7,relu_0.05_win5_method2_adam
1,layer4,6,7,relu_0.05_win5_method2_adam
1,conv1,1,8,relu_0.05_win5_method2_adam
1,layer1,1,8,relu_0.05_win5_method2_adam
1,layer2,3,8,relu_0.05_win5_method2_adam
1,layer3,1,8,relu_0.05_win5_method2_adam
1,layer4,4,8,relu_0.05_win5_method2_adam
1,conv1,2,9,relu_0.05_win5_method2_adam
1,layer1,1,9,relu_0.05_win5_method2_adam
1,layer2,1,9,relu_0.05_win5_method2_adam
1,layer3,1,9,relu_0.05_win5_method2_adam
1,layer4,10,9,relu_0.05_win5_method2_adam
2,conv1,2,0,relu_0.05_win5_method2_adam
2,layer1,1,0,relu_0.05_win5_method2_adam
2,layer2,2,0,relu_0.05_win5_method2_adam
2,layer3,2,0,relu_0.05_win5_method2_adam
2,layer4,3,0,relu_0.05_win5_method2_adam
2,conv1,2,1,relu_0.05_win5_method2_adam
2,layer1,1,1,relu_0.05_win5_method2_adam
2,layer2,4,1,relu_0.05_win5_method2_adam
2,layer3,4,1,relu_0.05_win5_method2_adam
2,layer4,2,1,relu_0.05_win5_method2_adam
2,conv1,1,2,relu_0.05_win5_method2_adam
2,layer1,1,2,relu_0.05_win5_method2_adam
2,layer2,3,2,relu_0.05_win5_method2_adam
2,layer3,1,2,relu_0.05_win5_method2_adam
2,layer4,4,2,relu_0.05_win5_method2_adam
2,conv1,1,3,relu_0.05_win5_method2_adam
2,layer1,1,3,relu_0.05_win5_method2_adam
2,layer2,1,3,relu_0.05_win5_method2_adam
2,layer3,1,3,relu_0.05_win5_method2_adam
2,layer4,14,3,relu_0.05_win5_method2_adam
2,conv1,2,4,relu_0.05_win5_method2_adam
2,layer1,1,4,relu_0.05_win5_method2_adam
2,layer2,2,4,relu_0.05_win5_method2_adam
2,layer3,2,4,relu_0.05_win5_method2_adam
2,layer4,3,4,relu_0.05_win5_method2_adam
2,conv1,2,5,relu_0.05_win5_method2_adam
2,layer1,1,5,relu_0.05_win5_method2_adam
2,layer2,1,5,relu_0.05_win5_method2_adam
2,layer3,2,5,relu_0.05_win5_method2_adam
2,layer4,3,5,relu_0.05_win5_method2_adam
2,conv1,1,6,relu_0.05_win5_method2_adam
2,layer1,1,6,relu_0.05_win5_method2_adam
2,layer2,1,6,relu_0.05_win5_method2_adam
2,layer3,4,6,relu_0.05_win5_method2_adam
2,layer4,2,6,relu_0.05_win5_method2_adam
2,conv1,4,7,relu_0.05_win5_method2_adam
2,layer1,2,7,relu_0.05_win5_method2_adam
2,layer2,1,7,relu_0.05_win5_method2_adam
