model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.25,43.48,31.12,24.45,18.65,42.99
relu_0.025_win10_method2_adam,96.9,42.42,31.75,24.4,19.38,42.97
relu_0.025_win10_method2_sgd,97.25,43.9,31.47,24.55,19.44,43.32
relu_0.025_win3_method2_adam,96.9,40.52,31.5,24.5,19.45,42.57
relu_0.025_win3_method2_sgd,97.25,43.5,31.5,24.49,19.18,43.18
relu_0.025_win5_method2_adam,96.9,42.42,31.27,24.48,19.44,42.9
relu_0.025_win5_method2_sgd,97.25,43.0,31.42,24.45,15.98,42.42
relu_0.05_win10_method2_adam,96.9,42.08,31.38,24.61,19.53,42.9
relu_0.05_win10_method2_sgd,97.25,42.35,31.6,24.58,19.49,43.05
relu_0.05_win3_method2_adam,96.9,41.3,31.48,24.4,19.38,42.69
relu_0.05_win3_method2_sgd,97.25,43.75,31.25,24.62,17.64,42.9
relu_0.05_win5_method2_adam,96.9,42.08,31.17,24.54,19.37,42.81
relu_0.05_win5_method2_sgd,97.25,43.9,31.37,24.51,19.01,43.21
relu_0.1_win10_method2_adam,96.9,41.0,31.45,24.02,19.36,42.55
relu_0.1_win10_method2_sgd,97.25,43.28,31.38,24.48,18.84,43.05
relu_0.1_win3_method2_adam,96.9,38.78,31.22,24.36,19.4,42.13
relu_0.1_win3_method2_sgd,97.25,42.98,30.25,24.45,18.71,42.73
relu_0.1_win5_method2_adam,96.9,42.52,30.87,24.3,19.34,42.79
relu_0.1_win5_method2_sgd,97.25,43.4,31.52,24.32,19.28,43.15
