model,1,2,3,4,5
relu_0.025_win10_method2_adam,3.0,3.0,50.0,198.0,201.0
relu_0.025_win10_method2_sgd,6.0,5.0,6.0,2.0,7.0
relu_0.025_win3_method2_adam,3.0,1.0,99.0,122.0,384.0
relu_0.025_win3_method2_sgd,6.0,5.0,4.0,11.0,16.0
relu_0.025_win5_method2_adam,3.0,3.0,80.0,232.0,315.0
relu_0.025_win5_method2_sgd,6.0,1.0,5.0,8.0,9.0
relu_0.05_win10_method2_adam,4.0,4.0,193.0,270.0,320.0
relu_0.05_win10_method2_sgd,19.0,20.0,15.0,30.0,48.0
relu_0.05_win3_method2_adam,4.0,11.0,121.0,265.0,397.0
relu_0.05_win3_method2_sgd,19.0,14.0,11.0,25.0,11.0
relu_0.05_win5_method2_adam,4.0,4.0,164.0,279.0,377.0
relu_0.05_win5_method2_sgd,19.0,20.0,32.0,9.0,14.0
relu_0.1_win10_method2_adam,16.0,27.0,197.0,348.0,305.0
relu_0.1_win10_method2_sgd,88.0,67.0,119.0,136.0,120.0
relu_0.1_win3_method2_adam,16.0,24.0,259.0,261.0,399.0
relu_0.1_win3_method2_sgd,88.0,72.0,69.0,54.0,149.0
relu_0.1_win5_method2_adam,16.0,48.0,330.0,288.0,406.0
relu_0.1_win5_method2_sgd,88.0,84.0,39.0,148.0,211.0
