model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.25,78.47,73.93,66.97,67.1,76.74
relu_0.025_win10_method2_adam,96.9,67.45,61.7,61.82,64.84,70.54
relu_0.025_win10_method2_sgd,97.25,77.42,74.8,64.47,73.87,77.56
relu_0.025_win3_method2_adam,96.9,65.5,67.43,62.44,63.28,71.11
relu_0.025_win3_method2_sgd,97.25,79.05,73.85,66.88,66.17,76.64
relu_0.025_win5_method2_adam,96.9,67.45,60.62,63.59,59.44,69.6
relu_0.025_win5_method2_sgd,97.25,78.15,76.57,69.42,59.32,76.14
relu_0.05_win10_method2_adam,96.9,67.05,60.28,62.19,58.84,69.05
relu_0.05_win10_method2_sgd,97.25,79.97,74.92,69.2,63.28,76.92
relu_0.05_win3_method2_adam,96.9,66.03,63.73,61.34,63.05,70.21
relu_0.05_win3_method2_sgd,97.25,78.22,74.82,68.45,57.88,75.32
relu_0.05_win5_method2_adam,96.9,67.05,64.03,62.22,59.3,69.9
relu_0.05_win5_method2_sgd,97.25,76.9,76.32,70.03,62.58,76.62
relu_0.1_win10_method2_adam,96.9,66.07,63.87,58.91,59.19,68.99
relu_0.1_win10_method2_sgd,97.25,77.72,76.85,65.08,67.31,76.84
relu_0.1_win3_method2_adam,96.9,63.88,64.17,62.16,59.41,69.3
relu_0.1_win3_method2_sgd,97.25,77.15,71.32,66.97,61.52,74.84
relu_0.1_win5_method2_adam,96.9,68.05,65.05,67.2,59.2,71.28
relu_0.1_win5_method2_sgd,97.25,77.05,74.3,62.89,59.51,74.2
