model,num_tasks_seen,task,metric_type,accuracy
relu_0.025_win3_method2_adam,1,0,Class-IL,96.89999999999999
relu_0.025_win3_method2_adam,1,0,Task-IL,96.89999999999999
relu_0.025_win3_method2_adam,1,avg,Class-IL,96.9
relu_0.025_win3_method2_adam,1,avg,Task-IL,96.9
relu_0.025_win3_method2_adam,2,0,Class-IL,0.0
relu_0.025_win3_method2_adam,2,0,Task-IL,49.95
relu_0.025_win3_method2_adam,2,1,Class-IL,81.05
relu_0.025_win3_method2_adam,2,1,Task-IL,81.05
relu_0.025_win3_method2_adam,2,avg,Class-IL,40.52
relu_0.025_win3_method2_adam,2,avg,Task-IL,65.5
relu_0.025_win3_method2_adam,3,0,Class-IL,0.0
relu_0.025_win3_method2_adam,3,0,Task-IL,46.150000000000006
relu_0.025_win3_method2_adam,3,1,Class-IL,0.0
relu_0.025_win3_method2_adam,3,1,Task-IL,50.0
relu_0.025_win3_method2_adam,3,2,Class-IL,94.89999999999999
relu_0.025_win3_method2_adam,3,2,Task-IL,94.89999999999999
relu_0.025_win3_method2_adam,3,avg,Class-IL,31.63
relu_0.025_win3_method2_adam,3,avg,Task-IL,63.68
relu_0.025_win3_method2_adam,4,0,Class-IL,0.0
relu_0.025_win3_method2_adam,4,0,Task-IL,49.5
relu_0.025_win3_method2_adam,4,1,Class-IL,0.0
relu_0.025_win3_method2_adam,4,1,Task-IL,50.7
relu_0.025_win3_method2_adam,4,2,Class-IL,0.0
relu_0.025_win3_method2_adam,4,2,Task-IL,63.449999999999996
relu_0.025_win3_method2_adam,4,3,Class-IL,98.6
relu_0.025_win3_method2_adam,4,3,Task-IL,98.6
relu_0.025_win3_method2_adam,4,avg,Class-IL,24.65
relu_0.025_win3_method2_adam,4,avg,Task-IL,65.56
relu_0.025_win3_method2_adam,5,0,Class-IL,0.0
relu_0.025_win3_method2_adam,5,0,Task-IL,41.6
relu_0.025_win3_method2_adam,5,1,Class-IL,0.0
relu_0.025_win3_method2_adam,5,1,Task-IL,43.8
relu_0.025_win3_method2_adam,5,2,Class-IL,0.0
relu_0.025_win3_method2_adam,5,2,Task-IL,51.55
relu_0.025_win3_method2_adam,5,3,Class-IL,0.0
relu_0.025_win3_method2_adam,5,3,Task-IL,46.45
relu_0.025_win3_method2_adam,5,4,Class-IL,96.7
relu_0.025_win3_method2_adam,5,4,Task-IL,96.7
relu_0.025_win3_method2_adam,5,avg,Class-IL,19.34
relu_0.025_win3_method2_adam,5,avg,Task-IL,56.02
relu_0.05_win10_method2_adam,1,0,Class-IL,96.89999999999999
relu_0.05_win10_method2_adam,1,0,Task-IL,96.89999999999999
relu_0.05_win10_method2_adam,1,avg,Class-IL,96.9
relu_0.05_win10_method2_adam,1,avg,Task-IL,96.9
relu_0.05_win10_method2_adam,2,0,Class-IL,0.0
relu_0.05_win10_method2_adam,2,0,Task-IL,49.95
relu_0.05_win10_method2_adam,2,1,Class-IL,84.15
relu_0.05_win10_method2_adam,2,1,Task-IL,84.15
relu_0.05_win10_method2_adam,2,avg,Class-IL,42.08
relu_0.05_win10_method2_adam,2,avg,Task-IL,67.05
relu_0.05_win10_method2_adam,3,0,Class-IL,0.0
relu_0.05_win10_method2_adam,3,0,Task-IL,36.449999999999996
relu_0.05_win10_method2_adam,3,1,Class-IL,0.0
relu_0.05_win10_method2_adam,3,1,Task-IL,50.24999999999999
relu_0.05_win10_method2_adam,3,2,Class-IL,94.15
relu_0.05_win10_method2_adam,3,2,Task-IL,94.15
relu_0.05_win10_method2_adam,3,avg,Class-IL,31.38
relu_0.05_win10_method2_adam,3,avg,Task-IL,60.28
relu_0.05_win10_method2_adam,4,0,Class-IL,0.0
relu_0.05_win10_method2_adam,4,0,Task-IL,49.55
relu_0.05_win10_method2_adam,4,1,Class-IL,0.0
relu_0.05_win10_method2_adam,4,1,Task-IL,50.349999999999994
relu_0.05_win10_method2_adam,4,2,Class-IL,0.0
relu_0.05_win10_method2_adam,4,2,Task-IL,58.85
relu_0.05_win10_method2_adam,4,3,Class-IL,98.6
relu_0.05_win10_method2_adam,4,3,Task-IL,98.6
relu_0.05_win10_method2_adam,4,avg,Class-IL,24.65
relu_0.05_win10_method2_adam,4,avg,Task-IL,64.34
relu_0.05_win10_method2_adam,5,0,Class-IL,0.0
relu_0.05_win10_method2_adam,5,0,Task-IL,42.449999999999996
relu_0.05_win10_method2_adam,5,1,Class-IL,0.0
relu_0.05_win10_method2_adam,5,1,Task-IL,51.6
relu_0.05_win10_method2_adam,5,2,Class-IL,0.0
relu_0.05_win10_method2_adam,5,2,Task-IL,49.9
relu_0.05_win10_method2_adam,5,3,Class-IL,0.0
relu_0.05_win10_method2_adam,5,3,Task-IL,51.55
relu_0.05_win10_method2_adam,5,4,Class-IL,97.1
relu_0.05_win10_method2_adam,5,4,Task-IL,97.1
relu_0.05_win10_method2_adam,5,avg,Class-IL,19.42
relu_0.05_win10_method2_adam,5,avg,Task-IL,58.52
relu_0.05_win3_method2_sgd,1,0,Class-IL,97.25
relu_0.05_win3_method2_sgd,1,0,Task-IL,97.25
relu_0.05_win3_method2_sgd,1,avg,Class-IL,97.25
relu_0.05_win3_method2_sgd,1,avg,Task-IL,97.25
relu_0.05_win3_method2_sgd,2,0,Class-IL,0.0
relu_0.05_win3_method2_sgd,2,0,Task-IL,68.95
relu_0.05_win3_method2_sgd,2,1,Class-IL,87.5
relu_0.05_win3_method2_sgd,2,1,Task-IL,87.5
relu_0.05_win3_method2_sgd,2,avg,Class-IL,43.75
relu_0.05_win3_method2_sgd,2,avg,Task-IL,78.22
relu_0.05_win3_method2_sgd,3,0,Class-IL,0.0
relu_0.05_win3_method2_sgd,3,0,Task-IL,59.4
relu_0.05_win3_method2_sgd,3,1,Class-IL,0.0
relu_0.05_win3_method2_sgd,3,1,Task-IL,68.5
relu_0.05_win3_method2_sgd,3,2,Class-IL,93.5
relu_0.05_win3_method2_sgd,3,2,Task-IL,93.5
relu_0.05_win3_method2_sgd,3,avg,Class-IL,31.17
relu_0.05_win3_method2_sgd,3,avg,Task-IL,73.8
relu_0.05_win3_method2_sgd,4,0,Class-IL,0.0
relu_0.05_win3_method2_sgd,4,0,Task-IL,66.14999999999999
relu_0.05_win3_method2_sgd,4,1,Class-IL,0.0
relu_0.05_win3_method2_sgd,4,1,Task-IL,54.800000000000004
relu_0.05_win3_method2_sgd,4,2,Class-IL,0.0
relu_0.05_win3_method2_sgd,4,2,Task-IL,53.75
relu_0.05_win3_method2_sgd,4,3,Class-IL,98.1
relu_0.05_win3_method2_sgd,4,3,Task-IL,98.1
relu_0.05_win3_method2_sgd,4,avg,Class-IL,24.52
relu_0.05_win3_method2_sgd,4,avg,Task-IL,68.2
relu_0.05_win3_method2_sgd,5,0,Class-IL,0.0
relu_0.05_win3_method2_sgd,5,0,Task-IL,65.85
relu_0.05_win3_method2_sgd,5,1,Class-IL,0.0
relu_0.05_win3_method2_sgd,5,1,Task-IL,48.75
relu_0.05_win3_method2_sgd,5,2,Class-IL,0.0
relu_0.05_win3_method2_sgd,5,2,Task-IL,59.25
relu_0.05_win3_method2_sgd,5,3,Class-IL,0.0
relu_0.05_win3_method2_sgd,5,3,Task-IL,69.95
relu_0.05_win3_method2_sgd,5,4,Class-IL,80.95
relu_0.05_win3_method2_sgd,5,4,Task-IL,80.95
relu_0.05_win3_method2_sgd,5,avg,Class-IL,16.19
relu_0.05_win3_method2_sgd,5,avg,Task-IL,64.95
relu_0.025_win5_method2_adam,1,0,Class-IL,96.89999999999999
relu_0.025_win5_method2_adam,1,0,Task-IL,96.89999999999999
relu_0.025_win5_method2_adam,1,avg,Class-IL,96.9
relu_0.025_win5_method2_adam,1,avg,Task-IL,96.9
relu_0.025_win5_method2_adam,2,0,Class-IL,0.0
relu_0.025_win5_method2_adam,2,0,Task-IL,50.05
relu_0.025_win5_method2_adam,2,1,Class-IL,84.85000000000001
relu_0.025_win5_method2_adam,2,1,Task-IL,84.85000000000001
relu_0.025_win5_method2_adam,2,avg,Class-IL,42.42
relu_0.025_win5_method2_adam,2,avg,Task-IL,67.45
relu_0.025_win5_method2_adam,3,0,Class-IL,0.0
relu_0.025_win5_method2_adam,3,0,Task-IL,40.300000000000004
relu_0.025_win5_method2_adam,3,1,Class-IL,0.0
relu_0.025_win5_method2_adam,3,1,Task-IL,50.14999999999999
relu_0.025_win5_method2_adam,3,2,Class-IL,94.8
relu_0.025_win5_method2_adam,3,2,Task-IL,94.8
relu_0.025_win5_method2_adam,3,avg,Class-IL,31.6
relu_0.025_win5_method2_adam,3,avg,Task-IL,61.75
relu_0.025_win5_method2_adam,4,0,Class-IL,0.0
relu_0.025_win5_method2_adam,4,0,Task-IL,52.2
relu_0.025_win5_method2_adam,4,1,Class-IL,0.0
relu_0.025_win5_method2_adam,4,1,Task-IL,50.4
relu_0.025_win5_method2_adam,4,2,Class-IL,0.0
relu_0.025_win5_method2_adam,4,2,Task-IL,51.2
relu_0.025_win5_method2_adam,4,3,Class-IL,98.4
relu_0.025_win5_method2_adam,4,3,Task-IL,98.4
relu_0.025_win5_method2_adam,4,avg,Class-IL,24.6
relu_0.025_win5_method2_adam,4,avg,Task-IL,63.05
relu_0.025_win5_method2_adam,5,0,Class-IL,0.0
relu_0.025_win5_method2_adam,5,0,Task-IL,14.05
relu_0.025_win5_method2_adam,5,1,Class-IL,0.0
relu_0.025_win5_method2_adam,5,1,Task-IL,48.199999999999996
relu_0.025_win5_method2_adam,5,2,Class-IL,0.0
relu_0.025_win5_method2_adam,5,2,Task-IL,57.49999999999999
relu_0.025_win5_method2_adam,5,3,Class-IL,0.0
relu_0.025_win5_method2_adam,5,3,Task-IL,51.65
relu_0.025_win5_method2_adam,5,4,Class-IL,96.95
relu_0.025_win5_method2_adam,5,4,Task-IL,96.95
relu_0.025_win5_method2_adam,5,avg,Class-IL,19.39
relu_0.025_win5_method2_adam,5,avg,Task-IL,53.67
relu_0.1_win5_method2_sgd,1,0,Class-IL,97.25
relu_0.1_win5_method2_sgd,1,0,Task-IL,97.25
relu_0.1_win5_method2_sgd,1,avg,Class-IL,97.25
relu_0.1_win5_method2_sgd,1,avg,Task-IL,97.25
relu_0.1_win5_method2_sgd,2,0,Class-IL,0.0
relu_0.1_win5_method2_sgd,2,0,Task-IL,67.30000000000001
relu_0.1_win5_method2_sgd,2,1,Class-IL,86.8
relu_0.1_win5_method2_sgd,2,1,Task-IL,86.8
relu_0.1_win5_method2_sgd,2,avg,Class-IL,43.4
relu_0.1_win5_method2_sgd,2,avg,Task-IL,77.05
relu_0.1_win5_method2_sgd,3,0,Class-IL,0.0
relu_0.1_win5_method2_sgd,3,0,Task-IL,67.80000000000001
relu_0.1_win5_method2_sgd,3,1,Class-IL,0.0
relu_0.1_win5_method2_sgd,3,1,Task-IL,68.4
relu_0.1_win5_method2_sgd,3,2,Class-IL,94.55
relu_0.1_win5_method2_sgd,3,2,Task-IL,94.55
relu_0.1_win5_method2_sgd,3,avg,Class-IL,31.52
relu_0.1_win5_method2_sgd,3,avg,Task-IL,76.92
relu_0.1_win5_method2_sgd,4,0,Class-IL,0.0
relu_0.1_win5_method2_sgd,4,0,Task-IL,61.199999999999996
relu_0.1_win5_method2_sgd,4,1,Class-IL,0.0
relu_0.1_win5_method2_sgd,4,1,Task-IL,52.6
relu_0.1_win5_method2_sgd,4,2,Class-IL,0.0
relu_0.1_win5_method2_sgd,4,2,Task-IL,52.7
relu_0.1_win5_method2_sgd,4,3,Class-IL,97.5
relu_0.1_win5_method2_sgd,4,3,Task-IL,97.5
relu_0.1_win5_method2_sgd,4,avg,Class-IL,24.38
relu_0.1_win5_method2_sgd,4,avg,Task-IL,66.0
relu_0.1_win5_method2_sgd,5,0,Class-IL,0.0
relu_0.1_win5_method2_sgd,5,0,Task-IL,56.75
relu_0.1_win5_method2_sgd,5,1,Class-IL,0.0
