model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.25,43.48,31.12,24.45,18.65,42.99
relu_0.025_win10_method2_adam,96.9,42.42,31.75,24.52,19.48,43.01
relu_0.025_win10_method2_sgd,97.25,43.9,31.47,24.55,19.44,43.32
relu_0.025_win3_method2_adam,96.9,40.52,31.63,24.65,19.34,42.61
relu_0.025_win3_method2_sgd,97.25,43.5,31.1,24.58,18.36,42.96
relu_0.025_win5_method2_adam,96.9,42.42,31.6,24.6,19.39,42.98
relu_0.025_win5_method2_sgd,97.25,43.0,31.42,24.45,18.32,42.89
relu_0.05_win10_method2_adam,96.9,42.08,31.38,24.65,19.42,42.89
relu_0.05_win10_method2_sgd,97.25,42.35,31.6,24.55,19.3,43.01
relu_0.05_win3_method2_adam,96.9,41.3,31.6,24.6,19.43,42.77
relu_0.05_win3_method2_sgd,97.25,43.75,31.17,24.52,16.19,42.58
relu_0.05_win5_method2_adam,96.9,42.08,31.58,24.54,19.47,42.91
relu_0.05_win5_method2_sgd,97.25,43.9,31.37,24.51,18.88,43.18
relu_0.1_win10_method2_adam,96.9,41.0,31.45,24.56,19.46,42.67
relu_0.1_win10_method2_sgd,97.25,43.28,31.38,24.5,17.02,42.69
relu_0.1_win3_method2_adam,96.9,38.78,31.52,24.51,19.39,42.22
relu_0.1_win3_method2_sgd,97.25,42.98,31.35,24.32,19.22,43.02
relu_0.1_win5_method2_adam,96.9,42.52,31.6,24.58,19.45,43.01
relu_0.1_win5_method2_sgd,97.25,43.4,31.52,24.38,19.47,43.2
