model,1,2,3,4,5
relu_0.025_win10_method2_adam,3.0,3.0,50.0,132.0,353.0
relu_0.025_win10_method2_sgd,6.0,5.0,6.0,2.0,7.0
relu_0.025_win3_method2_adam,3.0,1.0,22.0,269.0,193.0
relu_0.025_win3_method2_sgd,6.0,5.0,6.0,9.0,20.0
relu_0.025_win5_method2_adam,3.0,3.0,50.0,90.0,381.0
relu_0.025_win5_method2_sgd,6.0,1.0,5.0,8.0,7.0
relu_0.05_win10_method2_adam,4.0,4.0,193.0,273.0,382.0
relu_0.05_win10_method2_sgd,19.0,20.0,15.0,40.0,46.0
relu_0.05_win3_method2_adam,4.0,11.0,149.0,213.0,395.0
relu_0.05_win3_method2_sgd,19.0,14.0,11.0,31.0,20.0
relu_0.05_win5_method2_adam,4.0,4.0,190.0,254.0,429.0
relu_0.05_win5_method2_sgd,19.0,20.0,32.0,9.0,61.0
relu_0.1_win10_method2_adam,16.0,27.0,197.0,367.0,392.0
relu_0.1_win10_method2_sgd,88.0,67.0,119.0,133.0,111.0
relu_0.1_win3_method2_adam,16.0,24.0,237.0,362.0,411.0
relu_0.1_win3_method2_sgd,88.0,72.0,80.0,127.0,163.0
relu_0.1_win5_method2_adam,16.0,48.0,255.0,370.0,428.0
relu_0.1_win5_method2_sgd,88.0,84.0,107.0,108.0,109.0
