model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.25,78.47,73.93,66.97,67.1,76.74
relu_0.025_win10_method2_adam,96.9,67.45,61.7,64.7,52.58,68.67
relu_0.025_win10_method2_sgd,97.25,77.42,74.8,64.47,73.87,77.56
relu_0.025_win3_method2_adam,96.9,65.5,63.68,65.56,56.02,69.53
relu_0.025_win3_method2_sgd,97.25,79.05,74.45,65.36,57.73,74.77
relu_0.025_win5_method2_adam,96.9,67.45,61.75,63.05,53.67,68.56
relu_0.025_win5_method2_sgd,97.25,78.15,76.57,69.42,59.73,76.22
relu_0.05_win10_method2_adam,96.9,67.05,60.28,64.34,58.52,69.42
relu_0.05_win10_method2_sgd,97.25,79.97,74.92,78.19,74.94,81.05
relu_0.05_win3_method2_adam,96.9,66.03,61.93,61.44,63.34,69.93
relu_0.05_win3_method2_sgd,97.25,78.22,73.8,68.2,64.95,76.48
relu_0.05_win5_method2_adam,96.9,67.05,60.05,62.01,53.52,67.91
relu_0.05_win5_method2_sgd,97.25,76.9,76.32,70.03,63.82,76.86
relu_0.1_win10_method2_adam,96.9,66.07,63.87,63.82,60.86,70.3
relu_0.1_win10_method2_sgd,97.25,77.72,76.85,72.81,67.13,78.35
relu_0.1_win3_method2_adam,96.9,63.88,64.98,64.12,57.47,69.47
relu_0.1_win3_method2_sgd,97.25,77.15,77.55,64.39,69.03,77.07
relu_0.1_win5_method2_adam,96.9,68.05,62.55,61.39,63.39,70.46
relu_0.1_win5_method2_sgd,97.25,77.05,76.92,66.0,63.87,76.22
