model,num_tasks_seen,task,metric_type,accuracy
relu_0.025_win10_method2_sgd,1,0,Class-IL,97.25
relu_0.025_win10_method2_sgd,1,0,Task-IL,97.25
relu_0.025_win10_method2_sgd,1,avg,Class-IL,97.25
relu_0.025_win10_method2_sgd,1,avg,Task-IL,97.25
relu_0.025_win10_method2_sgd,2,0,Class-IL,0.0
relu_0.025_win10_method2_sgd,2,0,Task-IL,70.0
relu_0.025_win10_method2_sgd,2,1,Class-IL,86.95
relu_0.025_win10_method2_sgd,2,1,Task-IL,86.95
relu_0.025_win10_method2_sgd,2,avg,Class-IL,43.48
relu_0.025_win10_method2_sgd,2,avg,Task-IL,78.47
relu_0.025_win10_method2_sgd,3,0,Class-IL,0.0
relu_0.025_win10_method2_sgd,3,0,Task-IL,62.6
relu_0.025_win10_method2_sgd,3,1,Class-IL,0.0
relu_0.025_win10_method2_sgd,3,1,Task-IL,65.85
relu_0.025_win10_method2_sgd,3,2,Class-IL,93.35
relu_0.025_win10_method2_sgd,3,2,Task-IL,93.35
relu_0.025_win10_method2_sgd,3,avg,Class-IL,31.12
relu_0.025_win10_method2_sgd,3,avg,Task-IL,73.93
relu_0.025_win10_method2_sgd,4,0,Class-IL,0.0
relu_0.025_win10_method2_sgd,4,0,Task-IL,63.74999999999999
relu_0.025_win10_method2_sgd,4,1,Class-IL,0.0
relu_0.025_win10_method2_sgd,4,1,Task-IL,53.25
relu_0.025_win10_method2_sgd,4,2,Class-IL,0.0
relu_0.025_win10_method2_sgd,4,2,Task-IL,53.1
relu_0.025_win10_method2_sgd,4,3,Class-IL,97.8
relu_0.025_win10_method2_sgd,4,3,Task-IL,97.8
relu_0.025_win10_method2_sgd,4,avg,Class-IL,24.45
relu_0.025_win10_method2_sgd,4,avg,Task-IL,66.97
relu_0.025_win10_method2_sgd,5,0,Class-IL,0.0
relu_0.025_win10_method2_sgd,5,0,Task-IL,48.4
relu_0.025_win10_method2_sgd,5,1,Class-IL,0.0
relu_0.025_win10_method2_sgd,5,1,Task-IL,52.1
relu_0.025_win10_method2_sgd,5,2,Class-IL,0.0
relu_0.025_win10_method2_sgd,5,2,Task-IL,51.849999999999994
relu_0.025_win10_method2_sgd,5,3,Class-IL,0.0
relu_0.025_win10_method2_sgd,5,3,Task-IL,67.80000000000001
relu_0.025_win10_method2_sgd,5,4,Class-IL,87.85
relu_0.025_win10_method2_sgd,5,4,Task-IL,87.85
relu_0.025_win10_method2_sgd,5,avg,Class-IL,17.57
relu_0.025_win10_method2_sgd,5,avg,Task-IL,61.6
01_baseline_sgd_relu,1,0,Class-IL,97.25
01_baseline_sgd_relu,1,0,Task-IL,97.25
01_baseline_sgd_relu,1,avg,Class-IL,97.25
01_baseline_sgd_relu,1,avg,Task-IL,97.25
01_baseline_sgd_relu,2,0,Class-IL,0.0
01_baseline_sgd_relu,2,0,Task-IL,70.0
01_baseline_sgd_relu,2,1,Class-IL,86.95
01_baseline_sgd_relu,2,1,Task-IL,86.95
01_baseline_sgd_relu,2,avg,Class-IL,43.48
01_baseline_sgd_relu,2,avg,Task-IL,78.47
01_baseline_sgd_relu,3,0,Class-IL,0.0
01_baseline_sgd_relu,3,0,Task-IL,62.6
01_baseline_sgd_relu,3,1,Class-IL,0.0
01_baseline_sgd_relu,3,1,Task-IL,65.85
01_baseline_sgd_relu,3,2,Class-IL,93.35
01_baseline_sgd_relu,3,2,Task-IL,93.35
01_baseline_sgd_relu,3,avg,Class-IL,31.12
01_baseline_sgd_relu,3,avg,Task-IL,73.93
01_baseline_sgd_relu,4,0,Class-IL,0.0
01_baseline_sgd_relu,4,0,Task-IL,63.74999999999999
01_baseline_sgd_relu,4,1,Class-IL,0.0
01_baseline_sgd_relu,4,1,Task-IL,53.25
01_baseline_sgd_relu,4,2,Class-IL,0.0
01_baseline_sgd_relu,4,2,Task-IL,53.1
01_baseline_sgd_relu,4,3,Class-IL,97.8
01_baseline_sgd_relu,4,3,Task-IL,97.8
01_baseline_sgd_relu,4,avg,Class-IL,24.45
01_baseline_sgd_relu,4,avg,Task-IL,66.97
01_baseline_sgd_relu,5,0,Class-IL,0.0
01_baseline_sgd_relu,5,0,Task-IL,75.6
01_baseline_sgd_relu,5,1,Class-IL,0.0
01_baseline_sgd_relu,5,1,Task-IL,60.95
01_baseline_sgd_relu,5,2,Class-IL,0.0
01_baseline_sgd_relu,5,2,Task-IL,45.7
01_baseline_sgd_relu,5,3,Class-IL,0.0
01_baseline_sgd_relu,5,3,Task-IL,60.0
01_baseline_sgd_relu,5,4,Class-IL,93.25
01_baseline_sgd_relu,5,4,Task-IL,93.25
01_baseline_sgd_relu,5,avg,Class-IL,18.65
01_baseline_sgd_relu,5,avg,Task-IL,67.1
relu_0.05_win5_method2_sgd,1,0,Class-IL,97.25
relu_0.05_win5_method2_sgd,1,0,Task-IL,97.25
relu_0.05_win5_method2_sgd,1,avg,Class-IL,97.25
relu_0.05_win5_method2_sgd,1,avg,Task-IL,97.25
relu_0.05_win5_method2_sgd,2,0,Class-IL,0.0
relu_0.05_win5_method2_sgd,2,0,Task-IL,70.0
relu_0.05_win5_method2_sgd,2,1,Class-IL,86.95
relu_0.05_win5_method2_sgd,2,1,Task-IL,86.95
relu_0.05_win5_method2_sgd,2,avg,Class-IL,43.48
relu_0.05_win5_method2_sgd,2,avg,Task-IL,78.47
relu_0.05_win5_method2_sgd,3,0,Class-IL,0.0
relu_0.05_win5_method2_sgd,3,0,Task-IL,62.6
relu_0.05_win5_method2_sgd,3,1,Class-IL,0.0
relu_0.05_win5_method2_sgd,3,1,Task-IL,65.85
relu_0.05_win5_method2_sgd,3,2,Class-IL,93.35
relu_0.05_win5_method2_sgd,3,2,Task-IL,93.35
relu_0.05_win5_method2_sgd,3,avg,Class-IL,31.12
relu_0.05_win5_method2_sgd,3,avg,Task-IL,73.93
relu_0.05_win5_method2_sgd,4,0,Class-IL,0.0
relu_0.05_win5_method2_sgd,4,0,Task-IL,65.25
relu_0.05_win5_method2_sgd,4,1,Class-IL,0.0
relu_0.05_win5_method2_sgd,4,1,Task-IL,56.05
relu_0.05_win5_method2_sgd,4,2,Class-IL,0.0
relu_0.05_win5_method2_sgd,4,2,Task-IL,52.25
relu_0.05_win5_method2_sgd,4,3,Class-IL,97.6
relu_0.05_win5_method2_sgd,4,3,Task-IL,97.6
relu_0.05_win5_method2_sgd,4,avg,Class-IL,24.4
relu_0.05_win5_method2_sgd,4,avg,Task-IL,67.79
relu_0.05_win5_method2_sgd,5,0,Class-IL,0.0
relu_0.05_win5_method2_sgd,5,0,Task-IL,37.05
relu_0.05_win5_method2_sgd,5,1,Class-IL,0.0
relu_0.05_win5_method2_sgd,5,1,Task-IL,56.15
relu_0.05_win5_method2_sgd,5,2,Class-IL,0.0
relu_0.05_win5_method2_sgd,5,2,Task-IL,59.0
relu_0.05_win5_method2_sgd,5,3,Class-IL,0.0
relu_0.05_win5_method2_sgd,5,3,Task-IL,36.95
relu_0.05_win5_method2_sgd,5,4,Class-IL,87.35000000000001
relu_0.05_win5_method2_sgd,5,4,Task-IL,87.35000000000001
relu_0.05_win5_method2_sgd,5,avg,Class-IL,17.47
relu_0.05_win5_method2_sgd,5,avg,Task-IL,55.3
relu_0.025_win5_method2_adam,1,0,Class-IL,96.89999999999999
relu_0.025_win5_method2_adam,1,0,Task-IL,96.89999999999999
relu_0.025_win5_method2_adam,1,avg,Class-IL,96.9
relu_0.025_win5_method2_adam,1,avg,Task-IL,96.9
relu_0.025_win5_method2_adam,2,0,Class-IL,0.0
relu_0.025_win5_method2_adam,2,0,Task-IL,49.9
relu_0.025_win5_method2_adam,2,1,Class-IL,85.0
relu_0.025_win5_method2_adam,2,1,Task-IL,85.0
relu_0.025_win5_method2_adam,2,avg,Class-IL,42.5
relu_0.025_win5_method2_adam,2,avg,Task-IL,67.45
relu_0.025_win5_method2_adam,3,0,Class-IL,0.0
relu_0.025_win5_method2_adam,3,0,Task-IL,49.5
relu_0.025_win5_method2_adam,3,1,Class-IL,0.0
relu_0.025_win5_method2_adam,3,1,Task-IL,49.8
relu_0.025_win5_method2_adam,3,2,Class-IL,93.2
relu_0.025_win5_method2_adam,3,2,Task-IL,93.2
relu_0.025_win5_method2_adam,3,avg,Class-IL,31.07
relu_0.025_win5_method2_adam,3,avg,Task-IL,64.17
