task,layer,inactive_count,epoch,model
1,conv1,1,0,relu_0.025_win10_method2_sgd
1,layer1,1,0,relu_0.025_win10_method2_sgd
1,layer2,2,0,relu_0.025_win10_method2_sgd
1,layer3,3,0,relu_0.025_win10_method2_sgd
1,layer4,3,0,relu_0.025_win10_method2_sgd
1,conv1,1,1,relu_0.025_win10_method2_sgd
1,layer1,1,1,relu_0.025_win10_method2_sgd
1,layer2,2,1,relu_0.025_win10_method2_sgd
1,layer3,2,1,relu_0.025_win10_method2_sgd
1,layer4,11,1,relu_0.025_win10_method2_sgd
1,conv1,1,2,relu_0.025_win10_method2_sgd
1,layer1,1,2,relu_0.025_win10_method2_sgd
1,layer2,1,2,relu_0.025_win10_method2_sgd
1,layer3,1,2,relu_0.025_win10_method2_sgd
1,layer4,6,2,relu_0.025_win10_method2_sgd
1,conv1,1,3,relu_0.025_win10_method2_sgd
1,layer1,1,3,relu_0.025_win10_method2_sgd
1,layer2,1,3,relu_0.025_win10_method2_sgd
1,layer3,1,3,relu_0.025_win10_method2_sgd
1,layer4,12,3,relu_0.025_win10_method2_sgd
1,conv1,1,4,relu_0.025_win10_method2_sgd
1,layer1,1,4,relu_0.025_win10_method2_sgd
1,layer2,1,4,relu_0.025_win10_method2_sgd
1,layer3,2,4,relu_0.025_win10_method2_sgd
1,layer4,5,4,relu_0.025_win10_method2_sgd
1,conv1,1,5,relu_0.025_win10_method2_sgd
1,layer1,1,5,relu_0.025_win10_method2_sgd
1,layer2,1,5,relu_0.025_win10_method2_sgd
1,layer3,2,5,relu_0.025_win10_method2_sgd
1,layer4,2,5,relu_0.025_win10_method2_sgd
1,conv1,1,6,relu_0.025_win10_method2_sgd
1,layer1,1,6,relu_0.025_win10_method2_sgd
1,layer2,1,6,relu_0.025_win10_method2_sgd
1,layer3,1,6,relu_0.025_win10_method2_sgd
1,layer4,9,6,relu_0.025_win10_method2_sgd
1,conv1,1,7,relu_0.025_win10_method2_sgd
1,layer1,1,7,relu_0.025_win10_method2_sgd
1,layer2,1,7,relu_0.025_win10_method2_sgd
1,layer3,1,7,relu_0.025_win10_method2_sgd
1,layer4,3,7,relu_0.025_win10_method2_sgd
1,conv1,3,8,relu_0.025_win10_method2_sgd
1,layer1,1,8,relu_0.025_win10_method2_sgd
1,layer2,2,8,relu_0.025_win10_method2_sgd
1,layer3,1,8,relu_0.025_win10_method2_sgd
1,layer4,7,8,relu_0.025_win10_method2_sgd
1,conv1,1,9,relu_0.025_win10_method2_sgd
1,layer1,2,9,relu_0.025_win10_method2_sgd
1,layer2,1,9,relu_0.025_win10_method2_sgd
1,layer3,1,9,relu_0.025_win10_method2_sgd
1,layer4,5,9,relu_0.025_win10_method2_sgd
2,conv1,1,0,relu_0.025_win10_method2_sgd
2,layer1,1,0,relu_0.025_win10_method2_sgd
2,layer2,1,0,relu_0.025_win10_method2_sgd
2,layer3,1,0,relu_0.025_win10_method2_sgd
2,layer4,8,0,relu_0.025_win10_method2_sgd
2,conv1,1,1,relu_0.025_win10_method2_sgd
2,layer1,1,1,relu_0.025_win10_method2_sgd
2,layer2,2,1,relu_0.025_win10_method2_sgd
2,layer3,2,1,relu_0.025_win10_method2_sgd
2,layer4,3,1,relu_0.025_win10_method2_sgd
2,conv1,1,2,relu_0.025_win10_method2_sgd
