model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.25,43.48,31.12,24.45,18.65,42.99
relu_0.025_win10_method2_adam,96.9,42.5,31.38,24.58,19.58,42.99
relu_0.025_win10_method2_sgd,97.25,43.48,31.12,24.45,17.57,42.77
relu_0.025_win3_method2_adam,96.9,42.5,31.07,24.35,19.48,42.86
relu_0.025_win3_method2_sgd,97.25,43.48,31.48,24.22,18.79,43.04
relu_0.025_win5_method2_adam,96.9,42.5,31.07,24.35,19.43,42.85
relu_0.025_win5_method2_sgd,97.25,43.48,31.12,24.4,17.47,42.74
relu_0.05_win10_method2_adam,96.9,42.5,31.38,24.01,19.41,42.84
relu_0.05_win10_method2_sgd,97.25,43.48,31.12,24.45,19.06,43.07
relu_0.05_win3_method2_adam,96.9,42.5,31.07,24.35,19.48,42.86
relu_0.05_win3_method2_sgd,97.25,43.48,31.12,24.4,15.92,42.43
relu_0.05_win5_method2_adam,96.9,42.5,31.07,24.35,19.38,42.84
relu_0.05_win5_method2_sgd,97.25,43.48,31.12,24.4,17.47,42.74
relu_0.1_win10_method2_adam,96.9,42.5,31.38,24.49,19.32,42.92
relu_0.1_win10_method2_sgd,97.25,43.48,31.12,24.58,19.38,43.16
relu_0.1_win3_method2_adam,96.9,42.5,31.48,24.49,19.2,42.91
relu_0.1_win3_method2_sgd,97.25,43.48,31.6,24.44,19.34,43.22
relu_0.1_win5_method2_adam,96.9,42.5,31.07,24.35,19.42,42.85
relu_0.1_win5_method2_sgd,97.25,43.48,31.33,24.28,18.94,43.06
