model,1,2,3,4,5
relu_0.025_win10_method2_adam,3.0,1.0,90.0,162.0,387.0
relu_0.025_win10_method2_sgd,6.0,3.0,5.0,3.0,7.0
relu_0.025_win3_method2_adam,3.0,1.0,108.0,158.0,331.0
relu_0.025_win3_method2_sgd,6.0,3.0,3.0,6.0,6.0
relu_0.025_win5_method2_adam,3.0,1.0,108.0,158.0,361.0
relu_0.025_win5_method2_sgd,6.0,3.0,5.0,2.0,2.0
relu_0.05_win10_method2_adam,4.0,8.0,156.0,261.0,275.0
relu_0.05_win10_method2_sgd,19.0,10.0,10.0,11.0,35.0
relu_0.05_win3_method2_adam,4.0,8.0,193.0,254.0,402.0
relu_0.05_win3_method2_sgd,19.0,10.0,6.0,23.0,32.0
relu_0.05_win5_method2_adam,4.0,8.0,193.0,254.0,401.0
relu_0.05_win5_method2_sgd,19.0,10.0,10.0,5.0,3.0
relu_0.1_win10_method2_adam,16.0,24.0,257.0,351.0,349.0
relu_0.1_win10_method2_sgd,88.0,65.0,101.0,102.0,62.0
relu_0.1_win3_method2_adam,16.0,24.0,215.0,405.0,432.0
relu_0.1_win3_method2_sgd,88.0,65.0,80.0,65.0,198.0
relu_0.1_win5_method2_adam,16.0,24.0,290.0,348.0,389.0
relu_0.1_win5_method2_sgd,88.0,65.0,67.0,105.0,139.0
