model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.25,78.47,73.93,66.97,67.1,76.74
relu_0.025_win10_method2_adam,96.9,67.45,60.42,64.26,54.38,68.68
relu_0.025_win10_method2_sgd,97.25,78.47,73.93,66.97,61.6,75.64
relu_0.025_win3_method2_adam,96.9,67.45,64.17,58.75,59.51,69.36
relu_0.025_win3_method2_sgd,97.25,78.47,74.82,62.06,70.76,76.67
relu_0.025_win5_method2_adam,96.9,67.45,64.17,58.75,59.71,69.4
relu_0.025_win5_method2_sgd,97.25,78.47,73.93,67.79,55.3,74.55
relu_0.05_win10_method2_adam,96.9,67.45,60.42,61.46,59.78,69.2
relu_0.05_win10_method2_sgd,97.25,78.47,73.93,66.97,63.78,76.08
relu_0.05_win3_method2_adam,96.9,67.45,64.17,58.75,60.24,69.5
relu_0.05_win3_method2_sgd,97.25,78.47,73.08,66.9,57.32,74.6
relu_0.05_win5_method2_adam,96.9,67.45,64.17,58.75,59.38,69.33
relu_0.05_win5_method2_sgd,97.25,78.47,73.93,67.79,55.3,74.55
relu_0.1_win10_method2_adam,96.9,67.45,60.42,61.99,60.32,69.42
relu_0.1_win10_method2_sgd,97.25,78.47,73.93,65.71,60.82,75.24
relu_0.1_win3_method2_adam,96.9,67.45,66.15,62.85,58.86,70.44
relu_0.1_win3_method2_sgd,97.25,78.47,60.18,66.89,61.33,72.82
relu_0.1_win5_method2_adam,96.9,67.45,64.17,58.75,59.93,69.44
relu_0.1_win5_method2_sgd,97.25,78.47,76.6,65.7,58.17,75.24
