model,num_tasks_seen,task,metric_type,accuracy
relu_0.025_win10_method2_adam,1,0,Class-IL,98.65
relu_0.025_win10_method2_adam,1,0,Task-IL,98.65
relu_0.025_win10_method2_adam,1,avg,Class-IL,98.65
relu_0.025_win10_method2_adam,1,avg,Task-IL,98.65
relu_0.025_win10_method2_adam,2,0,Class-IL,0.0
relu_0.025_win10_method2_adam,2,0,Task-IL,66.0
relu_0.025_win10_method2_adam,2,1,Class-IL,91.55
relu_0.025_win10_method2_adam,2,1,Task-IL,91.55
relu_0.025_win10_method2_adam,2,avg,Class-IL,45.78
relu_0.025_win10_method2_adam,2,avg,Task-IL,78.78
relu_0.025_win10_method2_adam,3,0,Class-IL,0.0
relu_0.025_win10_method2_adam,3,0,Task-IL,67.95
relu_0.025_win10_method2_adam,3,1,Class-IL,0.0
relu_0.025_win10_method2_adam,3,1,Task-IL,41.949999999999996
relu_0.025_win10_method2_adam,3,2,Class-IL,96.55
relu_0.025_win10_method2_adam,3,2,Task-IL,96.55
relu_0.025_win10_method2_adam,3,avg,Class-IL,32.18
relu_0.025_win10_method2_adam,3,avg,Task-IL,68.82
relu_0.025_win10_method2_adam,4,0,Class-IL,0.0
relu_0.025_win10_method2_adam,4,0,Task-IL,57.699999999999996
relu_0.025_win10_method2_adam,4,1,Class-IL,0.0
relu_0.025_win10_method2_adam,4,1,Task-IL,49.15
relu_0.025_win10_method2_adam,4,2,Class-IL,0.0
relu_0.025_win10_method2_adam,4,2,Task-IL,54.55
relu_0.025_win10_method2_adam,4,3,Class-IL,98.4
relu_0.025_win10_method2_adam,4,3,Task-IL,98.4
relu_0.025_win10_method2_adam,4,avg,Class-IL,24.6
relu_0.025_win10_method2_adam,4,avg,Task-IL,64.95
relu_0.025_win10_method2_adam,5,0,Class-IL,0.0
relu_0.025_win10_method2_adam,5,0,Task-IL,61.550000000000004
relu_0.025_win10_method2_adam,5,1,Class-IL,0.0
relu_0.025_win10_method2_adam,5,1,Task-IL,50.14999999999999
relu_0.025_win10_method2_adam,5,2,Class-IL,0.0
relu_0.025_win10_method2_adam,5,2,Task-IL,40.2
relu_0.025_win10_method2_adam,5,3,Class-IL,0.0
relu_0.025_win10_method2_adam,5,3,Task-IL,50.0
relu_0.025_win10_method2_adam,5,4,Class-IL,97.89999999999999
relu_0.025_win10_method2_adam,5,4,Task-IL,97.89999999999999
relu_0.025_win10_method2_adam,5,avg,Class-IL,19.58
relu_0.025_win10_method2_adam,5,avg,Task-IL,59.96
relu_0.025_win5_method2_adam,1,0,Class-IL,98.65
relu_0.025_win5_method2_adam,1,0,Task-IL,98.65
relu_0.025_win5_method2_adam,1,avg,Class-IL,98.65
relu_0.025_win5_method2_adam,1,avg,Task-IL,98.65
relu_0.025_win5_method2_adam,2,0,Class-IL,0.0
relu_0.025_win5_method2_adam,2,0,Task-IL,67.80000000000001
relu_0.025_win5_method2_adam,2,1,Class-IL,92.65
relu_0.025_win5_method2_adam,2,1,Task-IL,92.65
relu_0.025_win5_method2_adam,2,avg,Class-IL,46.32
relu_0.025_win5_method2_adam,2,avg,Task-IL,80.23
relu_0.025_win5_method2_adam,3,0,Class-IL,0.0
relu_0.025_win5_method2_adam,3,0,Task-IL,29.95
relu_0.025_win5_method2_adam,3,1,Class-IL,0.0
relu_0.025_win5_method2_adam,3,1,Task-IL,50.64999999999999
relu_0.025_win5_method2_adam,3,2,Class-IL,94.69999999999999
relu_0.025_win5_method2_adam,3,2,Task-IL,94.69999999999999
relu_0.025_win5_method2_adam,3,avg,Class-IL,31.57
relu_0.025_win5_method2_adam,3,avg,Task-IL,58.43
relu_0.025_win5_method2_adam,4,0,Class-IL,0.0
relu_0.025_win5_method2_adam,4,0,Task-IL,44.9
relu_0.025_win5_method2_adam,4,1,Class-IL,0.0
relu_0.025_win5_method2_adam,4,1,Task-IL,49.05
relu_0.025_win5_method2_adam,4,2,Class-IL,0.0
relu_0.025_win5_method2_adam,4,2,Task-IL,50.0
relu_0.025_win5_method2_adam,4,3,Class-IL,98.95
relu_0.025_win5_method2_adam,4,3,Task-IL,98.95
relu_0.025_win5_method2_adam,4,avg,Class-IL,24.74
relu_0.025_win5_method2_adam,4,avg,Task-IL,60.72
relu_0.025_win5_method2_adam,5,0,Class-IL,0.0
relu_0.025_win5_method2_adam,5,0,Task-IL,73.6
relu_0.025_win5_method2_adam,5,1,Class-IL,0.0
relu_0.025_win5_method2_adam,5,1,Task-IL,50.0
relu_0.025_win5_method2_adam,5,2,Class-IL,0.0
relu_0.025_win5_method2_adam,5,2,Task-IL,44.1
relu_0.025_win5_method2_adam,5,3,Class-IL,0.0
relu_0.025_win5_method2_adam,5,3,Task-IL,50.4
relu_0.025_win5_method2_adam,5,4,Class-IL,97.3
relu_0.025_win5_method2_adam,5,4,Task-IL,97.3
relu_0.025_win5_method2_adam,5,avg,Class-IL,19.46
relu_0.025_win5_method2_adam,5,avg,Task-IL,63.08
relu_0.05_win10_method2_sgd,1,0,Class-IL,98.6
relu_0.05_win10_method2_sgd,1,0,Task-IL,98.6
relu_0.05_win10_method2_sgd,1,avg,Class-IL,98.6
relu_0.05_win10_method2_sgd,1,avg,Task-IL,98.6
relu_0.05_win10_method2_sgd,2,0,Class-IL,0.0
relu_0.05_win10_method2_sgd,2,0,Task-IL,56.10000000000001
relu_0.05_win10_method2_sgd,2,1,Class-IL,92.7
relu_0.05_win10_method2_sgd,2,1,Task-IL,92.7
relu_0.05_win10_method2_sgd,2,avg,Class-IL,46.35
relu_0.05_win10_method2_sgd,2,avg,Task-IL,74.4
relu_0.05_win10_method2_sgd,3,0,Class-IL,0.0
relu_0.05_win10_method2_sgd,3,0,Task-IL,46.800000000000004
relu_0.05_win10_method2_sgd,3,1,Class-IL,0.0
relu_0.05_win10_method2_sgd,3,1,Task-IL,49.7
relu_0.05_win10_method2_sgd,3,2,Class-IL,95.45
relu_0.05_win10_method2_sgd,3,2,Task-IL,95.45
relu_0.05_win10_method2_sgd,3,avg,Class-IL,31.82
relu_0.05_win10_method2_sgd,3,avg,Task-IL,63.98
relu_0.05_win10_method2_sgd,4,0,Class-IL,0.0
relu_0.05_win10_method2_sgd,4,0,Task-IL,50.0
relu_0.05_win10_method2_sgd,4,1,Class-IL,0.0
relu_0.05_win10_method2_sgd,4,1,Task-IL,52.400000000000006
relu_0.05_win10_method2_sgd,4,2,Class-IL,0.0
relu_0.05_win10_method2_sgd,4,2,Task-IL,58.199999999999996
relu_0.05_win10_method2_sgd,4,3,Class-IL,98.55000000000001
relu_0.05_win10_method2_sgd,4,3,Task-IL,98.55000000000001
relu_0.05_win10_method2_sgd,4,avg,Class-IL,24.64
relu_0.05_win10_method2_sgd,4,avg,Task-IL,64.79
relu_0.05_win10_method2_sgd,5,0,Class-IL,0.0
relu_0.05_win10_method2_sgd,5,0,Task-IL,49.8
relu_0.05_win10_method2_sgd,5,1,Class-IL,0.0
relu_0.05_win10_method2_sgd,5,1,Task-IL,51.449999999999996
relu_0.05_win10_method2_sgd,5,2,Class-IL,0.0
relu_0.05_win10_method2_sgd,5,2,Task-IL,50.449999999999996
relu_0.05_win10_method2_sgd,5,3,Class-IL,0.0
relu_0.05_win10_method2_sgd,5,3,Task-IL,62.74999999999999
relu_0.05_win10_method2_sgd,5,4,Class-IL,98.2
relu_0.05_win10_method2_sgd,5,4,Task-IL,98.2
relu_0.05_win10_method2_sgd,5,avg,Class-IL,19.64
relu_0.05_win10_method2_sgd,5,avg,Task-IL,62.53
01_baseline_sgd_relu,1,0,Class-IL,98.6
01_baseline_sgd_relu,1,0,Task-IL,98.6
01_baseline_sgd_relu,1,avg,Class-IL,98.6
01_baseline_sgd_relu,1,avg,Task-IL,98.6
01_baseline_sgd_relu,2,0,Class-IL,0.0
01_baseline_sgd_relu,2,0,Task-IL,65.5
01_baseline_sgd_relu,2,1,Class-IL,93.85
01_baseline_sgd_relu,2,1,Task-IL,93.85
01_baseline_sgd_relu,2,avg,Class-IL,46.92
01_baseline_sgd_relu,2,avg,Task-IL,79.68
01_baseline_sgd_relu,3,0,Class-IL,0.0
01_baseline_sgd_relu,3,0,Task-IL,68.60000000000001
01_baseline_sgd_relu,3,1,Class-IL,0.0
01_baseline_sgd_relu,3,1,Task-IL,71.2
01_baseline_sgd_relu,3,2,Class-IL,96.2
01_baseline_sgd_relu,3,2,Task-IL,96.2
01_baseline_sgd_relu,3,avg,Class-IL,32.07
01_baseline_sgd_relu,3,avg,Task-IL,78.67
01_baseline_sgd_relu,4,0,Class-IL,0.0
01_baseline_sgd_relu,4,0,Task-IL,60.4
