task,layer,inactive_count,epoch,model
1,conv1,1,0,relu_0.025_win10_method2_adam
1,layer1,2,0,relu_0.025_win10_method2_adam
1,layer2,1,0,relu_0.025_win10_method2_adam
1,layer3,1,0,relu_0.025_win10_method2_adam
1,layer4,1,0,relu_0.025_win10_method2_adam
1,conv1,2,1,relu_0.025_win10_method2_adam
1,layer1,1,1,relu_0.025_win10_method2_adam
1,layer2,1,1,relu_0.025_win10_method2_adam
1,layer3,1,1,relu_0.025_win10_method2_adam
1,layer4,1,1,relu_0.025_win10_method2_adam
1,conv1,1,2,relu_0.025_win10_method2_adam
1,layer1,1,2,relu_0.025_win10_method2_adam
1,layer2,1,2,relu_0.025_win10_method2_adam
1,layer3,1,2,relu_0.025_win10_method2_adam
1,layer4,3,2,relu_0.025_win10_method2_adam
1,conv1,1,3,relu_0.025_win10_method2_adam
1,layer1,2,3,relu_0.025_win10_method2_adam
1,layer2,1,3,relu_0.025_win10_method2_adam
1,layer3,1,3,relu_0.025_win10_method2_adam
1,layer4,2,3,relu_0.025_win10_method2_adam
1,conv1,1,4,relu_0.025_win10_method2_adam
1,layer1,2,4,relu_0.025_win10_method2_adam
1,layer2,1,4,relu_0.025_win10_method2_adam
1,layer3,1,4,relu_0.025_win10_method2_adam
1,layer4,8,4,relu_0.025_win10_method2_adam
1,conv1,1,5,relu_0.025_win10_method2_adam
1,layer1,1,5,relu_0.025_win10_method2_adam
1,layer2,1,5,relu_0.025_win10_method2_adam
1,layer3,1,5,relu_0.025_win10_method2_adam
1,layer4,6,5,relu_0.025_win10_method2_adam
1,conv1,1,6,relu_0.025_win10_method2_adam
1,layer1,1,6,relu_0.025_win10_method2_adam
1,layer2,2,6,relu_0.025_win10_method2_adam
1,layer3,1,6,relu_0.025_win10_method2_adam
1,layer4,3,6,relu_0.025_win10_method2_adam
1,conv1,2,7,relu_0.025_win10_method2_adam
1,layer1,1,7,relu_0.025_win10_method2_adam
1,layer2,1,7,relu_0.025_win10_method2_adam
1,layer3,1,7,relu_0.025_win10_method2_adam
1,layer4,2,7,relu_0.025_win10_method2_adam
1,conv1,1,8,relu_0.025_win10_method2_adam
1,layer1,1,8,relu_0.025_win10_method2_adam
1,layer2,2,8,relu_0.025_win10_method2_adam
1,layer3,1,8,relu_0.025_win10_method2_adam
1,layer4,2,8,relu_0.025_win10_method2_adam
1,conv1,1,9,relu_0.025_win10_method2_adam
1,layer1,1,9,relu_0.025_win10_method2_adam
1,layer2,1,9,relu_0.025_win10_method2_adam
1,layer3,1,9,relu_0.025_win10_method2_adam
1,layer4,2,9,relu_0.025_win10_method2_adam
1,conv1,1,10,relu_0.025_win10_method2_adam
1,layer1,1,10,relu_0.025_win10_method2_adam
1,layer2,1,10,relu_0.025_win10_method2_adam
1,layer3,1,10,relu_0.025_win10_method2_adam
1,layer4,1,10,relu_0.025_win10_method2_adam
1,conv1,1,11,relu_0.025_win10_method2_adam
1,layer1,1,11,relu_0.025_win10_method2_adam
1,layer2,1,11,relu_0.025_win10_method2_adam
1,layer3,1,11,relu_0.025_win10_method2_adam
1,layer4,2,11,relu_0.025_win10_method2_adam
1,conv1,1,12,relu_0.025_win10_method2_adam
1,layer1,1,12,relu_0.025_win10_method2_adam
1,layer2,2,12,relu_0.025_win10_method2_adam
1,layer3,1,12,relu_0.025_win10_method2_adam
1,layer4,3,12,relu_0.025_win10_method2_adam
1,conv1,1,13,relu_0.025_win10_method2_adam
1,layer1,1,13,relu_0.025_win10_method2_adam
1,layer2,1,13,relu_0.025_win10_method2_adam
1,layer3,1,13,relu_0.025_win10_method2_adam
1,layer4,1,13,relu_0.025_win10_method2_adam
1,conv1,1,14,relu_0.025_win10_method2_adam
1,layer1,1,14,relu_0.025_win10_method2_adam
1,layer2,2,14,relu_0.025_win10_method2_adam
1,layer3,1,14,relu_0.025_win10_method2_adam
1,layer4,4,14,relu_0.025_win10_method2_adam
1,conv1,1,15,relu_0.025_win10_method2_adam
1,layer1,1,15,relu_0.025_win10_method2_adam
1,layer2,2,15,relu_0.025_win10_method2_adam
1,layer3,1,15,relu_0.025_win10_method2_adam
1,layer4,1,15,relu_0.025_win10_method2_adam
1,conv1,1,16,relu_0.025_win10_method2_adam
1,layer1,1,16,relu_0.025_win10_method2_adam
1,layer2,3,16,relu_0.025_win10_method2_adam
1,layer3,1,16,relu_0.025_win10_method2_adam
1,layer4,1,16,relu_0.025_win10_method2_adam
1,conv1,2,17,relu_0.025_win10_method2_adam
1,layer1,1,17,relu_0.025_win10_method2_adam
1,layer2,3,17,relu_0.025_win10_method2_adam
1,layer3,3,17,relu_0.025_win10_method2_adam
1,layer4,3,17,relu_0.025_win10_method2_adam
1,conv1,2,18,relu_0.025_win10_method2_adam
1,layer1,1,18,relu_0.025_win10_method2_adam
1,layer2,2,18,relu_0.025_win10_method2_adam
1,layer3,1,18,relu_0.025_win10_method2_adam
1,layer4,1,18,relu_0.025_win10_method2_adam
1,conv1,2,19,relu_0.025_win10_method2_adam
1,layer1,1,19,relu_0.025_win10_method2_adam
1,layer2,1,19,relu_0.025_win10_method2_adam
1,layer3,1,19,relu_0.025_win10_method2_adam
1,layer4,3,19,relu_0.025_win10_method2_adam
1,conv1,2,20,relu_0.025_win10_method2_adam
1,layer1,1,20,relu_0.025_win10_method2_adam
1,layer2,1,20,relu_0.025_win10_method2_adam
1,layer3,1,20,relu_0.025_win10_method2_adam
1,layer4,1,20,relu_0.025_win10_method2_adam
1,conv1,1,21,relu_0.025_win10_method2_adam
1,layer1,1,21,relu_0.025_win10_method2_adam
1,layer2,3,21,relu_0.025_win10_method2_adam
1,layer3,2,21,relu_0.025_win10_method2_adam
1,layer4,1,21,relu_0.025_win10_method2_adam
1,conv1,2,22,relu_0.025_win10_method2_adam
1,layer1,1,22,relu_0.025_win10_method2_adam
1,layer2,3,22,relu_0.025_win10_method2_adam
1,layer3,1,22,relu_0.025_win10_method2_adam
1,layer4,1,22,relu_0.025_win10_method2_adam
1,conv1,1,23,relu_0.025_win10_method2_adam
1,layer1,1,23,relu_0.025_win10_method2_adam
1,layer2,3,23,relu_0.025_win10_method2_adam
1,layer3,1,23,relu_0.025_win10_method2_adam
1,layer4,1,23,relu_0.025_win10_method2_adam
1,conv1,1,24,relu_0.025_win10_method2_adam
1,layer1,1,24,relu_0.025_win10_method2_adam
1,layer2,1,24,relu_0.025_win10_method2_adam
1,layer3,3,24,relu_0.025_win10_method2_adam
1,layer4,1,24,relu_0.025_win10_method2_adam
1,conv1,1,25,relu_0.025_win10_method2_adam
1,layer1,1,25,relu_0.025_win10_method2_adam
1,layer2,2,25,relu_0.025_win10_method2_adam
1,layer3,2,25,relu_0.025_win10_method2_adam
1,layer4,2,25,relu_0.025_win10_method2_adam
1,conv1,1,26,relu_0.025_win10_method2_adam
1,layer1,1,26,relu_0.025_win10_method2_adam
1,layer2,1,26,relu_0.025_win10_method2_adam
1,layer3,1,26,relu_0.025_win10_method2_adam
1,layer4,1,26,relu_0.025_win10_method2_adam
1,conv1,1,27,relu_0.025_win10_method2_adam
1,layer1,1,27,relu_0.025_win10_method2_adam
1,layer2,1,27,relu_0.025_win10_method2_adam
1,layer3,1,27,relu_0.025_win10_method2_adam
1,layer4,1,27,relu_0.025_win10_method2_adam
1,conv1,1,28,relu_0.025_win10_method2_adam
1,layer1,1,28,relu_0.025_win10_method2_adam
1,layer2,2,28,relu_0.025_win10_method2_adam
1,layer3,2,28,relu_0.025_win10_method2_adam
1,layer4,2,28,relu_0.025_win10_method2_adam
1,conv1,1,29,relu_0.025_win10_method2_adam
1,layer1,2,29,relu_0.025_win10_method2_adam
1,layer2,3,29,relu_0.025_win10_method2_adam
1,layer3,2,29,relu_0.025_win10_method2_adam
1,layer4,1,29,relu_0.025_win10_method2_adam
1,conv1,1,30,relu_0.025_win10_method2_adam
1,layer1,1,30,relu_0.025_win10_method2_adam
1,layer2,3,30,relu_0.025_win10_method2_adam
1,layer3,1,30,relu_0.025_win10_method2_adam
1,layer4,1,30,relu_0.025_win10_method2_adam
1,conv1,2,31,relu_0.025_win10_method2_adam
1,layer1,1,31,relu_0.025_win10_method2_adam
1,layer2,3,31,relu_0.025_win10_method2_adam
1,layer3,1,31,relu_0.025_win10_method2_adam
1,layer4,1,31,relu_0.025_win10_method2_adam
1,conv1,1,32,relu_0.025_win10_method2_adam
1,layer1,1,32,relu_0.025_win10_method2_adam
1,layer2,1,32,relu_0.025_win10_method2_adam
1,layer3,1,32,relu_0.025_win10_method2_adam
1,layer4,4,32,relu_0.025_win10_method2_adam
1,conv1,1,33,relu_0.025_win10_method2_adam
1,layer1,1,33,relu_0.025_win10_method2_adam
1,layer2,1,33,relu_0.025_win10_method2_adam
1,layer3,2,33,relu_0.025_win10_method2_adam
1,layer4,1,33,relu_0.025_win10_method2_adam
1,conv1,1,34,relu_0.025_win10_method2_adam
1,layer1,2,34,relu_0.025_win10_method2_adam
1,layer2,2,34,relu_0.025_win10_method2_adam
1,layer3,1,34,relu_0.025_win10_method2_adam
1,layer4,1,34,relu_0.025_win10_method2_adam
1,conv1,1,35,relu_0.025_win10_method2_adam
1,layer1,1,35,relu_0.025_win10_method2_adam
1,layer2,3,35,relu_0.025_win10_method2_adam
1,layer3,1,35,relu_0.025_win10_method2_adam
1,layer4,1,35,relu_0.025_win10_method2_adam
1,conv1,2,36,relu_0.025_win10_method2_adam
