model,num_tasks_seen,task,metric_type,accuracy
relu_0.05_win50_method2_adam,1,0,Class-IL,98.65
relu_0.05_win50_method2_adam,1,0,Task-IL,98.65
relu_0.05_win50_method2_adam,1,avg,Class-IL,98.65
relu_0.05_win50_method2_adam,1,avg,Task-IL,98.65
relu_0.05_win50_method2_adam,2,0,Class-IL,0.0
relu_0.05_win50_method2_adam,2,0,Task-IL,72.85000000000001
relu_0.05_win50_method2_adam,2,1,Class-IL,92.05
relu_0.05_win50_method2_adam,2,1,Task-IL,92.05
relu_0.05_win50_method2_adam,2,avg,Class-IL,46.02
relu_0.05_win50_method2_adam,2,avg,Task-IL,82.45
relu_0.05_win50_method2_adam,3,0,Class-IL,0.0
relu_0.05_win50_method2_adam,3,0,Task-IL,30.8
relu_0.05_win50_method2_adam,3,1,Class-IL,0.0
relu_0.05_win50_method2_adam,3,1,Task-IL,50.1
relu_0.05_win50_method2_adam,3,2,Class-IL,94.95
relu_0.05_win50_method2_adam,3,2,Task-IL,94.95
relu_0.05_win50_method2_adam,3,avg,Class-IL,31.65
relu_0.05_win50_method2_adam,3,avg,Task-IL,58.62
relu_0.05_win50_method2_adam,4,0,Class-IL,0.0
relu_0.05_win50_method2_adam,4,0,Task-IL,52.6
relu_0.05_win50_method2_adam,4,1,Class-IL,0.0
relu_0.05_win50_method2_adam,4,1,Task-IL,50.0
relu_0.05_win50_method2_adam,4,2,Class-IL,0.0
relu_0.05_win50_method2_adam,4,2,Task-IL,52.55
relu_0.05_win50_method2_adam,4,3,Class-IL,98.45
relu_0.05_win50_method2_adam,4,3,Task-IL,98.45
relu_0.05_win50_method2_adam,4,avg,Class-IL,24.61
relu_0.05_win50_method2_adam,4,avg,Task-IL,63.4
relu_0.05_win50_method2_adam,5,0,Class-IL,0.0
relu_0.05_win50_method2_adam,5,0,Task-IL,68.55
relu_0.05_win50_method2_adam,5,1,Class-IL,0.0
relu_0.05_win50_method2_adam,5,1,Task-IL,50.0
relu_0.05_win50_method2_adam,5,2,Class-IL,0.0
relu_0.05_win50_method2_adam,5,2,Task-IL,50.0
relu_0.05_win50_method2_adam,5,3,Class-IL,0.0
relu_0.05_win50_method2_adam,5,3,Task-IL,53.55
relu_0.05_win50_method2_adam,5,4,Class-IL,98.05
relu_0.05_win50_method2_adam,5,4,Task-IL,98.05
relu_0.05_win50_method2_adam,5,avg,Class-IL,19.61
relu_0.05_win50_method2_adam,5,avg,Task-IL,64.03
relu_0.05_win20_method2_sgd,1,0,Class-IL,98.6
relu_0.05_win20_method2_sgd,1,0,Task-IL,98.6
relu_0.05_win20_method2_sgd,1,avg,Class-IL,98.6
relu_0.05_win20_method2_sgd,1,avg,Task-IL,98.6
relu_0.05_win20_method2_sgd,2,0,Class-IL,0.0
relu_0.05_win20_method2_sgd,2,0,Task-IL,65.3
relu_0.05_win20_method2_sgd,2,1,Class-IL,92.45
relu_0.05_win20_method2_sgd,2,1,Task-IL,92.45
relu_0.05_win20_method2_sgd,2,avg,Class-IL,46.22
relu_0.05_win20_method2_sgd,2,avg,Task-IL,78.88
relu_0.05_win20_method2_sgd,3,0,Class-IL,0.0
relu_0.05_win20_method2_sgd,3,0,Task-IL,60.3
relu_0.05_win20_method2_sgd,3,1,Class-IL,0.0
relu_0.05_win20_method2_sgd,3,1,Task-IL,50.74999999999999
relu_0.05_win20_method2_sgd,3,2,Class-IL,94.5
relu_0.05_win20_method2_sgd,3,2,Task-IL,94.5
relu_0.05_win20_method2_sgd,3,avg,Class-IL,31.5
relu_0.05_win20_method2_sgd,3,avg,Task-IL,68.52
relu_0.05_win20_method2_sgd,4,0,Class-IL,0.0
relu_0.05_win20_method2_sgd,4,0,Task-IL,49.5
relu_0.05_win20_method2_sgd,4,1,Class-IL,0.0
relu_0.05_win20_method2_sgd,4,1,Task-IL,53.7
relu_0.05_win20_method2_sgd,4,2,Class-IL,0.0
relu_0.05_win20_method2_sgd,4,2,Task-IL,47.0
relu_0.05_win20_method2_sgd,4,3,Class-IL,98.25
relu_0.05_win20_method2_sgd,4,3,Task-IL,98.25
relu_0.05_win20_method2_sgd,4,avg,Class-IL,24.56
relu_0.05_win20_method2_sgd,4,avg,Task-IL,62.11
relu_0.05_win20_method2_sgd,5,0,Class-IL,0.0
relu_0.05_win20_method2_sgd,5,0,Task-IL,61.050000000000004
relu_0.05_win20_method2_sgd,5,1,Class-IL,0.0
relu_0.05_win20_method2_sgd,5,1,Task-IL,41.699999999999996
relu_0.05_win20_method2_sgd,5,2,Class-IL,0.0
relu_0.05_win20_method2_sgd,5,2,Task-IL,52.7
relu_0.05_win20_method2_sgd,5,3,Class-IL,0.0
relu_0.05_win20_method2_sgd,5,3,Task-IL,59.3
relu_0.05_win20_method2_sgd,5,4,Class-IL,97.6
relu_0.05_win20_method2_sgd,5,4,Task-IL,97.6
relu_0.05_win20_method2_sgd,5,avg,Class-IL,19.52
relu_0.05_win20_method2_sgd,5,avg,Task-IL,62.47
relu_0.05_win35_method2_adam,1,0,Class-IL,98.65
relu_0.05_win35_method2_adam,1,0,Task-IL,98.65
relu_0.05_win35_method2_adam,1,avg,Class-IL,98.65
relu_0.05_win35_method2_adam,1,avg,Task-IL,98.65
relu_0.05_win35_method2_adam,2,0,Class-IL,0.0
relu_0.05_win35_method2_adam,2,0,Task-IL,72.85000000000001
relu_0.05_win35_method2_adam,2,1,Class-IL,92.05
relu_0.05_win35_method2_adam,2,1,Task-IL,92.05
relu_0.05_win35_method2_adam,2,avg,Class-IL,46.02
relu_0.05_win35_method2_adam,2,avg,Task-IL,82.45
relu_0.05_win35_method2_adam,3,0,Class-IL,0.0
relu_0.05_win35_method2_adam,3,0,Task-IL,30.8
relu_0.05_win35_method2_adam,3,1,Class-IL,0.0
relu_0.05_win35_method2_adam,3,1,Task-IL,50.1
relu_0.05_win35_method2_adam,3,2,Class-IL,94.95
relu_0.05_win35_method2_adam,3,2,Task-IL,94.95
relu_0.05_win35_method2_adam,3,avg,Class-IL,31.65
relu_0.05_win35_method2_adam,3,avg,Task-IL,58.62
relu_0.05_win35_method2_adam,4,0,Class-IL,0.0
relu_0.05_win35_method2_adam,4,0,Task-IL,52.6
relu_0.05_win35_method2_adam,4,1,Class-IL,0.0
relu_0.05_win35_method2_adam,4,1,Task-IL,50.0
relu_0.05_win35_method2_adam,4,2,Class-IL,0.0
relu_0.05_win35_method2_adam,4,2,Task-IL,52.55
relu_0.05_win35_method2_adam,4,3,Class-IL,98.45
relu_0.05_win35_method2_adam,4,3,Task-IL,98.45
relu_0.05_win35_method2_adam,4,avg,Class-IL,24.61
relu_0.05_win35_method2_adam,4,avg,Task-IL,63.4
relu_0.05_win35_method2_adam,5,0,Class-IL,0.0
relu_0.05_win35_method2_adam,5,0,Task-IL,68.55
relu_0.05_win35_method2_adam,5,1,Class-IL,0.0
relu_0.05_win35_method2_adam,5,1,Task-IL,50.0
relu_0.05_win35_method2_adam,5,2,Class-IL,0.0
relu_0.05_win35_method2_adam,5,2,Task-IL,50.0
relu_0.05_win35_method2_adam,5,3,Class-IL,0.0
relu_0.05_win35_method2_adam,5,3,Task-IL,53.55
relu_0.05_win35_method2_adam,5,4,Class-IL,98.05
relu_0.05_win35_method2_adam,5,4,Task-IL,98.05
relu_0.05_win35_method2_adam,5,avg,Class-IL,19.61
relu_0.05_win35_method2_adam,5,avg,Task-IL,64.03
relu_0.05_win50_method2_sgd,1,0,Class-IL,98.6
relu_0.05_win50_method2_sgd,1,0,Task-IL,98.6
relu_0.05_win50_method2_sgd,1,avg,Class-IL,98.6
relu_0.05_win50_method2_sgd,1,avg,Task-IL,98.6
relu_0.05_win50_method2_sgd,2,0,Class-IL,0.0
relu_0.05_win50_method2_sgd,2,0,Task-IL,58.650000000000006
relu_0.05_win50_method2_sgd,2,1,Class-IL,92.15
relu_0.05_win50_method2_sgd,2,1,Task-IL,92.15
relu_0.05_win50_method2_sgd,2,avg,Class-IL,46.08
relu_0.05_win50_method2_sgd,2,avg,Task-IL,75.4
relu_0.05_win50_method2_sgd,3,0,Class-IL,0.0
relu_0.05_win50_method2_sgd,3,0,Task-IL,63.74999999999999
relu_0.05_win50_method2_sgd,3,1,Class-IL,0.0
relu_0.05_win50_method2_sgd,3,1,Task-IL,56.05
relu_0.05_win50_method2_sgd,3,2,Class-IL,95.3
relu_0.05_win50_method2_sgd,3,2,Task-IL,95.3
relu_0.05_win50_method2_sgd,3,avg,Class-IL,31.77
relu_0.05_win50_method2_sgd,3,avg,Task-IL,71.7
relu_0.05_win50_method2_sgd,4,0,Class-IL,0.0
relu_0.05_win50_method2_sgd,4,0,Task-IL,54.7
relu_0.05_win50_method2_sgd,4,1,Class-IL,0.0
relu_0.05_win50_method2_sgd,4,1,Task-IL,47.949999999999996
relu_0.05_win50_method2_sgd,4,2,Class-IL,0.0
