task,layer,inactive_count,epoch,model
1,conv1,1,0,relu_0.05_win50_method2_adam
1,layer1,3,0,relu_0.05_win50_method2_adam
1,layer2,1,0,relu_0.05_win50_method2_adam
1,layer3,1,0,relu_0.05_win50_method2_adam
1,layer4,4,0,relu_0.05_win50_method2_adam
1,conv1,2,1,relu_0.05_win50_method2_adam
1,layer1,4,1,relu_0.05_win50_method2_adam
1,layer2,1,1,relu_0.05_win50_method2_adam
1,layer3,1,1,relu_0.05_win50_method2_adam
1,layer4,1,1,relu_0.05_win50_method2_adam
1,conv1,3,2,relu_0.05_win50_method2_adam
1,layer1,1,2,relu_0.05_win50_method2_adam
1,layer2,1,2,relu_0.05_win50_method2_adam
1,layer3,2,2,relu_0.05_win50_method2_adam
1,layer4,4,2,relu_0.05_win50_method2_adam
1,conv1,1,3,relu_0.05_win50_method2_adam
1,layer1,3,3,relu_0.05_win50_method2_adam
1,layer2,1,3,relu_0.05_win50_method2_adam
1,layer3,1,3,relu_0.05_win50_method2_adam
1,layer4,4,3,relu_0.05_win50_method2_adam
1,conv1,1,4,relu_0.05_win50_method2_adam
1,layer1,4,4,relu_0.05_win50_method2_adam
1,layer2,1,4,relu_0.05_win50_method2_adam
1,layer3,2,4,relu_0.05_win50_method2_adam
1,layer4,15,4,relu_0.05_win50_method2_adam
1,conv1,1,5,relu_0.05_win50_method2_adam
1,layer1,1,5,relu_0.05_win50_method2_adam
1,layer2,2,5,relu_0.05_win50_method2_adam
1,layer3,1,5,relu_0.05_win50_method2_adam
1,layer4,11,5,relu_0.05_win50_method2_adam
1,conv1,1,6,relu_0.05_win50_method2_adam
1,layer1,1,6,relu_0.05_win50_method2_adam
1,layer2,2,6,relu_0.05_win50_method2_adam
1,layer3,1,6,relu_0.05_win50_method2_adam
1,layer4,6,6,relu_0.05_win50_method2_adam
1,conv1,3,7,relu_0.05_win50_method2_adam
1,layer1,1,7,relu_0.05_win50_method2_adam
1,layer2,1,7,relu_0.05_win50_method2_adam
1,layer3,1,7,relu_0.05_win50_method2_adam
1,layer4,6,7,relu_0.05_win50_method2_adam
1,conv1,1,8,relu_0.05_win50_method2_adam
1,layer1,1,8,relu_0.05_win50_method2_adam
1,layer2,3,8,relu_0.05_win50_method2_adam
1,layer3,1,8,relu_0.05_win50_method2_adam
1,layer4,4,8,relu_0.05_win50_method2_adam
1,conv1,2,9,relu_0.05_win50_method2_adam
1,layer1,1,9,relu_0.05_win50_method2_adam
1,layer2,1,9,relu_0.05_win50_method2_adam
1,layer3,1,9,relu_0.05_win50_method2_adam
1,layer4,10,9,relu_0.05_win50_method2_adam
1,conv1,2,10,relu_0.05_win50_method2_adam
1,layer1,1,10,relu_0.05_win50_method2_adam
1,layer2,3,10,relu_0.05_win50_method2_adam
1,layer3,1,10,relu_0.05_win50_method2_adam
1,layer4,5,10,relu_0.05_win50_method2_adam
1,conv1,1,11,relu_0.05_win50_method2_adam
1,layer1,1,11,relu_0.05_win50_method2_adam
1,layer2,1,11,relu_0.05_win50_method2_adam
1,layer3,1,11,relu_0.05_win50_method2_adam
1,layer4,7,11,relu_0.05_win50_method2_adam
1,conv1,1,12,relu_0.05_win50_method2_adam
1,layer1,1,12,relu_0.05_win50_method2_adam
1,layer2,3,12,relu_0.05_win50_method2_adam
1,layer3,1,12,relu_0.05_win50_method2_adam
1,layer4,5,12,relu_0.05_win50_method2_adam
1,conv1,1,13,relu_0.05_win50_method2_adam
1,layer1,1,13,relu_0.05_win50_method2_adam
1,layer2,1,13,relu_0.05_win50_method2_adam
1,layer3,1,13,relu_0.05_win50_method2_adam
1,layer4,7,13,relu_0.05_win50_method2_adam
1,conv1,1,14,relu_0.05_win50_method2_adam
1,layer1,1,14,relu_0.05_win50_method2_adam
1,layer2,2,14,relu_0.05_win50_method2_adam
1,layer3,1,14,relu_0.05_win50_method2_adam
1,layer4,8,14,relu_0.05_win50_method2_adam
1,conv1,1,15,relu_0.05_win50_method2_adam
1,layer1,1,15,relu_0.05_win50_method2_adam
1,layer2,5,15,relu_0.05_win50_method2_adam
1,layer3,1,15,relu_0.05_win50_method2_adam
1,layer4,1,15,relu_0.05_win50_method2_adam
1,conv1,1,16,relu_0.05_win50_method2_adam
1,layer1,1,16,relu_0.05_win50_method2_adam
1,layer2,3,16,relu_0.05_win50_method2_adam
1,layer3,1,16,relu_0.05_win50_method2_adam
1,layer4,2,16,relu_0.05_win50_method2_adam
1,conv1,2,17,relu_0.05_win50_method2_adam
1,layer1,1,17,relu_0.05_win50_method2_adam
1,layer2,4,17,relu_0.05_win50_method2_adam
1,layer3,3,17,relu_0.05_win50_method2_adam
1,layer4,10,17,relu_0.05_win50_method2_adam
1,conv1,2,18,relu_0.05_win50_method2_adam
1,layer1,1,18,relu_0.05_win50_method2_adam
1,layer2,2,18,relu_0.05_win50_method2_adam
1,layer3,1,18,relu_0.05_win50_method2_adam
1,layer4,7,18,relu_0.05_win50_method2_adam
1,conv1,2,19,relu_0.05_win50_method2_adam
1,layer1,1,19,relu_0.05_win50_method2_adam
1,layer2,1,19,relu_0.05_win50_method2_adam
1,layer3,2,19,relu_0.05_win50_method2_adam
1,layer4,9,19,relu_0.05_win50_method2_adam
1,conv1,2,20,relu_0.05_win50_method2_adam
1,layer1,1,20,relu_0.05_win50_method2_adam
1,layer2,2,20,relu_0.05_win50_method2_adam
1,layer3,1,20,relu_0.05_win50_method2_adam
1,layer4,1,20,relu_0.05_win50_method2_adam
1,conv1,1,21,relu_0.05_win50_method2_adam
1,layer1,1,21,relu_0.05_win50_method2_adam
1,layer2,4,21,relu_0.05_win50_method2_adam
1,layer3,6,21,relu_0.05_win50_method2_adam
1,layer4,3,21,relu_0.05_win50_method2_adam
1,conv1,2,22,relu_0.05_win50_method2_adam
1,layer1,1,22,relu_0.05_win50_method2_adam
1,layer2,3,22,relu_0.05_win50_method2_adam
1,layer3,4,22,relu_0.05_win50_method2_adam
1,layer4,1,22,relu_0.05_win50_method2_adam
1,conv1,1,23,relu_0.05_win50_method2_adam
1,layer1,1,23,relu_0.05_win50_method2_adam
1,layer2,4,23,relu_0.05_win50_method2_adam
1,layer3,1,23,relu_0.05_win50_method2_adam
1,layer4,1,23,relu_0.05_win50_method2_adam
1,conv1,1,24,relu_0.05_win50_method2_adam
1,layer1,1,24,relu_0.05_win50_method2_adam
1,layer2,2,24,relu_0.05_win50_method2_adam
1,layer3,4,24,relu_0.05_win50_method2_adam
1,layer4,2,24,relu_0.05_win50_method2_adam
1,conv1,1,25,relu_0.05_win50_method2_adam
1,layer1,1,25,relu_0.05_win50_method2_adam
