model,num_tasks_seen,task,metric_type,accuracy
relu_0.3_ours_sgd,1,0,Class-IL,83.2
relu_0.3_ours_sgd,1,0,Task-IL,83.2
relu_0.3_ours_sgd,1,avg,Class-IL,83.2
relu_0.3_ours_sgd,1,avg,Task-IL,83.2
relu_0.3_ours_sgd,2,0,Class-IL,0.0
relu_0.3_ours_sgd,2,0,Task-IL,64.14999999999999
relu_0.3_ours_sgd,2,1,Class-IL,81.0
relu_0.3_ours_sgd,2,1,Task-IL,81.0
relu_0.3_ours_sgd,2,avg,Class-IL,40.5
relu_0.3_ours_sgd,2,avg,Task-IL,72.57
relu_0.3_ours_sgd,3,0,Class-IL,0.0
relu_0.3_ours_sgd,3,0,Task-IL,68.75
relu_0.3_ours_sgd,3,1,Class-IL,0.0
relu_0.3_ours_sgd,3,1,Task-IL,67.4
relu_0.3_ours_sgd,3,2,Class-IL,88.14999999999999
relu_0.3_ours_sgd,3,2,Task-IL,88.14999999999999
relu_0.3_ours_sgd,3,avg,Class-IL,29.38
relu_0.3_ours_sgd,3,avg,Task-IL,74.77
relu_0.3_ours_sgd,4,0,Class-IL,0.0
relu_0.3_ours_sgd,4,0,Task-IL,50.4
relu_0.3_ours_sgd,4,1,Class-IL,0.0
relu_0.3_ours_sgd,4,1,Task-IL,53.1
relu_0.3_ours_sgd,4,2,Class-IL,0.0
relu_0.3_ours_sgd,4,2,Task-IL,63.14999999999999
relu_0.3_ours_sgd,4,3,Class-IL,95.55
relu_0.3_ours_sgd,4,3,Task-IL,95.55
relu_0.3_ours_sgd,4,avg,Class-IL,23.89
relu_0.3_ours_sgd,4,avg,Task-IL,65.55
relu_0.3_ours_sgd,5,0,Class-IL,0.0
relu_0.3_ours_sgd,5,0,Task-IL,74.5
relu_0.3_ours_sgd,5,1,Class-IL,0.0
relu_0.3_ours_sgd,5,1,Task-IL,64.25
relu_0.3_ours_sgd,5,2,Class-IL,0.0
relu_0.3_ours_sgd,5,2,Task-IL,59.85
relu_0.3_ours_sgd,5,3,Class-IL,0.0
