model,num_tasks_seen,task,metric_type,accuracy
relu_0.1_ghada_adam,1,0,Class-IL,98.45
relu_0.1_ghada_adam,1,0,Task-IL,98.45
relu_0.1_ghada_adam,1,avg,Class-IL,98.45
relu_0.1_ghada_adam,1,avg,Task-IL,98.45
relu_0.1_ghada_adam,2,0,Class-IL,0.0
relu_0.1_ghada_adam,2,0,Task-IL,51.300000000000004
relu_0.1_ghada_adam,2,1,Class-IL,88.44999999999999
relu_0.1_ghada_adam,2,1,Task-IL,88.44999999999999
relu_0.1_ghada_adam,2,avg,Class-IL,44.22
relu_0.1_ghada_adam,2,avg,Task-IL,69.88
relu_0.1_ghada_adam,3,0,Class-IL,0.0
relu_0.1_ghada_adam,3,0,Task-IL,57.599999999999994
relu_0.1_ghada_adam,3,1,Class-IL,0.0
relu_0.1_ghada_adam,3,1,Task-IL,63.2
relu_0.1_ghada_adam,3,2,Class-IL,94.1
relu_0.1_ghada_adam,3,2,Task-IL,94.1
relu_0.1_ghada_adam,3,avg,Class-IL,31.37
relu_0.1_ghada_adam,3,avg,Task-IL,71.63
relu_0.1_ghada_adam,4,0,Class-IL,0.0
relu_0.1_ghada_adam,4,0,Task-IL,51.9
relu_0.1_ghada_adam,4,1,Class-IL,0.0
relu_0.1_ghada_adam,4,1,Task-IL,50.0
relu_0.1_ghada_adam,4,2,Class-IL,0.0
relu_0.1_ghada_adam,4,2,Task-IL,52.05
relu_0.1_ghada_adam,4,3,Class-IL,97.89999999999999
relu_0.1_ghada_adam,4,3,Task-IL,97.89999999999999
relu_0.1_ghada_adam,4,avg,Class-IL,24.48
relu_0.1_ghada_adam,4,avg,Task-IL,62.96
relu_0.1_ghada_adam,5,0,Class-IL,0.0
relu_0.1_ghada_adam,5,0,Task-IL,50.0
relu_0.1_ghada_adam,5,1,Class-IL,0.0
relu_0.1_ghada_adam,5,1,Task-IL,46.6
relu_0.1_ghada_adam,5,2,Class-IL,0.0
relu_0.1_ghada_adam,5,2,Task-IL,51.55
relu_0.1_ghada_adam,5,3,Class-IL,0.0
relu_0.1_ghada_adam,5,3,Task-IL,50.0
relu_0.1_ghada_adam,5,4,Class-IL,94.39999999999999
relu_0.1_ghada_adam,5,4,Task-IL,94.39999999999999
relu_0.1_ghada_adam,5,avg,Class-IL,18.88
relu_0.1_ghada_adam,5,avg,Task-IL,58.51
relu_0.3_ours_sgd,1,0,Class-IL,97.65
relu_0.3_ours_sgd,1,0,Task-IL,97.65
relu_0.3_ours_sgd,1,avg,Class-IL,97.65
relu_0.3_ours_sgd,1,avg,Task-IL,97.65
relu_0.3_ours_sgd,2,0,Class-IL,0.0
relu_0.3_ours_sgd,2,0,Task-IL,65.5
relu_0.3_ours_sgd,2,1,Class-IL,86.35000000000001
relu_0.3_ours_sgd,2,1,Task-IL,86.35000000000001
relu_0.3_ours_sgd,2,avg,Class-IL,43.18
relu_0.3_ours_sgd,2,avg,Task-IL,75.93
relu_0.3_ours_sgd,3,0,Class-IL,0.0
relu_0.3_ours_sgd,3,0,Task-IL,70.8
relu_0.3_ours_sgd,3,1,Class-IL,0.0
relu_0.3_ours_sgd,3,1,Task-IL,72.0
relu_0.3_ours_sgd,3,2,Class-IL,93.60000000000001
relu_0.3_ours_sgd,3,2,Task-IL,93.60000000000001
relu_0.3_ours_sgd,3,avg,Class-IL,31.2
relu_0.3_ours_sgd,3,avg,Task-IL,78.8
relu_0.3_ours_sgd,4,0,Class-IL,0.0
relu_0.3_ours_sgd,4,0,Task-IL,44.1
relu_0.3_ours_sgd,4,1,Class-IL,0.0
relu_0.3_ours_sgd,4,1,Task-IL,50.74999999999999
relu_0.3_ours_sgd,4,2,Class-IL,0.0
relu_0.3_ours_sgd,4,2,Task-IL,65.85
relu_0.3_ours_sgd,4,3,Class-IL,98.0
relu_0.3_ours_sgd,4,3,Task-IL,98.0
relu_0.3_ours_sgd,4,avg,Class-IL,24.5
relu_0.3_ours_sgd,4,avg,Task-IL,64.68
relu_0.3_ours_sgd,5,0,Class-IL,0.0
relu_0.3_ours_sgd,5,0,Task-IL,71.85000000000001
relu_0.3_ours_sgd,5,1,Class-IL,0.0
relu_0.3_ours_sgd,5,1,Task-IL,55.800000000000004
relu_0.3_ours_sgd,5,2,Class-IL,0.0
relu_0.3_ours_sgd,5,2,Task-IL,51.4
relu_0.3_ours_sgd,5,3,Class-IL,0.0
relu_0.3_ours_sgd,5,3,Task-IL,65.7
relu_0.3_ours_sgd,5,4,Class-IL,97.1
relu_0.3_ours_sgd,5,4,Task-IL,97.1
relu_0.3_ours_sgd,5,avg,Class-IL,19.42
relu_0.3_ours_sgd,5,avg,Task-IL,68.37
relu_0.1_ours_adam,1,0,Class-IL,98.45
relu_0.1_ours_adam,1,0,Task-IL,98.45
relu_0.1_ours_adam,1,avg,Class-IL,98.45
