model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.65,77.33,77.57,66.65,73.4,78.52
relu_0.1_ghada_adam,98.45,69.88,71.63,62.96,58.51,72.29
relu_0.1_ghada_sgd,97.65,77.33,77.53,66.14,76.91,79.11
relu_0.1_ours_adam,98.45,69.88,71.63,62.96,58.51,72.29
relu_0.1_ours_sgd,97.65,77.33,77.53,66.14,73.63,78.46
relu_0.2_ghada_adam,98.45,69.88,71.4,64.82,63.78,73.67
relu_0.2_ghada_sgd,97.65,75.32,78.8,64.79,67.74,76.86
relu_0.2_ours_adam,98.45,69.88,71.4,63.06,58.77,72.31
relu_0.2_ours_sgd,97.65,78.82,78.55,64.08,70.13,77.85
relu_0.3_ghada_adam,98.45,68.08,65.37,62.35,60.27,70.9
relu_0.3_ghada_sgd,97.65,76.7,77.47,69.18,71.52,78.5
relu_0.3_ours_adam,98.45,71.78,77.25,60.69,62.6,74.15
relu_0.3_ours_sgd,97.65,75.93,78.8,64.68,68.37,77.09
