model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.0,75.48,80.0,68.21,56.95,75.53
relu_0.1_ghada_adam,96.85,77.72,61.95,49.28,67.53,70.67
relu_0.1_ghada_sgd,97.0,75.48,79.97,66.86,56.29,75.12
relu_0.1_ours_adam,96.85,77.72,59.53,47.21,58.48,67.96
relu_0.1_ours_sgd,97.0,75.48,79.97,66.86,56.29,75.12
relu_0.2_ghada_adam,96.85,70.72,56.48,59.58,65.98,69.92
relu_0.2_ghada_sgd,97.0,71.7,80.8,63.21,63.9,75.32
relu_0.2_ours_adam,96.85,77.1,61.15,56.24,65.21,71.31
relu_0.2_ours_sgd,97.0,70.58,81.42,66.04,57.96,74.6
relu_0.3_ghada_adam,96.85,69.05,59.15,60.12,59.96,69.03
relu_0.3_ghada_sgd,97.0,74.45,78.65,67.66,53.86,74.32
relu_0.3_ours_adam,96.85,66.0,63.78,55.86,58.9,68.28
relu_0.3_ours_sgd,97.0,74.77,79.18,68.44,55.05,74.89
