model,num_tasks_seen,task,metric_type,accuracy
relu_0.2_ours_adam,1,0,Class-IL,96.85000000000001
relu_0.2_ours_adam,1,0,Task-IL,96.85000000000001
relu_0.2_ours_adam,1,avg,Class-IL,96.85
relu_0.2_ours_adam,1,avg,Task-IL,96.85
relu_0.2_ours_adam,2,0,Class-IL,0.0
relu_0.2_ours_adam,2,0,Task-IL,63.849999999999994
relu_0.2_ours_adam,2,1,Class-IL,88.1
relu_0.2_ours_adam,2,1,Task-IL,88.1
relu_0.2_ours_adam,2,avg,Class-IL,44.05
relu_0.2_ours_adam,2,avg,Task-IL,75.97
relu_0.2_ours_adam,3,0,Class-IL,0.0
relu_0.2_ours_adam,3,0,Task-IL,45.2
relu_0.2_ours_adam,3,1,Class-IL,0.0
relu_0.2_ours_adam,3,1,Task-IL,58.099999999999994
relu_0.2_ours_adam,3,2,Class-IL,79.60000000000001
relu_0.2_ours_adam,3,2,Task-IL,79.60000000000001
relu_0.2_ours_adam,3,avg,Class-IL,26.53
relu_0.2_ours_adam,3,avg,Task-IL,60.97
relu_0.2_ours_adam,4,0,Class-IL,0.0
relu_0.2_ours_adam,4,0,Task-IL,54.55
relu_0.2_ours_adam,4,1,Class-IL,0.0
relu_0.2_ours_adam,4,1,Task-IL,49.7
relu_0.2_ours_adam,4,2,Class-IL,0.0
relu_0.2_ours_adam,4,2,Task-IL,43.75
relu_0.2_ours_adam,4,3,Class-IL,76.14999999999999
relu_0.2_ours_adam,4,3,Task-IL,76.14999999999999
relu_0.2_ours_adam,4,avg,Class-IL,19.04
relu_0.2_ours_adam,4,avg,Task-IL,56.04
relu_0.2_ours_adam,5,0,Class-IL,0.0
relu_0.2_ours_adam,5,0,Task-IL,43.2
relu_0.2_ours_adam,5,1,Class-IL,0.0
relu_0.2_ours_adam,5,1,Task-IL,77.25
relu_0.2_ours_adam,5,2,Class-IL,0.0
relu_0.2_ours_adam,5,2,Task-IL,42.3
relu_0.2_ours_adam,5,3,Class-IL,0.0
relu_0.2_ours_adam,5,3,Task-IL,44.800000000000004
relu_0.2_ours_adam,5,4,Class-IL,85.5
relu_0.2_ours_adam,5,4,Task-IL,85.5
relu_0.2_ours_adam,5,avg,Class-IL,17.1
relu_0.2_ours_adam,5,avg,Task-IL,58.61
relu_0.2_ours_sgd,1,0,Class-IL,97.0
relu_0.2_ours_sgd,1,0,Task-IL,97.0
relu_0.2_ours_sgd,1,avg,Class-IL,97.0
relu_0.2_ours_sgd,1,avg,Task-IL,97.0
relu_0.2_ours_sgd,2,0,Class-IL,0.0
relu_0.2_ours_sgd,2,0,Task-IL,33.650000000000006
relu_0.2_ours_sgd,2,1,Class-IL,87.6
relu_0.2_ours_sgd,2,1,Task-IL,87.6
relu_0.2_ours_sgd,2,avg,Class-IL,43.8
relu_0.2_ours_sgd,2,avg,Task-IL,60.62
relu_0.2_ours_sgd,3,0,Class-IL,0.0
relu_0.2_ours_sgd,3,0,Task-IL,72.1
relu_0.2_ours_sgd,3,1,Class-IL,0.0
relu_0.2_ours_sgd,3,1,Task-IL,50.1
relu_0.2_ours_sgd,3,2,Class-IL,94.3
relu_0.2_ours_sgd,3,2,Task-IL,94.3
relu_0.2_ours_sgd,3,avg,Class-IL,31.43
relu_0.2_ours_sgd,3,avg,Task-IL,72.17
relu_0.2_ours_sgd,4,0,Class-IL,0.0
relu_0.2_ours_sgd,4,0,Task-IL,38.3
relu_0.2_ours_sgd,4,1,Class-IL,0.0
relu_0.2_ours_sgd,4,1,Task-IL,49.0
relu_0.2_ours_sgd,4,2,Class-IL,0.0
relu_0.2_ours_sgd,4,2,Task-IL,40.150000000000006
relu_0.2_ours_sgd,4,3,Class-IL,97.85000000000001
relu_0.2_ours_sgd,4,3,Task-IL,97.85000000000001
relu_0.2_ours_sgd,4,avg,Class-IL,24.46
relu_0.2_ours_sgd,4,avg,Task-IL,56.32
relu_0.2_ours_sgd,5,0,Class-IL,0.0
relu_0.2_ours_sgd,5,0,Task-IL,28.65
relu_0.2_ours_sgd,5,1,Class-IL,0.0
relu_0.2_ours_sgd,5,1,Task-IL,44.55
relu_0.2_ours_sgd,5,2,Class-IL,0.0
relu_0.2_ours_sgd,5,2,Task-IL,51.15
relu_0.2_ours_sgd,5,3,Class-IL,0.0
relu_0.2_ours_sgd,5,3,Task-IL,55.55
relu_0.2_ours_sgd,5,4,Class-IL,95.75
relu_0.2_ours_sgd,5,4,Task-IL,95.75
relu_0.2_ours_sgd,5,avg,Class-IL,19.15
relu_0.2_ours_sgd,5,avg,Task-IL,55.13
relu_0.3_ours_adam,1,0,Class-IL,96.85000000000001
relu_0.3_ours_adam,1,0,Task-IL,96.85000000000001
relu_0.3_ours_adam,1,avg,Class-IL,96.85
relu_0.3_ours_adam,1,avg,Task-IL,96.85
relu_0.3_ours_adam,2,0,Class-IL,0.0
relu_0.3_ours_adam,2,0,Task-IL,67.15
relu_0.3_ours_adam,2,1,Class-IL,73.95
relu_0.3_ours_adam,2,1,Task-IL,73.95
relu_0.3_ours_adam,2,avg,Class-IL,36.98
relu_0.3_ours_adam,2,avg,Task-IL,70.55
relu_0.3_ours_adam,3,0,Class-IL,0.0
relu_0.3_ours_adam,3,0,Task-IL,54.85
relu_0.3_ours_adam,3,1,Class-IL,0.0
relu_0.3_ours_adam,3,1,Task-IL,64.1
relu_0.3_ours_adam,3,2,Class-IL,94.55
relu_0.3_ours_adam,3,2,Task-IL,94.55
relu_0.3_ours_adam,3,avg,Class-IL,31.52
relu_0.3_ours_adam,3,avg,Task-IL,71.17
relu_0.3_ours_adam,4,0,Class-IL,0.0
relu_0.3_ours_adam,4,0,Task-IL,48.5
relu_0.3_ours_adam,4,1,Class-IL,0.0
relu_0.3_ours_adam,4,1,Task-IL,43.6
relu_0.3_ours_adam,4,2,Class-IL,0.0
relu_0.3_ours_adam,4,2,Task-IL,49.5
relu_0.3_ours_adam,4,3,Class-IL,83.7
relu_0.3_ours_adam,4,3,Task-IL,83.7
relu_0.3_ours_adam,4,avg,Class-IL,20.92
relu_0.3_ours_adam,4,avg,Task-IL,56.32
relu_0.3_ours_adam,5,0,Class-IL,0.0
relu_0.3_ours_adam,5,0,Task-IL,35.15
relu_0.3_ours_adam,5,1,Class-IL,0.0
relu_0.3_ours_adam,5,1,Task-IL,49.85
