model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.0,43.53,31.03,24.5,19.25,43.06
relu_0.1_ghada_adam,96.85,44.62,26.82,24.48,16.88,41.93
relu_0.1_ghada_sgd,97.0,43.53,31.02,24.48,19.3,43.07
relu_0.1_ours_adam,96.85,44.62,26.82,24.48,16.88,41.93
relu_0.1_ours_sgd,97.0,43.53,31.02,24.48,19.3,43.07
relu_0.2_ghada_adam,96.85,44.2,26.75,19.29,17.1,40.84
relu_0.2_ghada_sgd,97.0,44.35,31.32,24.41,18.69,43.15
relu_0.2_ours_adam,96.85,44.15,26.8,17.5,17.04,40.47
relu_0.2_ours_sgd,97.0,44.45,30.83,24.45,19.23,43.19
relu_0.3_ghada_adam,96.85,36.68,31.33,21.51,10.91,39.46
relu_0.3_ghada_sgd,97.0,43.65,31.12,24.41,19.18,43.07
relu_0.3_ours_adam,96.85,37.03,31.43,20.72,16.91,40.59
relu_0.3_ours_sgd,97.0,43.32,30.87,24.49,19.21,42.98
