model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.0,75.48,80.0,68.21,56.95,75.53
relu_0.1_ghada_adam,96.85,77.72,63.2,61.49,59.2,71.69
relu_0.1_ghada_sgd,97.0,75.48,79.97,62.31,60.56,75.06
relu_0.1_ours_adam,96.85,77.72,63.2,61.49,59.2,71.69
relu_0.1_ours_sgd,97.0,75.48,79.97,62.31,60.56,75.06
relu_0.2_ghada_adam,96.85,70.72,62.72,57.59,58.43,69.26
relu_0.2_ghada_sgd,97.0,64.2,69.37,54.42,57.1,68.42
relu_0.2_ours_adam,96.85,77.1,60.33,57.09,64.24,71.12
relu_0.2_ours_sgd,97.0,62.45,68.28,55.15,64.99,69.57
relu_0.3_ghada_adam,96.85,71.25,60.07,58.48,52.57,67.84
relu_0.3_ghada_sgd,97.0,74.1,67.72,59.6,65.69,72.82
relu_0.3_ours_adam,96.85,70.5,66.98,58.89,53.98,69.44
relu_0.3_ours_sgd,97.0,73.08,63.43,60.94,62.13,71.32
