model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.0,43.53,31.03,24.5,19.25,43.06
relu_0.1_method1_adam,96.85,44.05,31.35,24.55,19.27,43.21
relu_0.1_method1_sgd,97.0,43.53,31.03,24.56,19.23,43.07
relu_0.1_method2_adam,96.85,44.05,31.35,24.55,19.5,43.26
relu_0.1_method2_sgd,97.0,43.53,31.03,24.56,19.37,43.1
relu_0.2_method1_adam,96.85,44.05,31.35,24.44,19.51,43.24
relu_0.2_method1_sgd,97.0,44.28,31.22,23.95,19.18,43.13
relu_0.2_method2_adam,96.85,44.05,31.37,24.41,19.29,43.19
relu_0.2_method2_sgd,97.0,44.28,30.87,24.42,19.22,43.16
relu_0.3_method1_adam,96.85,44.78,31.07,24.59,19.53,43.36
relu_0.3_method1_sgd,97.0,43.0,31.12,24.38,19.35,42.97
relu_0.3_method2_adam,96.85,44.35,31.07,24.51,19.26,43.21
relu_0.3_method2_sgd,97.0,43.15,31.33,24.56,19.02,43.01
