model,1,2,3,4,5
relu_0.1_method1_adam,0.0,0.0,156.0,260.0,410.0
relu_0.1_method1_sgd,0.0,0.0,6.0,2.0,45.0
relu_0.1_method2_adam,0.0,0.0,156.0,232.0,361.0
relu_0.1_method2_sgd,0.0,0.0,6.0,2.0,3.0
relu_0.2_method1_adam,0.0,9.0,305.0,337.0,449.0
relu_0.2_method1_sgd,20.0,70.0,212.0,151.0,237.0
relu_0.2_method2_adam,0.0,9.0,315.0,384.0,392.0
relu_0.2_method2_sgd,20.0,70.0,132.0,96.0,184.0
relu_0.3_method1_adam,2.0,188.0,366.0,414.0,462.0
relu_0.3_method1_sgd,391.0,458.0,353.0,283.0,381.0
relu_0.3_method2_adam,2.0,144.0,366.0,426.0,472.0
relu_0.3_method2_sgd,391.0,365.0,338.0,399.0,381.0
