model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.0,75.48,80.0,68.21,56.95,75.53
relu_0.1_method1_adam,96.85,75.97,71.22,65.03,55.56,72.93
relu_0.1_method1_sgd,97.0,75.48,80.0,68.35,55.51,75.27
relu_0.1_method2_adam,96.85,75.97,71.22,63.4,57.54,73.0
relu_0.1_method2_sgd,97.0,75.48,80.0,68.35,56.39,75.44
relu_0.2_method1_adam,96.85,75.97,70.28,59.38,54.71,71.44
relu_0.2_method1_sgd,97.0,74.65,78.92,76.69,68.03,79.06
relu_0.2_method2_adam,96.85,75.97,71.43,63.59,59.14,73.4
relu_0.2_method2_sgd,97.0,74.65,79.83,64.59,56.94,74.6
relu_0.3_method1_adam,96.85,75.53,72.95,65.64,60.65,74.32
relu_0.3_method1_sgd,97.0,75.38,80.35,73.42,65.52,78.33
relu_0.3_method2_adam,96.85,71.7,65.83,66.25,54.82,71.09
relu_0.3_method2_sgd,97.0,72.58,78.7,63.06,53.95,73.06
