model,num_tasks_seen,task,metric_type,accuracy
relu_0.1_method2_adam,1,0,Class-IL,96.85000000000001
relu_0.1_method2_adam,1,0,Task-IL,96.85000000000001
relu_0.1_method2_adam,1,avg,Class-IL,96.85
relu_0.1_method2_adam,1,avg,Task-IL,96.85
relu_0.1_method2_adam,2,0,Class-IL,0.0
relu_0.1_method2_adam,2,0,Task-IL,66.2
relu_0.1_method2_adam,2,1,Class-IL,89.25
relu_0.1_method2_adam,2,1,Task-IL,89.25
relu_0.1_method2_adam,2,avg,Class-IL,44.62
relu_0.1_method2_adam,2,avg,Task-IL,77.72
relu_0.1_method2_adam,3,0,Class-IL,0.0
relu_0.1_method2_adam,3,0,Task-IL,50.0
relu_0.1_method2_adam,3,1,Class-IL,0.0
relu_0.1_method2_adam,3,1,Task-IL,50.0
relu_0.1_method2_adam,3,2,Class-IL,93.05
relu_0.1_method2_adam,3,2,Task-IL,93.05
relu_0.1_method2_adam,3,avg,Class-IL,31.02
relu_0.1_method2_adam,3,avg,Task-IL,64.35
relu_0.1_method2_adam,4,0,Class-IL,0.0
relu_0.1_method2_adam,4,0,Task-IL,50.0
relu_0.1_method2_adam,4,1,Class-IL,0.0
relu_0.1_method2_adam,4,1,Task-IL,50.0
relu_0.1_method2_adam,4,2,Class-IL,0.0
relu_0.1_method2_adam,4,2,Task-IL,50.0
relu_0.1_method2_adam,4,3,Class-IL,97.2
relu_0.1_method2_adam,4,3,Task-IL,97.2
relu_0.1_method2_adam,4,avg,Class-IL,24.3
relu_0.1_method2_adam,4,avg,Task-IL,61.8
relu_0.1_method2_adam,5,0,Class-IL,0.0
relu_0.1_method2_adam,5,0,Task-IL,50.0
relu_0.1_method2_adam,5,1,Class-IL,0.0
relu_0.1_method2_adam,5,1,Task-IL,50.0
relu_0.1_method2_adam,5,2,Class-IL,0.0
relu_0.1_method2_adam,5,2,Task-IL,55.00000000000001
relu_0.1_method2_adam,5,3,Class-IL,0.0
relu_0.1_method2_adam,5,3,Task-IL,51.0
relu_0.1_method2_adam,5,4,Class-IL,97.35000000000001
relu_0.1_method2_adam,5,4,Task-IL,97.35000000000001
relu_0.1_method2_adam,5,avg,Class-IL,19.47
relu_0.1_method2_adam,5,avg,Task-IL,60.67
relu_0.1_method2_sgd,1,0,Class-IL,97.0
relu_0.1_method2_sgd,1,0,Task-IL,97.0
relu_0.1_method2_sgd,1,avg,Class-IL,97.0
relu_0.1_method2_sgd,1,avg,Task-IL,97.0
relu_0.1_method2_sgd,2,0,Class-IL,0.0
relu_0.1_method2_sgd,2,0,Task-IL,63.9
relu_0.1_method2_sgd,2,1,Class-IL,87.05000000000001
relu_0.1_method2_sgd,2,1,Task-IL,87.05000000000001
relu_0.1_method2_sgd,2,avg,Class-IL,43.53
relu_0.1_method2_sgd,2,avg,Task-IL,75.48
relu_0.1_method2_sgd,3,0,Class-IL,0.0
relu_0.1_method2_sgd,3,0,Task-IL,76.2
relu_0.1_method2_sgd,3,1,Class-IL,0.0
relu_0.1_method2_sgd,3,1,Task-IL,70.65
relu_0.1_method2_sgd,3,2,Class-IL,93.05
relu_0.1_method2_sgd,3,2,Task-IL,93.05
relu_0.1_method2_sgd,3,avg,Class-IL,31.02
relu_0.1_method2_sgd,3,avg,Task-IL,79.97
relu_0.1_method2_sgd,4,0,Class-IL,0.0
relu_0.1_method2_sgd,4,0,Task-IL,47.8
relu_0.1_method2_sgd,4,1,Class-IL,0.0
relu_0.1_method2_sgd,4,1,Task-IL,50.1
relu_0.1_method2_sgd,4,2,Class-IL,0.0
relu_0.1_method2_sgd,4,2,Task-IL,53.449999999999996
relu_0.1_method2_sgd,4,3,Class-IL,97.89999999999999
relu_0.1_method2_sgd,4,3,Task-IL,97.89999999999999
relu_0.1_method2_sgd,4,avg,Class-IL,24.48
relu_0.1_method2_sgd,4,avg,Task-IL,62.31
relu_0.1_method2_sgd,5,0,Class-IL,0.0
relu_0.1_method2_sgd,5,0,Task-IL,50.0
relu_0.1_method2_sgd,5,1,Class-IL,0.0
relu_0.1_method2_sgd,5,1,Task-IL,52.449999999999996
relu_0.1_method2_sgd,5,2,Class-IL,0.0
relu_0.1_method2_sgd,5,2,Task-IL,56.39999999999999
relu_0.1_method2_sgd,5,3,Class-IL,0.0
relu_0.1_method2_sgd,5,3,Task-IL,47.449999999999996
relu_0.1_method2_sgd,5,4,Class-IL,96.5
relu_0.1_method2_sgd,5,4,Task-IL,96.5
relu_0.1_method2_sgd,5,avg,Class-IL,19.3
relu_0.1_method2_sgd,5,avg,Task-IL,60.56
relu_0.1_method1_sgd,1,0,Class-IL,97.0
relu_0.1_method1_sgd,1,0,Task-IL,97.0
relu_0.1_method1_sgd,1,avg,Class-IL,97.0
relu_0.1_method1_sgd,1,avg,Task-IL,97.0
relu_0.1_method1_sgd,2,0,Class-IL,0.0
relu_0.1_method1_sgd,2,0,Task-IL,63.9
relu_0.1_method1_sgd,2,1,Class-IL,87.05000000000001
relu_0.1_method1_sgd,2,1,Task-IL,87.05000000000001
relu_0.1_method1_sgd,2,avg,Class-IL,43.53
relu_0.1_method1_sgd,2,avg,Task-IL,75.48
relu_0.1_method1_sgd,3,0,Class-IL,0.0
relu_0.1_method1_sgd,3,0,Task-IL,76.2
relu_0.1_method1_sgd,3,1,Class-IL,0.0
relu_0.1_method1_sgd,3,1,Task-IL,70.65
relu_0.1_method1_sgd,3,2,Class-IL,93.05
relu_0.1_method1_sgd,3,2,Task-IL,93.05
relu_0.1_method1_sgd,3,avg,Class-IL,31.02
relu_0.1_method1_sgd,3,avg,Task-IL,79.97
relu_0.1_method1_sgd,4,0,Class-IL,0.0
relu_0.1_method1_sgd,4,0,Task-IL,47.8
relu_0.1_method1_sgd,4,1,Class-IL,0.0
relu_0.1_method1_sgd,4,1,Task-IL,50.1
relu_0.1_method1_sgd,4,2,Class-IL,0.0
relu_0.1_method1_sgd,4,2,Task-IL,53.449999999999996
relu_0.1_method1_sgd,4,3,Class-IL,97.89999999999999
relu_0.1_method1_sgd,4,3,Task-IL,97.89999999999999
relu_0.1_method1_sgd,4,avg,Class-IL,24.48
relu_0.1_method1_sgd,4,avg,Task-IL,62.31
relu_0.1_method1_sgd,5,0,Class-IL,0.0
relu_0.1_method1_sgd,5,0,Task-IL,50.0
relu_0.1_method1_sgd,5,1,Class-IL,0.0
relu_0.1_method1_sgd,5,1,Task-IL,52.449999999999996
relu_0.1_method1_sgd,5,2,Class-IL,0.0
relu_0.1_method1_sgd,5,2,Task-IL,56.39999999999999
relu_0.1_method1_sgd,5,3,Class-IL,0.0
relu_0.1_method1_sgd,5,3,Task-IL,47.449999999999996
relu_0.1_method1_sgd,5,4,Class-IL,96.5
relu_0.1_method1_sgd,5,4,Task-IL,96.5
relu_0.1_method1_sgd,5,avg,Class-IL,19.3
relu_0.1_method1_sgd,5,avg,Task-IL,60.56
relu_0.3_method1_sgd,1,0,Class-IL,97.0
relu_0.3_method1_sgd,1,0,Task-IL,97.0
relu_0.3_method1_sgd,1,avg,Class-IL,97.0
relu_0.3_method1_sgd,1,avg,Task-IL,97.0
relu_0.3_method1_sgd,2,0,Class-IL,0.0
relu_0.3_method1_sgd,2,0,Task-IL,60.9
relu_0.3_method1_sgd,2,1,Class-IL,87.3
relu_0.3_method1_sgd,2,1,Task-IL,87.3
relu_0.3_method1_sgd,2,avg,Class-IL,43.65
relu_0.3_method1_sgd,2,avg,Task-IL,74.1
relu_0.3_method1_sgd,3,0,Class-IL,0.0
relu_0.3_method1_sgd,3,0,Task-IL,67.0
relu_0.3_method1_sgd,3,1,Class-IL,0.0
relu_0.3_method1_sgd,3,1,Task-IL,42.8
relu_0.3_method1_sgd,3,2,Class-IL,93.35
relu_0.3_method1_sgd,3,2,Task-IL,93.35
relu_0.3_method1_sgd,3,avg,Class-IL,31.12
relu_0.3_method1_sgd,3,avg,Task-IL,67.72
relu_0.3_method1_sgd,4,0,Class-IL,0.0
relu_0.3_method1_sgd,4,0,Task-IL,51.15
relu_0.3_method1_sgd,4,1,Class-IL,0.0
relu_0.3_method1_sgd,4,1,Task-IL,47.25
relu_0.3_method1_sgd,4,2,Class-IL,0.0
relu_0.3_method1_sgd,4,2,Task-IL,42.35
relu_0.3_method1_sgd,4,3,Class-IL,97.65
relu_0.3_method1_sgd,4,3,Task-IL,97.65
relu_0.3_method1_sgd,4,avg,Class-IL,24.41
relu_0.3_method1_sgd,4,avg,Task-IL,59.6
relu_0.3_method1_sgd,5,0,Class-IL,0.0
relu_0.3_method1_sgd,5,0,Task-IL,71.6
relu_0.3_method1_sgd,5,1,Class-IL,0.0
relu_0.3_method1_sgd,5,1,Task-IL,54.300000000000004
relu_0.3_method1_sgd,5,2,Class-IL,0.0
relu_0.3_method1_sgd,5,2,Task-IL,47.4
relu_0.3_method1_sgd,5,3,Class-IL,0.0
relu_0.3_method1_sgd,5,3,Task-IL,59.25
relu_0.3_method1_sgd,5,4,Class-IL,95.89999999999999
relu_0.3_method1_sgd,5,4,Task-IL,95.89999999999999
relu_0.3_method1_sgd,5,avg,Class-IL,19.18
relu_0.3_method1_sgd,5,avg,Task-IL,65.69
relu_0.2_method2_sgd,1,0,Class-IL,97.0
relu_0.2_method2_sgd,1,0,Task-IL,97.0
relu_0.2_method2_sgd,1,avg,Class-IL,97.0
relu_0.2_method2_sgd,1,avg,Task-IL,97.0
relu_0.2_method2_sgd,2,0,Class-IL,0.0
relu_0.2_method2_sgd,2,0,Task-IL,36.0
relu_0.2_method2_sgd,2,1,Class-IL,88.9
relu_0.2_method2_sgd,2,1,Task-IL,88.9
relu_0.2_method2_sgd,2,avg,Class-IL,44.45
relu_0.2_method2_sgd,2,avg,Task-IL,62.45
relu_0.2_method2_sgd,3,0,Class-IL,0.0
relu_0.2_method2_sgd,3,0,Task-IL,52.800000000000004
relu_0.2_method2_sgd,3,1,Class-IL,0.0
relu_0.2_method2_sgd,3,1,Task-IL,59.550000000000004
relu_0.2_method2_sgd,3,2,Class-IL,92.5
relu_0.2_method2_sgd,3,2,Task-IL,92.5
relu_0.2_method2_sgd,3,avg,Class-IL,30.83
relu_0.2_method2_sgd,3,avg,Task-IL,68.28
relu_0.2_method2_sgd,4,0,Class-IL,0.0
relu_0.2_method2_sgd,4,0,Task-IL,39.65
relu_0.2_method2_sgd,4,1,Class-IL,0.0
relu_0.2_method2_sgd,4,1,Task-IL,45.6
relu_0.2_method2_sgd,4,2,Class-IL,0.0
relu_0.2_method2_sgd,4,2,Task-IL,37.55
relu_0.2_method2_sgd,4,3,Class-IL,97.8
relu_0.2_method2_sgd,4,3,Task-IL,97.8
relu_0.2_method2_sgd,4,avg,Class-IL,24.45
relu_0.2_method2_sgd,4,avg,Task-IL,55.15
relu_0.2_method2_sgd,5,0,Class-IL,0.0
relu_0.2_method2_sgd,5,0,Task-IL,66.9
relu_0.2_method2_sgd,5,1,Class-IL,0.0
relu_0.2_method2_sgd,5,1,Task-IL,59.8
relu_0.2_method2_sgd,5,2,Class-IL,0.0
relu_0.2_method2_sgd,5,2,Task-IL,46.800000000000004
relu_0.2_method2_sgd,5,3,Class-IL,0.0
relu_0.2_method2_sgd,5,3,Task-IL,55.300000000000004
relu_0.2_method2_sgd,5,4,Class-IL,96.15
relu_0.2_method2_sgd,5,4,Task-IL,96.15
relu_0.2_method2_sgd,5,avg,Class-IL,19.23
relu_0.2_method2_sgd,5,avg,Task-IL,64.99
relu_0.2_method2_adam,1,0,Class-IL,96.85000000000001
relu_0.2_method2_adam,1,0,Task-IL,96.85000000000001
relu_0.2_method2_adam,1,avg,Class-IL,96.85
relu_0.2_method2_adam,1,avg,Task-IL,96.85
relu_0.2_method2_adam,2,0,Class-IL,0.0
relu_0.2_method2_adam,2,0,Task-IL,65.9
relu_0.2_method2_adam,2,1,Class-IL,88.3
relu_0.2_method2_adam,2,1,Task-IL,88.3
relu_0.2_method2_adam,2,avg,Class-IL,44.15
relu_0.2_method2_adam,2,avg,Task-IL,77.1
relu_0.2_method2_adam,3,0,Class-IL,0.0
relu_0.2_method2_adam,3,0,Task-IL,50.0
relu_0.2_method2_adam,3,1,Class-IL,0.0
relu_0.2_method2_adam,3,1,Task-IL,50.0
relu_0.2_method2_adam,3,2,Class-IL,88.05
relu_0.2_method2_adam,3,2,Task-IL,88.05
relu_0.2_method2_adam,3,avg,Class-IL,29.35
relu_0.2_method2_adam,3,avg,Task-IL,62.68
