model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.0,43.53,31.03,24.5,19.25,43.06
relu_0.1_method1_adam,96.85,44.62,31.53,24.36,19.45,43.36
relu_0.1_method1_sgd,97.0,43.53,31.02,24.48,19.3,43.07
relu_0.1_method2_adam,96.85,44.62,31.02,24.3,19.47,43.25
relu_0.1_method2_sgd,97.0,43.53,31.02,24.48,19.3,43.07
relu_0.2_method1_adam,96.85,44.2,31.0,24.62,19.44,43.22
relu_0.2_method1_sgd,97.0,44.35,31.32,24.41,18.69,43.15
relu_0.2_method2_adam,96.85,44.15,29.35,24.35,19.5,42.84
relu_0.2_method2_sgd,97.0,44.45,30.83,24.45,19.23,43.19
relu_0.3_method1_adam,96.85,44.45,31.37,24.44,14.99,42.42
relu_0.3_method1_sgd,97.0,43.65,31.12,24.41,19.18,43.07
relu_0.3_method2_adam,96.85,44.15,31.03,24.51,19.5,43.21
relu_0.3_method2_sgd,97.0,43.32,30.87,24.49,19.21,42.98
