model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.0,75.48,80.0,68.21,56.95,75.53
relu_0.1_method1_adam,96.85,77.72,64.87,62.06,58.72,72.04
relu_0.1_method1_sgd,97.0,75.48,79.97,62.31,60.56,75.06
relu_0.1_method2_adam,96.85,77.72,64.35,61.8,60.67,72.28
relu_0.1_method2_sgd,97.0,75.48,79.97,62.31,60.56,75.06
relu_0.2_method1_adam,96.85,70.72,64.33,61.32,60.96,70.84
relu_0.2_method1_sgd,97.0,64.2,69.37,54.42,57.1,68.42
relu_0.2_method2_adam,96.85,77.1,62.68,64.94,59.5,72.21
relu_0.2_method2_sgd,97.0,62.45,68.28,55.15,64.99,69.57
relu_0.3_method1_adam,96.85,69.45,64.7,61.94,54.62,69.51
relu_0.3_method1_sgd,97.0,74.1,67.72,59.6,65.69,72.82
relu_0.3_method2_adam,96.85,69.15,64.37,62.02,59.48,70.37
relu_0.3_method2_sgd,97.0,73.08,63.43,60.94,62.13,71.32
