model,num_tasks_seen,task,metric_type,accuracy
relu_0.1_method1_sgd,1,0,Class-IL,97.0
relu_0.1_method1_sgd,1,0,Task-IL,97.0
relu_0.1_method1_sgd,1,avg,Class-IL,97.0
relu_0.1_method1_sgd,1,avg,Task-IL,97.0
relu_0.1_method1_sgd,2,0,Class-IL,0.0
relu_0.1_method1_sgd,2,0,Task-IL,64.1
relu_0.1_method1_sgd,2,1,Class-IL,83.89999999999999
relu_0.1_method1_sgd,2,1,Task-IL,83.89999999999999
relu_0.1_method1_sgd,2,avg,Class-IL,41.95
relu_0.1_method1_sgd,2,avg,Task-IL,74.0
relu_0.1_method1_sgd,3,0,Class-IL,0.0
relu_0.1_method1_sgd,3,0,Task-IL,62.7
relu_0.1_method1_sgd,3,1,Class-IL,0.0
relu_0.1_method1_sgd,3,1,Task-IL,41.5
relu_0.1_method1_sgd,3,2,Class-IL,91.9
relu_0.1_method1_sgd,3,2,Task-IL,91.9
relu_0.1_method1_sgd,3,avg,Class-IL,30.63
relu_0.1_method1_sgd,3,avg,Task-IL,65.37
relu_0.1_method1_sgd,4,0,Class-IL,0.0
relu_0.1_method1_sgd,4,0,Task-IL,45.050000000000004
relu_0.1_method1_sgd,4,1,Class-IL,0.0
relu_0.1_method1_sgd,4,1,Task-IL,45.85
relu_0.1_method1_sgd,4,2,Class-IL,0.0
relu_0.1_method1_sgd,4,2,Task-IL,46.400000000000006
relu_0.1_method1_sgd,4,3,Class-IL,96.35000000000001
relu_0.1_method1_sgd,4,3,Task-IL,96.35000000000001
relu_0.1_method1_sgd,4,avg,Class-IL,24.09
relu_0.1_method1_sgd,4,avg,Task-IL,58.41
relu_0.1_method1_sgd,5,0,Class-IL,0.0
relu_0.1_method1_sgd,5,0,Task-IL,74.6
relu_0.1_method1_sgd,5,1,Class-IL,0.0
relu_0.1_method1_sgd,5,1,Task-IL,54.900000000000006
relu_0.1_method1_sgd,5,2,Class-IL,0.0
relu_0.1_method1_sgd,5,2,Task-IL,59.35
relu_0.1_method1_sgd,5,3,Class-IL,0.0
relu_0.1_method1_sgd,5,3,Task-IL,60.199999999999996
relu_0.1_method1_sgd,5,4,Class-IL,95.65
relu_0.1_method1_sgd,5,4,Task-IL,95.65
relu_0.1_method1_sgd,5,avg,Class-IL,19.13
relu_0.1_method1_sgd,5,avg,Task-IL,68.94
relu_0.025_method1_sgd,1,0,Class-IL,97.0
relu_0.025_method1_sgd,1,0,Task-IL,97.0
relu_0.025_method1_sgd,1,avg,Class-IL,97.0
relu_0.025_method1_sgd,1,avg,Task-IL,97.0
relu_0.025_method1_sgd,2,0,Class-IL,0.0
relu_0.025_method1_sgd,2,0,Task-IL,70.55
relu_0.025_method1_sgd,2,1,Class-IL,83.39999999999999
relu_0.025_method1_sgd,2,1,Task-IL,83.39999999999999
relu_0.025_method1_sgd,2,avg,Class-IL,41.7
relu_0.025_method1_sgd,2,avg,Task-IL,76.97
relu_0.025_method1_sgd,3,0,Class-IL,0.0
relu_0.025_method1_sgd,3,0,Task-IL,54.900000000000006
relu_0.025_method1_sgd,3,1,Class-IL,0.0
relu_0.025_method1_sgd,3,1,Task-IL,57.699999999999996
relu_0.025_method1_sgd,3,2,Class-IL,94.39999999999999
relu_0.025_method1_sgd,3,2,Task-IL,94.39999999999999
relu_0.025_method1_sgd,3,avg,Class-IL,31.47
relu_0.025_method1_sgd,3,avg,Task-IL,69.0
relu_0.025_method1_sgd,4,0,Class-IL,0.0
relu_0.025_method1_sgd,4,0,Task-IL,55.55
relu_0.025_method1_sgd,4,1,Class-IL,0.0
relu_0.025_method1_sgd,4,1,Task-IL,54.55
relu_0.025_method1_sgd,4,2,Class-IL,0.0
relu_0.025_method1_sgd,4,2,Task-IL,55.05
relu_0.025_method1_sgd,4,3,Class-IL,97.45
relu_0.025_method1_sgd,4,3,Task-IL,97.45
relu_0.025_method1_sgd,4,avg,Class-IL,24.36
relu_0.025_method1_sgd,4,avg,Task-IL,65.65
relu_0.025_method1_sgd,5,0,Class-IL,0.0
relu_0.025_method1_sgd,5,0,Task-IL,69.75
relu_0.025_method1_sgd,5,1,Class-IL,0.0
relu_0.025_method1_sgd,5,1,Task-IL,41.15
relu_0.025_method1_sgd,5,2,Class-IL,0.0
relu_0.025_method1_sgd,5,2,Task-IL,47.4
relu_0.025_method1_sgd,5,3,Class-IL,0.0
relu_0.025_method1_sgd,5,3,Task-IL,38.6
relu_0.025_method1_sgd,5,4,Class-IL,96.39999999999999
relu_0.025_method1_sgd,5,4,Task-IL,96.39999999999999
relu_0.025_method1_sgd,5,avg,Class-IL,19.28
relu_0.025_method1_sgd,5,avg,Task-IL,58.66
relu_0.05_method1_sgd,1,0,Class-IL,97.0
relu_0.05_method1_sgd,1,0,Task-IL,97.0
relu_0.05_method1_sgd,1,avg,Class-IL,97.0
relu_0.05_method1_sgd,1,avg,Task-IL,97.0
relu_0.05_method1_sgd,2,0,Class-IL,0.0
relu_0.05_method1_sgd,2,0,Task-IL,65.64999999999999
relu_0.05_method1_sgd,2,1,Class-IL,84.75
relu_0.05_method1_sgd,2,1,Task-IL,84.75
relu_0.05_method1_sgd,2,avg,Class-IL,42.38
relu_0.05_method1_sgd,2,avg,Task-IL,75.2
relu_0.05_method1_sgd,3,0,Class-IL,0.0
relu_0.05_method1_sgd,3,0,Task-IL,60.3
relu_0.05_method1_sgd,3,1,Class-IL,0.0
relu_0.05_method1_sgd,3,1,Task-IL,60.3
relu_0.05_method1_sgd,3,2,Class-IL,93.65
relu_0.05_method1_sgd,3,2,Task-IL,93.65
relu_0.05_method1_sgd,3,avg,Class-IL,31.22
relu_0.05_method1_sgd,3,avg,Task-IL,71.42
relu_0.05_method1_sgd,4,0,Class-IL,0.0
relu_0.05_method1_sgd,4,0,Task-IL,54.15
relu_0.05_method1_sgd,4,1,Class-IL,0.0
relu_0.05_method1_sgd,4,1,Task-IL,54.900000000000006
relu_0.05_method1_sgd,4,2,Class-IL,0.0
relu_0.05_method1_sgd,4,2,Task-IL,61.050000000000004
relu_0.05_method1_sgd,4,3,Class-IL,97.75
relu_0.05_method1_sgd,4,3,Task-IL,97.75
relu_0.05_method1_sgd,4,avg,Class-IL,24.44
relu_0.05_method1_sgd,4,avg,Task-IL,66.96
relu_0.05_method1_sgd,5,0,Class-IL,0.0
relu_0.05_method1_sgd,5,0,Task-IL,35.949999999999996
relu_0.05_method1_sgd,5,1,Class-IL,0.0
relu_0.05_method1_sgd,5,1,Task-IL,49.85
relu_0.05_method1_sgd,5,2,Class-IL,0.0
relu_0.05_method1_sgd,5,2,Task-IL,57.99999999999999
relu_0.05_method1_sgd,5,3,Class-IL,0.0
relu_0.05_method1_sgd,5,3,Task-IL,50.64999999999999
relu_0.05_method1_sgd,5,4,Class-IL,95.5
relu_0.05_method1_sgd,5,4,Task-IL,95.5
relu_0.05_method1_sgd,5,avg,Class-IL,19.1
relu_0.05_method1_sgd,5,avg,Task-IL,57.99
relu_0.05_method2_sgd,1,0,Class-IL,97.0
relu_0.05_method2_sgd,1,0,Task-IL,97.0
relu_0.05_method2_sgd,1,avg,Class-IL,97.0
relu_0.05_method2_sgd,1,avg,Task-IL,97.0
relu_0.05_method2_sgd,2,0,Class-IL,0.0
relu_0.05_method2_sgd,2,0,Task-IL,65.64999999999999
relu_0.05_method2_sgd,2,1,Class-IL,84.75
relu_0.05_method2_sgd,2,1,Task-IL,84.75
relu_0.05_method2_sgd,2,avg,Class-IL,42.38
relu_0.05_method2_sgd,2,avg,Task-IL,75.2
relu_0.05_method2_sgd,3,0,Class-IL,0.0
