model,num_tasks_seen,task,metric_type,accuracy
relu_0.05_method2_adam,1,0,Class-IL,96.85000000000001
relu_0.05_method2_adam,1,0,Task-IL,96.85000000000001
relu_0.05_method2_adam,1,avg,Class-IL,96.85
relu_0.05_method2_adam,1,avg,Task-IL,96.85
relu_0.05_method2_adam,2,0,Class-IL,0.0
relu_0.05_method2_adam,2,0,Task-IL,50.0
relu_0.05_method2_adam,2,1,Class-IL,89.35
relu_0.05_method2_adam,2,1,Task-IL,89.35
relu_0.05_method2_adam,2,avg,Class-IL,44.68
relu_0.05_method2_adam,2,avg,Task-IL,69.68
relu_0.05_method2_adam,3,0,Class-IL,0.0
relu_0.05_method2_adam,3,0,Task-IL,50.0
relu_0.05_method2_adam,3,1,Class-IL,0.0
relu_0.05_method2_adam,3,1,Task-IL,50.0
relu_0.05_method2_adam,3,2,Class-IL,94.19999999999999
relu_0.05_method2_adam,3,2,Task-IL,94.19999999999999
relu_0.05_method2_adam,3,avg,Class-IL,31.4
relu_0.05_method2_adam,3,avg,Task-IL,64.73
relu_0.05_method2_adam,4,0,Class-IL,0.0
relu_0.05_method2_adam,4,0,Task-IL,50.0
relu_0.05_method2_adam,4,1,Class-IL,0.0
relu_0.05_method2_adam,4,1,Task-IL,50.0
relu_0.05_method2_adam,4,2,Class-IL,0.0
relu_0.05_method2_adam,4,2,Task-IL,49.4
relu_0.05_method2_adam,4,3,Class-IL,96.75
relu_0.05_method2_adam,4,3,Task-IL,96.75
relu_0.05_method2_adam,4,avg,Class-IL,24.19
relu_0.05_method2_adam,4,avg,Task-IL,61.54
relu_0.05_method2_adam,5,0,Class-IL,0.0
relu_0.05_method2_adam,5,0,Task-IL,50.0
relu_0.05_method2_adam,5,1,Class-IL,0.0
relu_0.05_method2_adam,5,1,Task-IL,50.0
relu_0.05_method2_adam,5,2,Class-IL,0.0
relu_0.05_method2_adam,5,2,Task-IL,52.2
relu_0.05_method2_adam,5,3,Class-IL,0.0
relu_0.05_method2_adam,5,3,Task-IL,50.0
relu_0.05_method2_adam,5,4,Class-IL,97.35000000000001
relu_0.05_method2_adam,5,4,Task-IL,97.35000000000001
relu_0.05_method2_adam,5,avg,Class-IL,19.47
relu_0.05_method2_adam,5,avg,Task-IL,59.91
relu_0.1_method2_adam,1,0,Class-IL,96.85000000000001
relu_0.1_method2_adam,1,0,Task-IL,96.85000000000001
relu_0.1_method2_adam,1,avg,Class-IL,96.85
relu_0.1_method2_adam,1,avg,Task-IL,96.85
relu_0.1_method2_adam,2,0,Class-IL,0.0
relu_0.1_method2_adam,2,0,Task-IL,50.0
relu_0.1_method2_adam,2,1,Class-IL,87.7
relu_0.1_method2_adam,2,1,Task-IL,87.7
relu_0.1_method2_adam,2,avg,Class-IL,43.85
relu_0.1_method2_adam,2,avg,Task-IL,68.85
relu_0.1_method2_adam,3,0,Class-IL,0.0
relu_0.1_method2_adam,3,0,Task-IL,50.0
relu_0.1_method2_adam,3,1,Class-IL,0.0
relu_0.1_method2_adam,3,1,Task-IL,63.6
relu_0.1_method2_adam,3,2,Class-IL,92.95
relu_0.1_method2_adam,3,2,Task-IL,92.95
relu_0.1_method2_adam,3,avg,Class-IL,30.98
relu_0.1_method2_adam,3,avg,Task-IL,68.85
relu_0.1_method2_adam,4,0,Class-IL,0.0
relu_0.1_method2_adam,4,0,Task-IL,50.1
relu_0.1_method2_adam,4,1,Class-IL,0.0
relu_0.1_method2_adam,4,1,Task-IL,49.9
relu_0.1_method2_adam,4,2,Class-IL,0.0
relu_0.1_method2_adam,4,2,Task-IL,50.0
relu_0.1_method2_adam,4,3,Class-IL,97.75
relu_0.1_method2_adam,4,3,Task-IL,97.75
relu_0.1_method2_adam,4,avg,Class-IL,24.44
relu_0.1_method2_adam,4,avg,Task-IL,61.94
relu_0.1_method2_adam,5,0,Class-IL,0.0
relu_0.1_method2_adam,5,0,Task-IL,50.0
relu_0.1_method2_adam,5,1,Class-IL,0.0
relu_0.1_method2_adam,5,1,Task-IL,49.6
relu_0.1_method2_adam,5,2,Class-IL,0.0
relu_0.1_method2_adam,5,2,Task-IL,50.0
relu_0.1_method2_adam,5,3,Class-IL,0.0
relu_0.1_method2_adam,5,3,Task-IL,50.0
relu_0.1_method2_adam,5,4,Class-IL,97.2
relu_0.1_method2_adam,5,4,Task-IL,97.2
relu_0.1_method2_adam,5,avg,Class-IL,19.44
relu_0.1_method2_adam,5,avg,Task-IL,59.36
01_baseline_sgd_relu,1,0,Class-IL,97.0
01_baseline_sgd_relu,1,0,Task-IL,97.0
01_baseline_sgd_relu,1,avg,Class-IL,97.0
01_baseline_sgd_relu,1,avg,Task-IL,97.0
01_baseline_sgd_relu,2,0,Class-IL,0.0
01_baseline_sgd_relu,2,0,Task-IL,63.9
01_baseline_sgd_relu,2,1,Class-IL,87.05000000000001
01_baseline_sgd_relu,2,1,Task-IL,87.05000000000001
01_baseline_sgd_relu,2,avg,Class-IL,43.53
01_baseline_sgd_relu,2,avg,Task-IL,75.48
01_baseline_sgd_relu,3,0,Class-IL,0.0
01_baseline_sgd_relu,3,0,Task-IL,76.2
01_baseline_sgd_relu,3,1,Class-IL,0.0
01_baseline_sgd_relu,3,1,Task-IL,70.7
01_baseline_sgd_relu,3,2,Class-IL,93.10000000000001
01_baseline_sgd_relu,3,2,Task-IL,93.10000000000001
01_baseline_sgd_relu,3,avg,Class-IL,31.03
01_baseline_sgd_relu,3,avg,Task-IL,80.0
01_baseline_sgd_relu,4,0,Class-IL,0.0
01_baseline_sgd_relu,4,0,Task-IL,60.4
01_baseline_sgd_relu,4,1,Class-IL,0.0
01_baseline_sgd_relu,4,1,Task-IL,53.800000000000004
01_baseline_sgd_relu,4,2,Class-IL,0.0
01_baseline_sgd_relu,4,2,Task-IL,60.650000000000006
01_baseline_sgd_relu,4,3,Class-IL,98.0
01_baseline_sgd_relu,4,3,Task-IL,98.0
01_baseline_sgd_relu,4,avg,Class-IL,24.5
01_baseline_sgd_relu,4,avg,Task-IL,68.21
01_baseline_sgd_relu,5,0,Class-IL,0.0
01_baseline_sgd_relu,5,0,Task-IL,23.200000000000003
01_baseline_sgd_relu,5,1,Class-IL,0.0
01_baseline_sgd_relu,5,1,Task-IL,46.85
01_baseline_sgd_relu,5,2,Class-IL,0.0
01_baseline_sgd_relu,5,2,Task-IL,53.6
01_baseline_sgd_relu,5,3,Class-IL,0.0
01_baseline_sgd_relu,5,3,Task-IL,64.85
01_baseline_sgd_relu,5,4,Class-IL,96.25
01_baseline_sgd_relu,5,4,Task-IL,96.25
01_baseline_sgd_relu,5,avg,Class-IL,19.25
01_baseline_sgd_relu,5,avg,Task-IL,56.95
relu_0.025_method2_adam,1,0,Class-IL,96.85000000000001
relu_0.025_method2_adam,1,0,Task-IL,96.85000000000001
relu_0.025_method2_adam,1,avg,Class-IL,96.85
relu_0.025_method2_adam,1,avg,Task-IL,96.85
relu_0.025_method2_adam,2,0,Class-IL,0.0
relu_0.025_method2_adam,2,0,Task-IL,50.0
relu_0.025_method2_adam,2,1,Class-IL,88.8
relu_0.025_method2_adam,2,1,Task-IL,88.8
relu_0.025_method2_adam,2,avg,Class-IL,44.4
