model,num_tasks_seen,task,metric_type,accuracy
leaky_relu_0.3_ghada_sgd,1,0,Class-IL,89.1
leaky_relu_0.3_ghada_sgd,1,0,Task-IL,89.1
leaky_relu_0.3_ghada_sgd,1,avg,Class-IL,89.1
leaky_relu_0.3_ghada_sgd,1,avg,Task-IL,89.1
leaky_relu_0.3_ghada_sgd,2,0,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,2,0,Task-IL,72.85000000000001
leaky_relu_0.3_ghada_sgd,2,1,Class-IL,79.9
leaky_relu_0.3_ghada_sgd,2,1,Task-IL,79.9
leaky_relu_0.3_ghada_sgd,2,avg,Class-IL,39.95
leaky_relu_0.3_ghada_sgd,2,avg,Task-IL,76.38
leaky_relu_0.3_ghada_sgd,3,0,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,3,0,Task-IL,57.25
leaky_relu_0.3_ghada_sgd,3,1,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,3,1,Task-IL,65.10000000000001
leaky_relu_0.3_ghada_sgd,3,2,Class-IL,88.6
leaky_relu_0.3_ghada_sgd,3,2,Task-IL,88.6
leaky_relu_0.3_ghada_sgd,3,avg,Class-IL,29.53
leaky_relu_0.3_ghada_sgd,3,avg,Task-IL,70.32
leaky_relu_0.3_ghada_sgd,4,0,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,4,0,Task-IL,56.99999999999999
leaky_relu_0.3_ghada_sgd,4,1,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,4,1,Task-IL,55.50000000000001
leaky_relu_0.3_ghada_sgd,4,2,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,4,2,Task-IL,63.6
leaky_relu_0.3_ghada_sgd,4,3,Class-IL,96.05
leaky_relu_0.3_ghada_sgd,4,3,Task-IL,96.05
leaky_relu_0.3_ghada_sgd,4,avg,Class-IL,24.01
leaky_relu_0.3_ghada_sgd,4,avg,Task-IL,68.04
leaky_relu_0.3_ghada_sgd,5,0,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,5,0,Task-IL,51.7
leaky_relu_0.3_ghada_sgd,5,1,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,5,1,Task-IL,55.15
leaky_relu_0.3_ghada_sgd,5,2,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,5,2,Task-IL,54.449999999999996
leaky_relu_0.3_ghada_sgd,5,3,Class-IL,0.0
leaky_relu_0.3_ghada_sgd,5,3,Task-IL,71.6
leaky_relu_0.3_ghada_sgd,5,4,Class-IL,93.10000000000001
leaky_relu_0.3_ghada_sgd,5,4,Task-IL,93.10000000000001
leaky_relu_0.3_ghada_sgd,5,avg,Class-IL,18.62
leaky_relu_0.3_ghada_sgd,5,avg,Task-IL,65.2
silu_0.2_ours_sgd,1,0,Class-IL,94.55
silu_0.2_ours_sgd,1,0,Task-IL,94.55
silu_0.2_ours_sgd,1,avg,Class-IL,94.55
silu_0.2_ours_sgd,1,avg,Task-IL,94.55
silu_0.2_ours_sgd,2,0,Class-IL,0.0
silu_0.2_ours_sgd,2,0,Task-IL,78.3
silu_0.2_ours_sgd,2,1,Class-IL,83.35000000000001
silu_0.2_ours_sgd,2,1,Task-IL,83.35000000000001
silu_0.2_ours_sgd,2,avg,Class-IL,41.68
silu_0.2_ours_sgd,2,avg,Task-IL,80.82
silu_0.2_ours_sgd,3,0,Class-IL,0.0
silu_0.2_ours_sgd,3,0,Task-IL,62.3
silu_0.2_ours_sgd,3,1,Class-IL,0.0
silu_0.2_ours_sgd,3,1,Task-IL,65.5
silu_0.2_ours_sgd,3,2,Class-IL,89.75
silu_0.2_ours_sgd,3,2,Task-IL,89.75
silu_0.2_ours_sgd,3,avg,Class-IL,29.92
silu_0.2_ours_sgd,3,avg,Task-IL,72.52
silu_0.2_ours_sgd,4,0,Class-IL,0.0
silu_0.2_ours_sgd,4,0,Task-IL,64.14999999999999
silu_0.2_ours_sgd,4,1,Class-IL,0.0
silu_0.2_ours_sgd,4,1,Task-IL,69.89999999999999
silu_0.2_ours_sgd,4,2,Class-IL,0.0
silu_0.2_ours_sgd,4,2,Task-IL,68.55
silu_0.2_ours_sgd,4,3,Class-IL,97.75
silu_0.2_ours_sgd,4,3,Task-IL,97.75
