model,1,2,3,4,5
leaky_relu_0.2_ghada_adam,0.0,0.0,20.0,31.0,104.0
leaky_relu_0.2_ghada_sgd,0.0,4.0,0.0,0.0,10.0
leaky_relu_0.2_ours_adam,0.0,0.0,20.0,31.0,104.0
leaky_relu_0.2_ours_sgd,0.0,4.0,0.0,0.0,10.0
leaky_relu_0.3_ghada_adam,0.0,23.0,62.0,50.0,100.0
leaky_relu_0.3_ghada_sgd,0.0,43.0,90.0,24.0,17.0
leaky_relu_0.3_ours_adam,0.0,12.0,52.0,42.0,119.0
leaky_relu_0.3_ours_sgd,0.0,32.0,74.0,42.0,54.0
relu_0.2_ghada_adam,0.0,0.0,7.0,5.0,102.0
relu_0.2_ghada_sgd,0.0,0.0,0.0,1.0,6.0
relu_0.2_ours_adam,0.0,0.0,7.0,5.0,102.0
relu_0.2_ours_sgd,0.0,0.0,0.0,1.0,6.0
relu_0.3_ghada_adam,0.0,10.0,54.0,63.0,106.0
relu_0.3_ghada_sgd,0.0,33.0,22.0,19.0,40.0
relu_0.3_ours_adam,0.0,11.0,29.0,63.0,116.0
relu_0.3_ours_sgd,0.0,23.0,12.0,35.0,69.0
silu_0.2_ghada_adam,0.0,1.0,28.0,46.0,32.0
silu_0.2_ghada_sgd,0.0,0.0,0.0,0.0,0.0
silu_0.2_ours_adam,0.0,1.0,28.0,46.0,32.0
silu_0.2_ours_sgd,0.0,0.0,0.0,0.0,0.0
silu_0.3_ghada_adam,0.0,49.0,60.0,55.0,53.0
silu_0.3_ghada_sgd,0.0,0.0,11.0,8.0,13.0
silu_0.3_ours_adam,0.0,49.0,64.0,59.0,58.0
silu_0.3_ours_sgd,0.0,0.0,12.0,10.0,15.0
