model,1,2,3,4,5
relu_0.1_ghada_adam,0.0,0.0,0.0,60.0,96.0
relu_0.1_ghada_sgd,0.0,0.0,0.0,0.0,0.0
relu_0.1_ours_adam,0.0,0.0,0.0,60.0,96.0
relu_0.1_ours_sgd,0.0,0.0,0.0,0.0,0.0
relu_0.2_ghada_adam,0.0,0.0,35.0,54.0,111.0
relu_0.2_ghada_sgd,0.0,0.0,0.0,0.0,0.0
relu_0.2_ours_adam,0.0,0.0,35.0,65.0,104.0
relu_0.2_ours_sgd,0.0,0.0,0.0,0.0,0.0
relu_0.3_ghada_adam,0.0,18.0,56.0,118.0,127.0
relu_0.3_ghada_sgd,0.0,8.0,37.0,4.0,4.0
relu_0.3_ours_adam,0.0,18.0,68.0,92.0,115.0
relu_0.3_ours_sgd,0.0,2.0,24.0,12.0,3.0
