task,layer,inactive_count,epoch,model
1,conv1,0,0,relu_0.1_ghada_adam
1,layer1,0,0,relu_0.1_ghada_adam
1,layer2,0,0,relu_0.1_ghada_adam
1,layer3,0,0,relu_0.1_ghada_adam
1,layer4,0,0,relu_0.1_ghada_adam
1,conv1,0,1,relu_0.1_ghada_adam
1,layer1,0,1,relu_0.1_ghada_adam
1,layer2,0,1,relu_0.1_ghada_adam
1,layer3,0,1,relu_0.1_ghada_adam
1,layer4,0,1,relu_0.1_ghada_adam
1,conv1,0,2,relu_0.1_ghada_adam
1,layer1,0,2,relu_0.1_ghada_adam
1,layer2,0,2,relu_0.1_ghada_adam
1,layer3,0,2,relu_0.1_ghada_adam
1,layer4,0,2,relu_0.1_ghada_adam
1,conv1,0,3,relu_0.1_ghada_adam
1,layer1,0,3,relu_0.1_ghada_adam
1,layer2,0,3,relu_0.1_ghada_adam
1,layer3,0,3,relu_0.1_ghada_adam
1,layer4,0,3,relu_0.1_ghada_adam
1,conv1,0,4,relu_0.1_ghada_adam
1,layer1,0,4,relu_0.1_ghada_adam
1,layer2,0,4,relu_0.1_ghada_adam
1,layer3,0,4,relu_0.1_ghada_adam
1,layer4,0,4,relu_0.1_ghada_adam
1,conv1,0,5,relu_0.1_ghada_adam
1,layer1,0,5,relu_0.1_ghada_adam
1,layer2,0,5,relu_0.1_ghada_adam
1,layer3,0,5,relu_0.1_ghada_adam
1,layer4,0,5,relu_0.1_ghada_adam
1,conv1,0,6,relu_0.1_ghada_adam
1,layer1,0,6,relu_0.1_ghada_adam
1,layer2,0,6,relu_0.1_ghada_adam
1,layer3,0,6,relu_0.1_ghada_adam
1,layer4,0,6,relu_0.1_ghada_adam
1,conv1,0,7,relu_0.1_ghada_adam
1,layer1,0,7,relu_0.1_ghada_adam
1,layer2,0,7,relu_0.1_ghada_adam
1,layer3,0,7,relu_0.1_ghada_adam
1,layer4,0,7,relu_0.1_ghada_adam
1,conv1,0,8,relu_0.1_ghada_adam
1,layer1,0,8,relu_0.1_ghada_adam
1,layer2,0,8,relu_0.1_ghada_adam
1,layer3,0,8,relu_0.1_ghada_adam
1,layer4,0,8,relu_0.1_ghada_adam
1,conv1,0,9,relu_0.1_ghada_adam
1,layer1,0,9,relu_0.1_ghada_adam
1,layer2,0,9,relu_0.1_ghada_adam
1,layer3,0,9,relu_0.1_ghada_adam
1,layer4,0,9,relu_0.1_ghada_adam
2,conv1,0,0,relu_0.1_ghada_adam
2,layer1,0,0,relu_0.1_ghada_adam
2,layer2,0,0,relu_0.1_ghada_adam
2,layer3,0,0,relu_0.1_ghada_adam
2,layer4,1,0,relu_0.1_ghada_adam
2,conv1,0,1,relu_0.1_ghada_adam
2,layer1,0,1,relu_0.1_ghada_adam
2,layer2,0,1,relu_0.1_ghada_adam
2,layer3,0,1,relu_0.1_ghada_adam
2,layer4,1,1,relu_0.1_ghada_adam
2,conv1,0,2,relu_0.1_ghada_adam
2,layer1,0,2,relu_0.1_ghada_adam
2,layer2,0,2,relu_0.1_ghada_adam
2,layer3,0,2,relu_0.1_ghada_adam
2,layer4,1,2,relu_0.1_ghada_adam
2,conv1,0,3,relu_0.1_ghada_adam
2,layer1,0,3,relu_0.1_ghada_adam
2,layer2,0,3,relu_0.1_ghada_adam
2,layer3,0,3,relu_0.1_ghada_adam
2,layer4,0,3,relu_0.1_ghada_adam
2,conv1,0,4,relu_0.1_ghada_adam
2,layer1,0,4,relu_0.1_ghada_adam
2,layer2,0,4,relu_0.1_ghada_adam
2,layer3,0,4,relu_0.1_ghada_adam
2,layer4,2,4,relu_0.1_ghada_adam
2,conv1,0,5,relu_0.1_ghada_adam
2,layer1,0,5,relu_0.1_ghada_adam
2,layer2,0,5,relu_0.1_ghada_adam
2,layer3,0,5,relu_0.1_ghada_adam
2,layer4,2,5,relu_0.1_ghada_adam
2,conv1,0,6,relu_0.1_ghada_adam
2,layer1,0,6,relu_0.1_ghada_adam
2,layer2,0,6,relu_0.1_ghada_adam
2,layer3,0,6,relu_0.1_ghada_adam
2,layer4,1,6,relu_0.1_ghada_adam
2,conv1,0,7,relu_0.1_ghada_adam
2,layer1,0,7,relu_0.1_ghada_adam
2,layer2,0,7,relu_0.1_ghada_adam
2,layer3,0,7,relu_0.1_ghada_adam
2,layer4,3,7,relu_0.1_ghada_adam
2,conv1,0,8,relu_0.1_ghada_adam
2,layer1,0,8,relu_0.1_ghada_adam
2,layer2,0,8,relu_0.1_ghada_adam
2,layer3,0,8,relu_0.1_ghada_adam
2,layer4,1,8,relu_0.1_ghada_adam
2,conv1,0,9,relu_0.1_ghada_adam
2,layer1,0,9,relu_0.1_ghada_adam
2,layer2,0,9,relu_0.1_ghada_adam
2,layer3,0,9,relu_0.1_ghada_adam
2,layer4,1,9,relu_0.1_ghada_adam
3,conv1,0,0,relu_0.1_ghada_adam
3,layer1,0,0,relu_0.1_ghada_adam
3,layer2,0,0,relu_0.1_ghada_adam
3,layer3,0,0,relu_0.1_ghada_adam
3,layer4,249,0,relu_0.1_ghada_adam
3,conv1,0,1,relu_0.1_ghada_adam
3,layer1,0,1,relu_0.1_ghada_adam
3,layer2,0,1,relu_0.1_ghada_adam
3,layer3,0,1,relu_0.1_ghada_adam
3,layer4,179,1,relu_0.1_ghada_adam
3,conv1,0,2,relu_0.1_ghada_adam
3,layer1,0,2,relu_0.1_ghada_adam
3,layer2,0,2,relu_0.1_ghada_adam
3,layer3,0,2,relu_0.1_ghada_adam
3,layer4,173,2,relu_0.1_ghada_adam
3,conv1,0,3,relu_0.1_ghada_adam
3,layer1,0,3,relu_0.1_ghada_adam
3,layer2,0,3,relu_0.1_ghada_adam
3,layer3,0,3,relu_0.1_ghada_adam
3,layer4,94,3,relu_0.1_ghada_adam
3,conv1,0,4,relu_0.1_ghada_adam
3,layer1,0,4,relu_0.1_ghada_adam
3,layer2,0,4,relu_0.1_ghada_adam
3,layer3,0,4,relu_0.1_ghada_adam
3,layer4,96,4,relu_0.1_ghada_adam
3,conv1,0,5,relu_0.1_ghada_adam
3,layer1,0,5,relu_0.1_ghada_adam
3,layer2,0,5,relu_0.1_ghada_adam
3,layer3,0,5,relu_0.1_ghada_adam
3,layer4,114,5,relu_0.1_ghada_adam
3,conv1,0,6,relu_0.1_ghada_adam
3,layer1,0,6,relu_0.1_ghada_adam
3,layer2,0,6,relu_0.1_ghada_adam
3,layer3,0,6,relu_0.1_ghada_adam
3,layer4,102,6,relu_0.1_ghada_adam
3,conv1,0,7,relu_0.1_ghada_adam
3,layer1,0,7,relu_0.1_ghada_adam
3,layer2,0,7,relu_0.1_ghada_adam
3,layer3,0,7,relu_0.1_ghada_adam
3,layer4,86,7,relu_0.1_ghada_adam
3,conv1,0,8,relu_0.1_ghada_adam
3,layer1,0,8,relu_0.1_ghada_adam
3,layer2,0,8,relu_0.1_ghada_adam
3,layer3,0,8,relu_0.1_ghada_adam
3,layer4,56,8,relu_0.1_ghada_adam
3,conv1,0,9,relu_0.1_ghada_adam
3,layer1,0,9,relu_0.1_ghada_adam
3,layer2,0,9,relu_0.1_ghada_adam
3,layer3,0,9,relu_0.1_ghada_adam
3,layer4,28,9,relu_0.1_ghada_adam
4,conv1,1,0,relu_0.1_ghada_adam
4,layer1,0,0,relu_0.1_ghada_adam
4,layer2,0,0,relu_0.1_ghada_adam
4,layer3,0,0,relu_0.1_ghada_adam
4,layer4,221,0,relu_0.1_ghada_adam
4,conv1,0,1,relu_0.1_ghada_adam
4,layer1,0,1,relu_0.1_ghada_adam
4,layer2,0,1,relu_0.1_ghada_adam
4,layer3,0,1,relu_0.1_ghada_adam
4,layer4,171,1,relu_0.1_ghada_adam
4,conv1,0,2,relu_0.1_ghada_adam
4,layer1,0,2,relu_0.1_ghada_adam
4,layer2,0,2,relu_0.1_ghada_adam
4,layer3,0,2,relu_0.1_ghada_adam
4,layer4,120,2,relu_0.1_ghada_adam
4,conv1,0,3,relu_0.1_ghada_adam
4,layer1,0,3,relu_0.1_ghada_adam
4,layer2,0,3,relu_0.1_ghada_adam
4,layer3,0,3,relu_0.1_ghada_adam
4,layer4,128,3,relu_0.1_ghada_adam
4,conv1,0,4,relu_0.1_ghada_adam
4,layer1,0,4,relu_0.1_ghada_adam
4,layer2,0,4,relu_0.1_ghada_adam
4,layer3,0,4,relu_0.1_ghada_adam
4,layer4,138,4,relu_0.1_ghada_adam
4,conv1,0,5,relu_0.1_ghada_adam
4,layer1,0,5,relu_0.1_ghada_adam
4,layer2,0,5,relu_0.1_ghada_adam
4,layer3,0,5,relu_0.1_ghada_adam
4,layer4,74,5,relu_0.1_ghada_adam
4,conv1,0,6,relu_0.1_ghada_adam
4,layer1,0,6,relu_0.1_ghada_adam
4,layer2,0,6,relu_0.1_ghada_adam
4,layer3,0,6,relu_0.1_ghada_adam
4,layer4,61,6,relu_0.1_ghada_adam
4,conv1,0,7,relu_0.1_ghada_adam
4,layer1,0,7,relu_0.1_ghada_adam
4,layer2,0,7,relu_0.1_ghada_adam
4,layer3,0,7,relu_0.1_ghada_adam
4,layer4,98,7,relu_0.1_ghada_adam
4,conv1,0,8,relu_0.1_ghada_adam
4,layer1,0,8,relu_0.1_ghada_adam
4,layer2,0,8,relu_0.1_ghada_adam
4,layer3,0,8,relu_0.1_ghada_adam
4,layer4,47,8,relu_0.1_ghada_adam
4,conv1,0,9,relu_0.1_ghada_adam
4,layer1,0,9,relu_0.1_ghada_adam
4,layer2,0,9,relu_0.1_ghada_adam
4,layer3,0,9,relu_0.1_ghada_adam
4,layer4,41,9,relu_0.1_ghada_adam
5,conv1,0,0,relu_0.1_ghada_adam
5,layer1,0,0,relu_0.1_ghada_adam
5,layer2,0,0,relu_0.1_ghada_adam
5,layer3,0,0,relu_0.1_ghada_adam
5,layer4,460,0,relu_0.1_ghada_adam
5,conv1,0,1,relu_0.1_ghada_adam
5,layer1,0,1,relu_0.1_ghada_adam
5,layer2,0,1,relu_0.1_ghada_adam
5,layer3,0,1,relu_0.1_ghada_adam
5,layer4,442,1,relu_0.1_ghada_adam
5,conv1,0,2,relu_0.1_ghada_adam
5,layer1,0,2,relu_0.1_ghada_adam
5,layer2,0,2,relu_0.1_ghada_adam
5,layer3,0,2,relu_0.1_ghada_adam
5,layer4,418,2,relu_0.1_ghada_adam
5,conv1,0,3,relu_0.1_ghada_adam
5,layer1,0,3,relu_0.1_ghada_adam
5,layer2,0,3,relu_0.1_ghada_adam
5,layer3,0,3,relu_0.1_ghada_adam
5,layer4,425,3,relu_0.1_ghada_adam
5,conv1,0,4,relu_0.1_ghada_adam
5,layer1,0,4,relu_0.1_ghada_adam
5,layer2,0,4,relu_0.1_ghada_adam
5,layer3,0,4,relu_0.1_ghada_adam
5,layer4,358,4,relu_0.1_ghada_adam
5,conv1,0,5,relu_0.1_ghada_adam
5,layer1,0,5,relu_0.1_ghada_adam
5,layer2,0,5,relu_0.1_ghada_adam
5,layer3,0,5,relu_0.1_ghada_adam
5,layer4,399,5,relu_0.1_ghada_adam
5,conv1,0,6,relu_0.1_ghada_adam
5,layer1,0,6,relu_0.1_ghada_adam
5,layer2,0,6,relu_0.1_ghada_adam
5,layer3,0,6,relu_0.1_ghada_adam
