model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.25,43.48,31.12,24.45,18.65,42.99
relu_0.1_ghada_adam,96.9,40.9,26.55,24.46,15.42,40.85
relu_0.1_ghada_sgd,97.25,43.7,31.33,24.42,17.27,42.79
relu_0.1_ours_adam,96.9,40.9,26.55,24.71,21.81,42.17
relu_0.1_ours_sgd,97.25,43.7,31.33,24.42,17.15,42.77
relu_0.2_ghada_adam,96.9,36.85,19.52,24.42,20.23,39.58
relu_0.2_ghada_sgd,97.25,42.75,31.45,24.51,19.28,43.05
relu_0.2_ours_adam,96.9,39.45,34.32,24.59,18.76,42.8
relu_0.2_ours_sgd,97.25,42.75,31.47,24.6,19.54,43.12
relu_0.3_ghada_adam,96.9,38.3,27.97,24.5,18.6,41.25
relu_0.3_ghada_sgd,97.25,43.62,31.67,24.49,19.39,43.28
relu_0.3_ours_adam,96.9,37.75,16.67,24.59,19.35,39.05
relu_0.3_ours_sgd,97.25,43.32,31.45,24.41,19.44,43.17
