model,num_tasks_seen,task,metric_type,accuracy
relu_0.2_ghada_adam,1,0,Class-IL,94.95
relu_0.2_ghada_adam,1,0,Task-IL,94.95
relu_0.2_ghada_adam,1,avg,Class-IL,94.95
relu_0.2_ghada_adam,1,avg,Task-IL,94.95
relu_0.2_ghada_adam,2,0,Class-IL,0.0
relu_0.2_ghada_adam,2,0,Task-IL,48.949999999999996
relu_0.2_ghada_adam,2,1,Class-IL,84.95
relu_0.2_ghada_adam,2,1,Task-IL,84.95
relu_0.2_ghada_adam,2,avg,Class-IL,42.48
relu_0.2_ghada_adam,2,avg,Task-IL,66.95
relu_0.2_ghada_adam,3,0,Class-IL,0.0
relu_0.2_ghada_adam,3,0,Task-IL,50.0
relu_0.2_ghada_adam,3,1,Class-IL,0.0
relu_0.2_ghada_adam,3,1,Task-IL,50.0
relu_0.2_ghada_adam,3,2,Class-IL,86.2
relu_0.2_ghada_adam,3,2,Task-IL,86.2
relu_0.2_ghada_adam,3,avg,Class-IL,28.73
relu_0.2_ghada_adam,3,avg,Task-IL,62.07
relu_0.2_ghada_adam,4,0,Class-IL,0.0
relu_0.2_ghada_adam,4,0,Task-IL,56.45
relu_0.2_ghada_adam,4,1,Class-IL,0.0
relu_0.2_ghada_adam,4,1,Task-IL,49.05
relu_0.2_ghada_adam,4,2,Class-IL,0.0
relu_0.2_ghada_adam,4,2,Task-IL,49.45
relu_0.2_ghada_adam,4,3,Class-IL,94.39999999999999
relu_0.2_ghada_adam,4,3,Task-IL,94.39999999999999
relu_0.2_ghada_adam,4,avg,Class-IL,23.6
relu_0.2_ghada_adam,4,avg,Task-IL,62.34
relu_0.2_ghada_adam,5,0,Class-IL,0.0
relu_0.2_ghada_adam,5,0,Task-IL,50.349999999999994
relu_0.2_ghada_adam,5,1,Class-IL,0.0
relu_0.2_ghada_adam,5,1,Task-IL,50.14999999999999
relu_0.2_ghada_adam,5,2,Class-IL,0.0
relu_0.2_ghada_adam,5,2,Task-IL,49.9
relu_0.2_ghada_adam,5,3,Class-IL,0.0
relu_0.2_ghada_adam,5,3,Task-IL,50.0
relu_0.2_ghada_adam,5,4,Class-IL,95.19999999999999
relu_0.2_ghada_adam,5,4,Task-IL,95.19999999999999
relu_0.2_ghada_adam,5,avg,Class-IL,19.04
relu_0.2_ghada_adam,5,avg,Task-IL,59.12
relu_0.1_ghada_adam,1,0,Class-IL,94.95
relu_0.1_ghada_adam,1,0,Task-IL,94.95
relu_0.1_ghada_adam,1,avg,Class-IL,94.95
relu_0.1_ghada_adam,1,avg,Task-IL,94.95
relu_0.1_ghada_adam,2,0,Class-IL,0.0
relu_0.1_ghada_adam,2,0,Task-IL,49.75
relu_0.1_ghada_adam,2,1,Class-IL,86.0
relu_0.1_ghada_adam,2,1,Task-IL,86.0
relu_0.1_ghada_adam,2,avg,Class-IL,43.0
relu_0.1_ghada_adam,2,avg,Task-IL,67.88
relu_0.1_ghada_adam,3,0,Class-IL,0.0
relu_0.1_ghada_adam,3,0,Task-IL,58.45
relu_0.1_ghada_adam,3,1,Class-IL,0.0
relu_0.1_ghada_adam,3,1,Task-IL,46.5
relu_0.1_ghada_adam,3,2,Class-IL,91.60000000000001
relu_0.1_ghada_adam,3,2,Task-IL,91.60000000000001
relu_0.1_ghada_adam,3,avg,Class-IL,30.53
relu_0.1_ghada_adam,3,avg,Task-IL,65.52
relu_0.1_ghada_adam,4,0,Class-IL,0.0
relu_0.1_ghada_adam,4,0,Task-IL,57.8
relu_0.1_ghada_adam,4,1,Class-IL,0.0
relu_0.1_ghada_adam,4,1,Task-IL,50.0
relu_0.1_ghada_adam,4,2,Class-IL,0.0
relu_0.1_ghada_adam,4,2,Task-IL,50.0
relu_0.1_ghada_adam,4,3,Class-IL,96.7
relu_0.1_ghada_adam,4,3,Task-IL,96.7
relu_0.1_ghada_adam,4,avg,Class-IL,24.18
relu_0.1_ghada_adam,4,avg,Task-IL,63.62
relu_0.1_ghada_adam,5,0,Class-IL,0.0
relu_0.1_ghada_adam,5,0,Task-IL,62.0
relu_0.1_ghada_adam,5,1,Class-IL,0.0
relu_0.1_ghada_adam,5,1,Task-IL,60.199999999999996
relu_0.1_ghada_adam,5,2,Class-IL,0.0
relu_0.1_ghada_adam,5,2,Task-IL,50.8
relu_0.1_ghada_adam,5,3,Class-IL,0.0
relu_0.1_ghada_adam,5,3,Task-IL,50.0
relu_0.1_ghada_adam,5,4,Class-IL,96.1
relu_0.1_ghada_adam,5,4,Task-IL,96.1
relu_0.1_ghada_adam,5,avg,Class-IL,19.22
relu_0.1_ghada_adam,5,avg,Task-IL,63.82
01_baseline_sgd_relu,1,0,Class-IL,93.10000000000001
01_baseline_sgd_relu,1,0,Task-IL,93.10000000000001
01_baseline_sgd_relu,1,avg,Class-IL,93.1
01_baseline_sgd_relu,1,avg,Task-IL,93.1
01_baseline_sgd_relu,2,0,Class-IL,0.0
01_baseline_sgd_relu,2,0,Task-IL,54.1
01_baseline_sgd_relu,2,1,Class-IL,82.19999999999999
01_baseline_sgd_relu,2,1,Task-IL,82.19999999999999
01_baseline_sgd_relu,2,avg,Class-IL,41.1
01_baseline_sgd_relu,2,avg,Task-IL,68.15
01_baseline_sgd_relu,3,0,Class-IL,0.0
01_baseline_sgd_relu,3,0,Task-IL,55.900000000000006
01_baseline_sgd_relu,3,1,Class-IL,0.0
01_baseline_sgd_relu,3,1,Task-IL,48.5
01_baseline_sgd_relu,3,2,Class-IL,84.35000000000001
01_baseline_sgd_relu,3,2,Task-IL,84.35000000000001
01_baseline_sgd_relu,3,avg,Class-IL,28.12
01_baseline_sgd_relu,3,avg,Task-IL,62.92
01_baseline_sgd_relu,4,0,Class-IL,0.0
01_baseline_sgd_relu,4,0,Task-IL,54.75
01_baseline_sgd_relu,4,1,Class-IL,0.0
01_baseline_sgd_relu,4,1,Task-IL,50.3
01_baseline_sgd_relu,4,2,Class-IL,0.0
01_baseline_sgd_relu,4,2,Task-IL,60.0
01_baseline_sgd_relu,4,3,Class-IL,95.19999999999999
01_baseline_sgd_relu,4,3,Task-IL,95.19999999999999
01_baseline_sgd_relu,4,avg,Class-IL,23.8
01_baseline_sgd_relu,4,avg,Task-IL,65.06
01_baseline_sgd_relu,5,0,Class-IL,0.0
01_baseline_sgd_relu,5,0,Task-IL,49.4
01_baseline_sgd_relu,5,1,Class-IL,0.0
01_baseline_sgd_relu,5,1,Task-IL,45.85
01_baseline_sgd_relu,5,2,Class-IL,0.0
01_baseline_sgd_relu,5,2,Task-IL,54.300000000000004
01_baseline_sgd_relu,5,3,Class-IL,0.0
01_baseline_sgd_relu,5,3,Task-IL,61.5
01_baseline_sgd_relu,5,4,Class-IL,79.60000000000001
01_baseline_sgd_relu,5,4,Task-IL,79.60000000000001
01_baseline_sgd_relu,5,avg,Class-IL,15.92
01_baseline_sgd_relu,5,avg,Task-IL,58.13
relu_0.1_ours_adam,1,0,Class-IL,94.95
