task,layer,inactive_count,epoch,model
1,conv1,48,0,relu_0.2_ghada_adam
1,layer1,60,0,relu_0.2_ghada_adam
1,layer2,128,0,relu_0.2_ghada_adam
1,layer3,256,0,relu_0.2_ghada_adam
1,layer4,354,0,relu_0.2_ghada_adam
1,conv1,45,1,relu_0.2_ghada_adam
1,layer1,59,1,relu_0.2_ghada_adam
1,layer2,128,1,relu_0.2_ghada_adam
1,layer3,256,1,relu_0.2_ghada_adam
1,layer4,350,1,relu_0.2_ghada_adam
1,conv1,48,2,relu_0.2_ghada_adam
1,layer1,60,2,relu_0.2_ghada_adam
1,layer2,128,2,relu_0.2_ghada_adam
1,layer3,256,2,relu_0.2_ghada_adam
1,layer4,351,2,relu_0.2_ghada_adam
1,conv1,50,3,relu_0.2_ghada_adam
1,layer1,60,3,relu_0.2_ghada_adam
1,layer2,127,3,relu_0.2_ghada_adam
1,layer3,255,3,relu_0.2_ghada_adam
1,layer4,366,3,relu_0.2_ghada_adam
1,conv1,46,4,relu_0.2_ghada_adam
1,layer1,62,4,relu_0.2_ghada_adam
1,layer2,128,4,relu_0.2_ghada_adam
1,layer3,255,4,relu_0.2_ghada_adam
1,layer4,366,4,relu_0.2_ghada_adam
1,conv1,45,5,relu_0.2_ghada_adam
1,layer1,57,5,relu_0.2_ghada_adam
1,layer2,128,5,relu_0.2_ghada_adam
1,layer3,244,5,relu_0.2_ghada_adam
1,layer4,373,5,relu_0.2_ghada_adam
1,conv1,46,6,relu_0.2_ghada_adam
1,layer1,61,6,relu_0.2_ghada_adam
1,layer2,128,6,relu_0.2_ghada_adam
1,layer3,256,6,relu_0.2_ghada_adam
1,layer4,369,6,relu_0.2_ghada_adam
1,conv1,49,7,relu_0.2_ghada_adam
1,layer1,58,7,relu_0.2_ghada_adam
1,layer2,127,7,relu_0.2_ghada_adam
1,layer3,252,7,relu_0.2_ghada_adam
1,layer4,379,7,relu_0.2_ghada_adam
1,conv1,41,8,relu_0.2_ghada_adam
1,layer1,57,8,relu_0.2_ghada_adam
1,layer2,127,8,relu_0.2_ghada_adam
1,layer3,229,8,relu_0.2_ghada_adam
1,layer4,373,8,relu_0.2_ghada_adam
1,conv1,49,9,relu_0.2_ghada_adam
1,layer1,60,9,relu_0.2_ghada_adam
1,layer2,127,9,relu_0.2_ghada_adam
1,layer3,249,9,relu_0.2_ghada_adam
1,layer4,402,9,relu_0.2_ghada_adam
2,conv1,59,0,relu_0.2_ghada_adam
2,layer1,64,0,relu_0.2_ghada_adam
2,layer2,128,0,relu_0.2_ghada_adam
2,layer3,256,0,relu_0.2_ghada_adam
2,layer4,446,0,relu_0.2_ghada_adam
2,conv1,60,1,relu_0.2_ghada_adam
2,layer1,63,1,relu_0.2_ghada_adam
2,layer2,128,1,relu_0.2_ghada_adam
2,layer3,255,1,relu_0.2_ghada_adam
2,layer4,448,1,relu_0.2_ghada_adam
2,conv1,59,2,relu_0.2_ghada_adam
2,layer1,64,2,relu_0.2_ghada_adam
2,layer2,127,2,relu_0.2_ghada_adam
2,layer3,255,2,relu_0.2_ghada_adam
2,layer4,447,2,relu_0.2_ghada_adam
2,conv1,58,3,relu_0.2_ghada_adam
2,layer1,63,3,relu_0.2_ghada_adam
2,layer2,128,3,relu_0.2_ghada_adam
2,layer3,254,3,relu_0.2_ghada_adam
2,layer4,458,3,relu_0.2_ghada_adam
2,conv1,60,4,relu_0.2_ghada_adam
2,layer1,64,4,relu_0.2_ghada_adam
2,layer2,128,4,relu_0.2_ghada_adam
2,layer3,255,4,relu_0.2_ghada_adam
2,layer4,458,4,relu_0.2_ghada_adam
2,conv1,58,5,relu_0.2_ghada_adam
2,layer1,64,5,relu_0.2_ghada_adam
2,layer2,128,5,relu_0.2_ghada_adam
2,layer3,253,5,relu_0.2_ghada_adam
2,layer4,453,5,relu_0.2_ghada_adam
2,conv1,54,6,relu_0.2_ghada_adam
2,layer1,62,6,relu_0.2_ghada_adam
2,layer2,128,6,relu_0.2_ghada_adam
2,layer3,255,6,relu_0.2_ghada_adam
2,layer4,461,6,relu_0.2_ghada_adam
2,conv1,60,7,relu_0.2_ghada_adam
2,layer1,64,7,relu_0.2_ghada_adam
2,layer2,127,7,relu_0.2_ghada_adam
2,layer3,251,7,relu_0.2_ghada_adam
2,layer4,445,7,relu_0.2_ghada_adam
2,conv1,57,8,relu_0.2_ghada_adam
2,layer1,64,8,relu_0.2_ghada_adam
2,layer2,128,8,relu_0.2_ghada_adam
2,layer3,252,8,relu_0.2_ghada_adam
2,layer4,455,8,relu_0.2_ghada_adam
2,conv1,53,9,relu_0.2_ghada_adam
2,layer1,62,9,relu_0.2_ghada_adam
2,layer2,128,9,relu_0.2_ghada_adam
2,layer3,251,9,relu_0.2_ghada_adam
2,layer4,459,9,relu_0.2_ghada_adam
3,conv1,60,0,relu_0.2_ghada_adam
3,layer1,64,0,relu_0.2_ghada_adam
3,layer2,128,0,relu_0.2_ghada_adam
3,layer3,256,0,relu_0.2_ghada_adam
3,layer4,440,0,relu_0.2_ghada_adam
3,conv1,59,1,relu_0.2_ghada_adam
3,layer1,64,1,relu_0.2_ghada_adam
3,layer2,128,1,relu_0.2_ghada_adam
3,layer3,255,1,relu_0.2_ghada_adam
3,layer4,436,1,relu_0.2_ghada_adam
3,conv1,58,2,relu_0.2_ghada_adam
3,layer1,64,2,relu_0.2_ghada_adam
3,layer2,128,2,relu_0.2_ghada_adam
3,layer3,255,2,relu_0.2_ghada_adam
3,layer4,436,2,relu_0.2_ghada_adam
3,conv1,60,3,relu_0.2_ghada_adam
3,layer1,64,3,relu_0.2_ghada_adam
3,layer2,128,3,relu_0.2_ghada_adam
3,layer3,255,3,relu_0.2_ghada_adam
3,layer4,440,3,relu_0.2_ghada_adam
3,conv1,61,4,relu_0.2_ghada_adam
3,layer1,63,4,relu_0.2_ghada_adam
3,layer2,128,4,relu_0.2_ghada_adam
3,layer3,255,4,relu_0.2_ghada_adam
3,layer4,436,4,relu_0.2_ghada_adam
3,conv1,59,5,relu_0.2_ghada_adam
3,layer1,63,5,relu_0.2_ghada_adam
3,layer2,126,5,relu_0.2_ghada_adam
3,layer3,255,5,relu_0.2_ghada_adam
3,layer4,432,5,relu_0.2_ghada_adam
3,conv1,59,6,relu_0.2_ghada_adam
3,layer1,61,6,relu_0.2_ghada_adam
3,layer2,127,6,relu_0.2_ghada_adam
3,layer3,253,6,relu_0.2_ghada_adam
3,layer4,437,6,relu_0.2_ghada_adam
3,conv1,61,7,relu_0.2_ghada_adam
3,layer1,64,7,relu_0.2_ghada_adam
3,layer2,126,7,relu_0.2_ghada_adam
3,layer3,249,7,relu_0.2_ghada_adam
3,layer4,431,7,relu_0.2_ghada_adam
3,conv1,58,8,relu_0.2_ghada_adam
3,layer1,63,8,relu_0.2_ghada_adam
3,layer2,127,8,relu_0.2_ghada_adam
3,layer3,253,8,relu_0.2_ghada_adam
3,layer4,443,8,relu_0.2_ghada_adam
3,conv1,61,9,relu_0.2_ghada_adam
3,layer1,63,9,relu_0.2_ghada_adam
3,layer2,126,9,relu_0.2_ghada_adam
3,layer3,252,9,relu_0.2_ghada_adam
3,layer4,435,9,relu_0.2_ghada_adam
4,conv1,57,0,relu_0.2_ghada_adam
4,layer1,64,0,relu_0.2_ghada_adam
4,layer2,123,0,relu_0.2_ghada_adam
4,layer3,249,0,relu_0.2_ghada_adam
4,layer4,479,0,relu_0.2_ghada_adam
4,conv1,59,1,relu_0.2_ghada_adam
4,layer1,63,1,relu_0.2_ghada_adam
4,layer2,123,1,relu_0.2_ghada_adam
4,layer3,245,1,relu_0.2_ghada_adam
4,layer4,478,1,relu_0.2_ghada_adam
4,conv1,59,2,relu_0.2_ghada_adam
4,layer1,63,2,relu_0.2_ghada_adam
4,layer2,124,2,relu_0.2_ghada_adam
4,layer3,248,2,relu_0.2_ghada_adam
4,layer4,481,2,relu_0.2_ghada_adam
4,conv1,60,3,relu_0.2_ghada_adam
4,layer1,63,3,relu_0.2_ghada_adam
4,layer2,123,3,relu_0.2_ghada_adam
4,layer3,250,3,relu_0.2_ghada_adam
4,layer4,471,3,relu_0.2_ghada_adam
4,conv1,59,4,relu_0.2_ghada_adam
4,layer1,63,4,relu_0.2_ghada_adam
4,layer2,123,4,relu_0.2_ghada_adam
4,layer3,251,4,relu_0.2_ghada_adam
4,layer4,473,4,relu_0.2_ghada_adam
4,conv1,59,5,relu_0.2_ghada_adam
4,layer1,63,5,relu_0.2_ghada_adam
4,layer2,123,5,relu_0.2_ghada_adam
4,layer3,248,5,relu_0.2_ghada_adam
4,layer4,474,5,relu_0.2_ghada_adam
4,conv1,61,6,relu_0.2_ghada_adam
4,layer1,63,6,relu_0.2_ghada_adam
4,layer2,123,6,relu_0.2_ghada_adam
4,layer3,247,6,relu_0.2_ghada_adam
4,layer4,481,6,relu_0.2_ghada_adam
4,conv1,58,7,relu_0.2_ghada_adam
4,layer1,62,7,relu_0.2_ghada_adam
4,layer2,122,7,relu_0.2_ghada_adam
4,layer3,246,7,relu_0.2_ghada_adam
4,layer4,477,7,relu_0.2_ghada_adam
4,conv1,56,8,relu_0.2_ghada_adam
4,layer1,62,8,relu_0.2_ghada_adam
4,layer2,123,8,relu_0.2_ghada_adam
4,layer3,244,8,relu_0.2_ghada_adam
4,layer4,479,8,relu_0.2_ghada_adam
4,conv1,58,9,relu_0.2_ghada_adam
4,layer1,62,9,relu_0.2_ghada_adam
4,layer2,122,9,relu_0.2_ghada_adam
4,layer3,247,9,relu_0.2_ghada_adam
4,layer4,473,9,relu_0.2_ghada_adam
5,conv1,58,0,relu_0.2_ghada_adam
5,layer1,64,0,relu_0.2_ghada_adam
5,layer2,127,0,relu_0.2_ghada_adam
5,layer3,252,0,relu_0.2_ghada_adam
5,layer4,500,0,relu_0.2_ghada_adam
5,conv1,57,1,relu_0.2_ghada_adam
5,layer1,62,1,relu_0.2_ghada_adam
5,layer2,125,1,relu_0.2_ghada_adam
5,layer3,251,1,relu_0.2_ghada_adam
5,layer4,496,1,relu_0.2_ghada_adam
5,conv1,58,2,relu_0.2_ghada_adam
5,layer1,62,2,relu_0.2_ghada_adam
5,layer2,127,2,relu_0.2_ghada_adam
5,layer3,251,2,relu_0.2_ghada_adam
5,layer4,500,2,relu_0.2_ghada_adam
5,conv1,58,3,relu_0.2_ghada_adam
5,layer1,62,3,relu_0.2_ghada_adam
5,layer2,125,3,relu_0.2_ghada_adam
5,layer3,248,3,relu_0.2_ghada_adam
5,layer4,497,3,relu_0.2_ghada_adam
5,conv1,61,4,relu_0.2_ghada_adam
5,layer1,63,4,relu_0.2_ghada_adam
5,layer2,126,4,relu_0.2_ghada_adam
5,layer3,244,4,relu_0.2_ghada_adam
5,layer4,498,4,relu_0.2_ghada_adam
5,conv1,60,5,relu_0.2_ghada_adam
5,layer1,62,5,relu_0.2_ghada_adam
5,layer2,125,5,relu_0.2_ghada_adam
5,layer3,241,5,relu_0.2_ghada_adam
5,layer4,493,5,relu_0.2_ghada_adam
5,conv1,61,6,relu_0.2_ghada_adam
5,layer1,62,6,relu_0.2_ghada_adam
5,layer2,125,6,relu_0.2_ghada_adam
5,layer3,246,6,relu_0.2_ghada_adam
5,layer4,493,6,relu_0.2_ghada_adam
5,conv1,59,7,relu_0.2_ghada_adam
5,layer1,62,7,relu_0.2_ghada_adam
5,layer2,125,7,relu_0.2_ghada_adam
5,layer3,243,7,relu_0.2_ghada_adam
5,layer4,493,7,relu_0.2_ghada_adam
5,conv1,60,8,relu_0.2_ghada_adam
5,layer1,61,8,relu_0.2_ghada_adam
5,layer2,124,8,relu_0.2_ghada_adam
5,layer3,249,8,relu_0.2_ghada_adam
5,layer4,495,8,relu_0.2_ghada_adam
5,conv1,59,9,relu_0.2_ghada_adam
5,layer1,62,9,relu_0.2_ghada_adam
5,layer2,122,9,relu_0.2_ghada_adam
5,layer3,248,9,relu_0.2_ghada_adam
5,layer4,496,9,relu_0.2_ghada_adam
1,conv1,15,0,relu_0.1_ghada_adam
1,layer1,33,0,relu_0.1_ghada_adam
1,layer2,119,0,relu_0.1_ghada_adam
1,layer3,219,0,relu_0.1_ghada_adam
1,layer4,351,0,relu_0.1_ghada_adam
1,conv1,16,1,relu_0.1_ghada_adam
1,layer1,34,1,relu_0.1_ghada_adam
1,layer2,122,1,relu_0.1_ghada_adam
1,layer3,232,1,relu_0.1_ghada_adam
1,layer4,342,1,relu_0.1_ghada_adam
1,conv1,12,2,relu_0.1_ghada_adam
1,layer1,35,2,relu_0.1_ghada_adam
1,layer2,123,2,relu_0.1_ghada_adam
1,layer3,241,2,relu_0.1_ghada_adam
1,layer4,341,2,relu_0.1_ghada_adam
1,conv1,20,3,relu_0.1_ghada_adam
1,layer1,36,3,relu_0.1_ghada_adam
1,layer2,123,3,relu_0.1_ghada_adam
1,layer3,236,3,relu_0.1_ghada_adam
1,layer4,354,3,relu_0.1_ghada_adam
1,conv1,20,4,relu_0.1_ghada_adam
1,layer1,39,4,relu_0.1_ghada_adam
1,layer2,121,4,relu_0.1_ghada_adam
1,layer3,231,4,relu_0.1_ghada_adam
1,layer4,353,4,relu_0.1_ghada_adam
1,conv1,9,5,relu_0.1_ghada_adam
1,layer1,31,5,relu_0.1_ghada_adam
1,layer2,118,5,relu_0.1_ghada_adam
1,layer3,212,5,relu_0.1_ghada_adam
1,layer4,360,5,relu_0.1_ghada_adam
1,conv1,6,6,relu_0.1_ghada_adam
1,layer1,34,6,relu_0.1_ghada_adam
1,layer2,122,6,relu_0.1_ghada_adam
1,layer3,237,6,relu_0.1_ghada_adam
1,layer4,356,6,relu_0.1_ghada_adam
1,conv1,11,7,relu_0.1_ghada_adam
1,layer1,40,7,relu_0.1_ghada_adam
1,layer2,125,7,relu_0.1_ghada_adam
1,layer3,217,7,relu_0.1_ghada_adam
1,layer4,367,7,relu_0.1_ghada_adam
1,conv1,8,8,relu_0.1_ghada_adam
1,layer1,31,8,relu_0.1_ghada_adam
1,layer2,110,8,relu_0.1_ghada_adam
1,layer3,176,8,relu_0.1_ghada_adam
1,layer4,366,8,relu_0.1_ghada_adam
1,conv1,15,9,relu_0.1_ghada_adam
1,layer1,37,9,relu_0.1_ghada_adam
1,layer2,118,9,relu_0.1_ghada_adam
1,layer3,218,9,relu_0.1_ghada_adam
1,layer4,381,9,relu_0.1_ghada_adam
2,conv1,22,0,relu_0.1_ghada_adam
2,layer1,59,0,relu_0.1_ghada_adam
2,layer2,128,0,relu_0.1_ghada_adam
2,layer3,255,0,relu_0.1_ghada_adam
2,layer4,437,0,relu_0.1_ghada_adam
2,conv1,22,1,relu_0.1_ghada_adam
2,layer1,51,1,relu_0.1_ghada_adam
2,layer2,126,1,relu_0.1_ghada_adam
2,layer3,253,1,relu_0.1_ghada_adam
2,layer4,441,1,relu_0.1_ghada_adam
2,conv1,20,2,relu_0.1_ghada_adam
2,layer1,52,2,relu_0.1_ghada_adam
2,layer2,126,2,relu_0.1_ghada_adam
2,layer3,254,2,relu_0.1_ghada_adam
2,layer4,444,2,relu_0.1_ghada_adam
2,conv1,23,3,relu_0.1_ghada_adam
2,layer1,55,3,relu_0.1_ghada_adam
2,layer2,127,3,relu_0.1_ghada_adam
2,layer3,252,3,relu_0.1_ghada_adam
2,layer4,440,3,relu_0.1_ghada_adam
2,conv1,30,4,relu_0.1_ghada_adam
2,layer1,52,4,relu_0.1_ghada_adam
2,layer2,123,4,relu_0.1_ghada_adam
2,layer3,254,4,relu_0.1_ghada_adam
2,layer4,445,4,relu_0.1_ghada_adam
2,conv1,34,5,relu_0.1_ghada_adam
2,layer1,50,5,relu_0.1_ghada_adam
2,layer2,125,5,relu_0.1_ghada_adam
2,layer3,251,5,relu_0.1_ghada_adam
2,layer4,444,5,relu_0.1_ghada_adam
2,conv1,35,6,relu_0.1_ghada_adam
2,layer1,47,6,relu_0.1_ghada_adam
2,layer2,124,6,relu_0.1_ghada_adam
2,layer3,248,6,relu_0.1_ghada_adam
2,layer4,448,6,relu_0.1_ghada_adam
2,conv1,27,7,relu_0.1_ghada_adam
2,layer1,57,7,relu_0.1_ghada_adam
2,layer2,125,7,relu_0.1_ghada_adam
2,layer3,246,7,relu_0.1_ghada_adam
2,layer4,445,7,relu_0.1_ghada_adam
2,conv1,30,8,relu_0.1_ghada_adam
2,layer1,51,8,relu_0.1_ghada_adam
2,layer2,125,8,relu_0.1_ghada_adam
2,layer3,243,8,relu_0.1_ghada_adam
2,layer4,450,8,relu_0.1_ghada_adam
2,conv1,36,9,relu_0.1_ghada_adam
2,layer1,46,9,relu_0.1_ghada_adam
2,layer2,121,9,relu_0.1_ghada_adam
2,layer3,241,9,relu_0.1_ghada_adam
2,layer4,448,9,relu_0.1_ghada_adam
3,conv1,32,0,relu_0.1_ghada_adam
3,layer1,57,0,relu_0.1_ghada_adam
3,layer2,123,0,relu_0.1_ghada_adam
3,layer3,247,0,relu_0.1_ghada_adam
3,layer4,477,0,relu_0.1_ghada_adam
3,conv1,33,1,relu_0.1_ghada_adam
3,layer1,56,1,relu_0.1_ghada_adam
3,layer2,123,1,relu_0.1_ghada_adam
3,layer3,242,1,relu_0.1_ghada_adam
3,layer4,462,1,relu_0.1_ghada_adam
3,conv1,36,2,relu_0.1_ghada_adam
3,layer1,53,2,relu_0.1_ghada_adam
3,layer2,120,2,relu_0.1_ghada_adam
3,layer3,244,2,relu_0.1_ghada_adam
3,layer4,466,2,relu_0.1_ghada_adam
3,conv1,34,3,relu_0.1_ghada_adam
3,layer1,52,3,relu_0.1_ghada_adam
3,layer2,123,3,relu_0.1_ghada_adam
3,layer3,240,3,relu_0.1_ghada_adam
3,layer4,458,3,relu_0.1_ghada_adam
3,conv1,35,4,relu_0.1_ghada_adam
3,layer1,54,4,relu_0.1_ghada_adam
3,layer2,124,4,relu_0.1_ghada_adam
3,layer3,239,4,relu_0.1_ghada_adam
3,layer4,422,4,relu_0.1_ghada_adam
3,conv1,38,5,relu_0.1_ghada_adam
3,layer1,51,5,relu_0.1_ghada_adam
3,layer2,123,5,relu_0.1_ghada_adam
3,layer3,241,5,relu_0.1_ghada_adam
3,layer4,443,5,relu_0.1_ghada_adam
3,conv1,36,6,relu_0.1_ghada_adam
3,layer1,51,6,relu_0.1_ghada_adam
3,layer2,112,6,relu_0.1_ghada_adam
3,layer3,237,6,relu_0.1_ghada_adam
3,layer4,443,6,relu_0.1_ghada_adam
3,conv1,38,7,relu_0.1_ghada_adam
3,layer1,50,7,relu_0.1_ghada_adam
3,layer2,118,7,relu_0.1_ghada_adam
3,layer3,236,7,relu_0.1_ghada_adam
3,layer4,446,7,relu_0.1_ghada_adam
3,conv1,33,8,relu_0.1_ghada_adam
3,layer1,52,8,relu_0.1_ghada_adam
3,layer2,122,8,relu_0.1_ghada_adam
3,layer3,237,8,relu_0.1_ghada_adam
3,layer4,452,8,relu_0.1_ghada_adam
3,conv1,38,9,relu_0.1_ghada_adam
3,layer1,54,9,relu_0.1_ghada_adam
3,layer2,115,9,relu_0.1_ghada_adam
3,layer3,235,9,relu_0.1_ghada_adam
3,layer4,455,9,relu_0.1_ghada_adam
4,conv1,33,0,relu_0.1_ghada_adam
4,layer1,57,0,relu_0.1_ghada_adam
4,layer2,124,0,relu_0.1_ghada_adam
4,layer3,247,0,relu_0.1_ghada_adam
4,layer4,488,0,relu_0.1_ghada_adam
4,conv1,35,1,relu_0.1_ghada_adam
4,layer1,56,1,relu_0.1_ghada_adam
4,layer2,122,1,relu_0.1_ghada_adam
4,layer3,244,1,relu_0.1_ghada_adam
4,layer4,483,1,relu_0.1_ghada_adam
4,conv1,33,2,relu_0.1_ghada_adam
4,layer1,52,2,relu_0.1_ghada_adam
4,layer2,119,2,relu_0.1_ghada_adam
4,layer3,245,2,relu_0.1_ghada_adam
4,layer4,481,2,relu_0.1_ghada_adam
4,conv1,38,3,relu_0.1_ghada_adam
4,layer1,52,3,relu_0.1_ghada_adam
4,layer2,118,3,relu_0.1_ghada_adam
4,layer3,241,3,relu_0.1_ghada_adam
4,layer4,480,3,relu_0.1_ghada_adam
4,conv1,39,4,relu_0.1_ghada_adam
4,layer1,47,4,relu_0.1_ghada_adam
4,layer2,114,4,relu_0.1_ghada_adam
4,layer3,239,4,relu_0.1_ghada_adam
4,layer4,476,4,relu_0.1_ghada_adam
4,conv1,36,5,relu_0.1_ghada_adam
4,layer1,50,5,relu_0.1_ghada_adam
4,layer2,117,5,relu_0.1_ghada_adam
4,layer3,238,5,relu_0.1_ghada_adam
4,layer4,477,5,relu_0.1_ghada_adam
4,conv1,39,6,relu_0.1_ghada_adam
4,layer1,52,6,relu_0.1_ghada_adam
4,layer2,114,6,relu_0.1_ghada_adam
4,layer3,243,6,relu_0.1_ghada_adam
4,layer4,492,6,relu_0.1_ghada_adam
4,conv1,37,7,relu_0.1_ghada_adam
4,layer1,49,7,relu_0.1_ghada_adam
4,layer2,113,7,relu_0.1_ghada_adam
4,layer3,241,7,relu_0.1_ghada_adam
4,layer4,487,7,relu_0.1_ghada_adam
4,conv1,33,8,relu_0.1_ghada_adam
4,layer1,50,8,relu_0.1_ghada_adam
4,layer2,110,8,relu_0.1_ghada_adam
4,layer3,240,8,relu_0.1_ghada_adam
4,layer4,491,8,relu_0.1_ghada_adam
4,conv1,34,9,relu_0.1_ghada_adam
4,layer1,49,9,relu_0.1_ghada_adam
4,layer2,107,9,relu_0.1_ghada_adam
4,layer3,240,9,relu_0.1_ghada_adam
4,layer4,490,9,relu_0.1_ghada_adam
5,conv1,26,0,relu_0.1_ghada_adam
5,layer1,44,0,relu_0.1_ghada_adam
5,layer2,119,0,relu_0.1_ghada_adam
5,layer3,242,0,relu_0.1_ghada_adam
5,layer4,505,0,relu_0.1_ghada_adam
5,conv1,25,1,relu_0.1_ghada_adam
5,layer1,50,1,relu_0.1_ghada_adam
5,layer2,119,1,relu_0.1_ghada_adam
5,layer3,241,1,relu_0.1_ghada_adam
5,layer4,502,1,relu_0.1_ghada_adam
5,conv1,28,2,relu_0.1_ghada_adam
5,layer1,46,2,relu_0.1_ghada_adam
5,layer2,118,2,relu_0.1_ghada_adam
5,layer3,245,2,relu_0.1_ghada_adam
5,layer4,503,2,relu_0.1_ghada_adam
5,conv1,32,3,relu_0.1_ghada_adam
