model,1,2,3,4,5,Average
01_baseline_sgd_relu,93.1,41.1,28.12,23.8,15.92,40.41
relu_0.1_ghada_adam,94.95,43.0,30.53,24.18,19.22,42.38
relu_0.1_ghada_sgd,93.1,40.8,27.3,23.18,14.65,39.81
relu_0.1_ours_adam,94.95,43.6,29.35,24.25,19.17,42.26
relu_0.1_ours_sgd,93.1,41.1,28.12,23.8,15.92,40.41
relu_0.2_ghada_adam,94.95,42.48,28.73,23.6,19.04,41.76
relu_0.2_ghada_sgd,93.1,40.83,26.65,23.69,15.12,39.88
relu_0.2_ours_adam,94.95,43.6,29.35,24.35,19.24,42.3
relu_0.2_ours_sgd,93.1,41.05,26.1,23.72,17.64,40.32
relu_0.3_ghada_adam,94.95,43.5,30.3,24.28,19.28,42.46
relu_0.3_ghada_sgd,93.1,40.52,26.92,23.25,15.93,39.94
relu_0.3_ours_adam,94.95,43.6,29.35,24.25,19.17,42.26
relu_0.3_ours_sgd,93.1,41.1,28.12,23.8,15.19,40.26
