model,1,2,3,4,5
relu_0.1_ghada_adam,341.0,444.0,466.0,481.0,503.0
relu_0.1_ghada_sgd,397.0,439.0,447.0,417.0,486.0
relu_0.1_ours_adam,341.0,441.0,440.0,462.0,502.0
relu_0.1_ours_sgd,397.0,440.0,434.0,368.0,480.0
relu_0.2_ghada_adam,351.0,447.0,436.0,481.0,500.0
relu_0.2_ghada_sgd,440.0,467.0,451.0,467.0,497.0
relu_0.2_ours_adam,351.0,447.0,450.0,463.0,500.0
relu_0.2_ours_sgd,440.0,471.0,481.0,445.0,507.0
relu_0.3_ghada_adam,361.0,453.0,474.0,452.0,493.0
relu_0.3_ghada_sgd,469.0,485.0,498.0,468.0,493.0
relu_0.3_ours_adam,361.0,453.0,455.0,466.0,504.0
relu_0.3_ours_sgd,469.0,487.0,485.0,471.0,502.0
