model,1,2,3,4,5,Average
01_baseline_sgd_relu,93.1,68.15,62.92,65.06,58.13,69.47
relu_0.1_ghada_adam,94.95,67.88,65.52,63.62,63.82,71.16
relu_0.1_ghada_sgd,93.1,67.72,64.15,62.3,57.81,69.02
relu_0.1_ours_adam,94.95,68.6,62.68,61.2,47.81,67.05
relu_0.1_ours_sgd,93.1,68.15,62.92,65.06,58.13,69.47
relu_0.2_ghada_adam,94.95,66.95,62.07,62.34,59.12,69.09
relu_0.2_ghada_sgd,93.1,68.7,65.68,61.4,57.72,69.32
relu_0.2_ours_adam,94.95,68.6,62.68,61.8,62.51,70.11
relu_0.2_ours_sgd,93.1,68.2,61.87,63.5,63.96,70.13
relu_0.3_ghada_adam,94.95,66.6,60.37,60.38,65.35,69.53
relu_0.3_ghada_sgd,93.1,67.9,60.45,61.98,60.43,68.77
relu_0.3_ours_adam,94.95,68.6,62.68,61.2,47.81,67.05
relu_0.3_ours_sgd,93.1,68.15,62.92,65.06,55.55,68.96
