model,num_tasks_seen,task,metric_type,accuracy
relu_0.1_ours_adam,1,0,Class-IL,96.89999999999999
relu_0.1_ours_adam,1,0,Task-IL,96.89999999999999
relu_0.1_ours_adam,1,avg,Class-IL,96.9
relu_0.1_ours_adam,1,avg,Task-IL,96.9
relu_0.1_ours_adam,2,0,Class-IL,0.0
relu_0.1_ours_adam,2,0,Task-IL,49.9
relu_0.1_ours_adam,2,1,Class-IL,85.0
relu_0.1_ours_adam,2,1,Task-IL,85.0
relu_0.1_ours_adam,2,avg,Class-IL,42.5
relu_0.1_ours_adam,2,avg,Task-IL,67.45
relu_0.1_ours_adam,3,0,Class-IL,0.0
relu_0.1_ours_adam,3,0,Task-IL,31.5
relu_0.1_ours_adam,3,1,Class-IL,0.0
relu_0.1_ours_adam,3,1,Task-IL,49.85
relu_0.1_ours_adam,3,2,Class-IL,78.3
relu_0.1_ours_adam,3,2,Task-IL,78.3
relu_0.1_ours_adam,3,avg,Class-IL,26.1
relu_0.1_ours_adam,3,avg,Task-IL,53.22
relu_0.1_ours_adam,4,0,Class-IL,0.0
relu_0.1_ours_adam,4,0,Task-IL,42.4
relu_0.1_ours_adam,4,1,Class-IL,0.0
relu_0.1_ours_adam,4,1,Task-IL,48.75
relu_0.1_ours_adam,4,2,Class-IL,0.0
relu_0.1_ours_adam,4,2,Task-IL,55.1
relu_0.1_ours_adam,4,3,Class-IL,98.45
relu_0.1_ours_adam,4,3,Task-IL,98.45
relu_0.1_ours_adam,4,avg,Class-IL,24.61
relu_0.1_ours_adam,4,avg,Task-IL,61.18
relu_0.1_ours_adam,5,0,Class-IL,0.0
relu_0.1_ours_adam,5,0,Task-IL,50.2
relu_0.1_ours_adam,5,1,Class-IL,0.0
relu_0.1_ours_adam,5,1,Task-IL,49.05
relu_0.1_ours_adam,5,2,Class-IL,0.0
relu_0.1_ours_adam,5,2,Task-IL,62.2
relu_0.1_ours_adam,5,3,Class-IL,0.0
relu_0.1_ours_adam,5,3,Task-IL,53.6
relu_0.1_ours_adam,5,4,Class-IL,83.65
relu_0.1_ours_adam,5,4,Task-IL,83.65
relu_0.1_ours_adam,5,avg,Class-IL,16.73
relu_0.1_ours_adam,5,avg,Task-IL,59.74
relu_0.3_ours_sgd,1,0,Class-IL,97.25
relu_0.3_ours_sgd,1,0,Task-IL,97.25
relu_0.3_ours_sgd,1,avg,Class-IL,97.25
relu_0.3_ours_sgd,1,avg,Task-IL,97.25
relu_0.3_ours_sgd,2,0,Class-IL,0.0
relu_0.3_ours_sgd,2,0,Task-IL,43.2
relu_0.3_ours_sgd,2,1,Class-IL,87.0
relu_0.3_ours_sgd,2,1,Task-IL,87.0
relu_0.3_ours_sgd,2,avg,Class-IL,43.5
relu_0.3_ours_sgd,2,avg,Task-IL,65.1
relu_0.3_ours_sgd,3,0,Class-IL,0.0
relu_0.3_ours_sgd,3,0,Task-IL,62.150000000000006
relu_0.3_ours_sgd,3,1,Class-IL,0.0
relu_0.3_ours_sgd,3,1,Task-IL,43.9
relu_0.3_ours_sgd,3,2,Class-IL,92.0
relu_0.3_ours_sgd,3,2,Task-IL,92.0
relu_0.3_ours_sgd,3,avg,Class-IL,30.67
relu_0.3_ours_sgd,3,avg,Task-IL,66.02
