model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.25,78.47,73.93,66.97,67.1,76.74
relu_0.1_ghada_adam,96.9,65.8,70.88,60.74,57.66,70.4
relu_0.1_ghada_sgd,97.25,78.8,75.88,61.78,68.49,76.44
relu_0.1_ours_adam,96.9,65.8,70.88,60.74,57.66,70.4
relu_0.1_ours_sgd,97.25,78.8,75.88,61.78,67.36,76.21
relu_0.2_ghada_adam,96.9,71.82,60.93,48.14,66.53,68.86
relu_0.2_ghada_sgd,97.25,78.78,63.43,61.7,63.08,72.85
relu_0.2_ours_adam,96.9,64.85,61.72,64.19,61.9,69.91
relu_0.2_ours_sgd,97.25,78.78,63.43,63.5,52.07,71.01
relu_0.3_ghada_adam,96.9,74.3,51.55,58.01,59.6,68.07
relu_0.3_ghada_sgd,97.25,63.15,65.98,64.22,60.26,70.17
relu_0.3_ours_adam,96.9,76.95,61.08,59.41,61.52,71.17
relu_0.3_ours_sgd,97.25,69.32,68.93,61.19,61.86,71.71
