model,num_tasks_seen,task,metric_type,accuracy
relu_0.2_method2_sgd,1,0,Class-IL,97.25
relu_0.2_method2_sgd,1,0,Task-IL,97.25
relu_0.2_method2_sgd,1,avg,Class-IL,97.25
relu_0.2_method2_sgd,1,avg,Task-IL,97.25
relu_0.2_method2_sgd,2,0,Class-IL,0.0
relu_0.2_method2_sgd,2,0,Task-IL,72.2
relu_0.2_method2_sgd,2,1,Class-IL,86.45
relu_0.2_method2_sgd,2,1,Task-IL,86.45
relu_0.2_method2_sgd,2,avg,Class-IL,43.22
relu_0.2_method2_sgd,2,avg,Task-IL,79.32
relu_0.2_method2_sgd,3,0,Class-IL,0.0
relu_0.2_method2_sgd,3,0,Task-IL,67.2
relu_0.2_method2_sgd,3,1,Class-IL,0.0
relu_0.2_method2_sgd,3,1,Task-IL,66.60000000000001
relu_0.2_method2_sgd,3,2,Class-IL,93.95
relu_0.2_method2_sgd,3,2,Task-IL,93.95
relu_0.2_method2_sgd,3,avg,Class-IL,31.32
relu_0.2_method2_sgd,3,avg,Task-IL,75.92
relu_0.2_method2_sgd,4,0,Class-IL,0.0
relu_0.2_method2_sgd,4,0,Task-IL,59.650000000000006
relu_0.2_method2_sgd,4,1,Class-IL,0.0
relu_0.2_method2_sgd,4,1,Task-IL,49.55
relu_0.2_method2_sgd,4,2,Class-IL,0.0
relu_0.2_method2_sgd,4,2,Task-IL,49.6
relu_0.2_method2_sgd,4,3,Class-IL,97.6
relu_0.2_method2_sgd,4,3,Task-IL,97.6
relu_0.2_method2_sgd,4,avg,Class-IL,24.4
relu_0.2_method2_sgd,4,avg,Task-IL,64.1
relu_0.2_method2_sgd,5,0,Class-IL,0.0
relu_0.2_method2_sgd,5,0,Task-IL,30.0
relu_0.2_method2_sgd,5,1,Class-IL,0.0
relu_0.2_method2_sgd,5,1,Task-IL,47.4
relu_0.2_method2_sgd,5,2,Class-IL,0.0
relu_0.2_method2_sgd,5,2,Task-IL,54.2
relu_0.2_method2_sgd,5,3,Class-IL,0.0
relu_0.2_method2_sgd,5,3,Task-IL,63.2
relu_0.2_method2_sgd,5,4,Class-IL,97.85000000000001
relu_0.2_method2_sgd,5,4,Task-IL,97.85000000000001
relu_0.2_method2_sgd,5,avg,Class-IL,19.57
relu_0.2_method2_sgd,5,avg,Task-IL,58.53
relu_0.3_method1_sgd,1,0,Class-IL,97.25
relu_0.3_method1_sgd,1,0,Task-IL,97.25
relu_0.3_method1_sgd,1,avg,Class-IL,97.25
relu_0.3_method1_sgd,1,avg,Task-IL,97.25
relu_0.3_method1_sgd,2,0,Class-IL,0.0
relu_0.3_method1_sgd,2,0,Task-IL,69.65
relu_0.3_method1_sgd,2,1,Class-IL,88.05
relu_0.3_method1_sgd,2,1,Task-IL,88.05
relu_0.3_method1_sgd,2,avg,Class-IL,44.02
relu_0.3_method1_sgd,2,avg,Task-IL,78.85
relu_0.3_method1_sgd,3,0,Class-IL,0.0
relu_0.3_method1_sgd,3,0,Task-IL,69.6
relu_0.3_method1_sgd,3,1,Class-IL,0.0
relu_0.3_method1_sgd,3,1,Task-IL,67.05
relu_0.3_method1_sgd,3,2,Class-IL,93.35
relu_0.3_method1_sgd,3,2,Task-IL,93.35
relu_0.3_method1_sgd,3,avg,Class-IL,31.12
relu_0.3_method1_sgd,3,avg,Task-IL,76.67
relu_0.3_method1_sgd,4,0,Class-IL,0.0
relu_0.3_method1_sgd,4,0,Task-IL,39.800000000000004
relu_0.3_method1_sgd,4,1,Class-IL,0.0
relu_0.3_method1_sgd,4,1,Task-IL,50.05
relu_0.3_method1_sgd,4,2,Class-IL,0.0
relu_0.3_method1_sgd,4,2,Task-IL,62.4
relu_0.3_method1_sgd,4,3,Class-IL,97.39999999999999
relu_0.3_method1_sgd,4,3,Task-IL,97.39999999999999
relu_0.3_method1_sgd,4,avg,Class-IL,24.35
relu_0.3_method1_sgd,4,avg,Task-IL,62.41
relu_0.3_method1_sgd,5,0,Class-IL,0.0
relu_0.3_method1_sgd,5,0,Task-IL,48.15
relu_0.3_method1_sgd,5,1,Class-IL,0.0
relu_0.3_method1_sgd,5,1,Task-IL,59.0
relu_0.3_method1_sgd,5,2,Class-IL,0.0
relu_0.3_method1_sgd,5,2,Task-IL,59.550000000000004
relu_0.3_method1_sgd,5,3,Class-IL,0.0
relu_0.3_method1_sgd,5,3,Task-IL,73.8
relu_0.3_method1_sgd,5,4,Class-IL,96.89999999999999
relu_0.3_method1_sgd,5,4,Task-IL,96.89999999999999
relu_0.3_method1_sgd,5,avg,Class-IL,19.38
relu_0.3_method1_sgd,5,avg,Task-IL,67.48
relu_0.1_method2_sgd,1,0,Class-IL,97.25
relu_0.1_method2_sgd,1,0,Task-IL,97.25
relu_0.1_method2_sgd,1,avg,Class-IL,97.25
relu_0.1_method2_sgd,1,avg,Task-IL,97.25
relu_0.1_method2_sgd,2,0,Class-IL,0.0
relu_0.1_method2_sgd,2,0,Task-IL,70.0
relu_0.1_method2_sgd,2,1,Class-IL,86.95
relu_0.1_method2_sgd,2,1,Task-IL,86.95
relu_0.1_method2_sgd,2,avg,Class-IL,43.48
relu_0.1_method2_sgd,2,avg,Task-IL,78.47
relu_0.1_method2_sgd,3,0,Class-IL,0.0
relu_0.1_method2_sgd,3,0,Task-IL,63.5
relu_0.1_method2_sgd,3,1,Class-IL,0.0
relu_0.1_method2_sgd,3,1,Task-IL,68.60000000000001
relu_0.1_method2_sgd,3,2,Class-IL,94.05
relu_0.1_method2_sgd,3,2,Task-IL,94.05
relu_0.1_method2_sgd,3,avg,Class-IL,31.35
relu_0.1_method2_sgd,3,avg,Task-IL,75.38
relu_0.1_method2_sgd,4,0,Class-IL,0.0
relu_0.1_method2_sgd,4,0,Task-IL,61.85000000000001
relu_0.1_method2_sgd,4,1,Class-IL,0.0
relu_0.1_method2_sgd,4,1,Task-IL,53.1
relu_0.1_method2_sgd,4,2,Class-IL,0.0
relu_0.1_method2_sgd,4,2,Task-IL,56.65
relu_0.1_method2_sgd,4,3,Class-IL,98.0
relu_0.1_method2_sgd,4,3,Task-IL,98.0
relu_0.1_method2_sgd,4,avg,Class-IL,24.5
relu_0.1_method2_sgd,4,avg,Task-IL,67.4
relu_0.1_method2_sgd,5,0,Class-IL,0.0
relu_0.1_method2_sgd,5,0,Task-IL,75.75
relu_0.1_method2_sgd,5,1,Class-IL,0.0
