model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.25,78.47,73.93,66.97,67.1,76.74
relu_0.1_method1_adam,96.9,67.45,60.57,64.04,67.36,71.26
relu_0.1_method1_sgd,97.25,78.47,75.38,67.4,72.01,78.1
relu_0.1_method2_adam,96.9,67.45,60.57,64.04,55.11,68.81
relu_0.1_method2_sgd,97.25,78.47,75.38,67.4,72.01,78.1
relu_0.2_method1_adam,96.9,67.45,62.42,62.25,65.19,70.84
relu_0.2_method1_sgd,97.25,79.32,75.92,63.82,61.42,75.55
relu_0.2_method2_adam,96.9,67.45,60.77,64.09,52.48,68.34
relu_0.2_method2_sgd,97.25,79.32,75.92,64.1,58.53,75.02
relu_0.3_method1_adam,96.9,70.3,65.1,61.58,57.22,70.22
relu_0.3_method1_sgd,97.25,78.85,76.67,62.41,67.48,76.53
relu_0.3_method2_adam,96.9,67.05,63.58,65.94,68.15,72.32
relu_0.3_method2_sgd,97.25,76.45,71.7,67.64,64.24,75.46
