model,1,2,3,4,5
relu_0.1_method1_adam,0.0,1.0,0.0,9.0,0.0
relu_0.1_method1_sgd,0.0,0.0,30.0,14.0,65.0
relu_0.1_method2_adam,0.0,1.0,0.0,9.0,0.0
relu_0.1_method2_sgd,0.0,0.0,30.0,14.0,65.0
relu_0.2_method1_adam,0.0,24.0,2.0,0.0,17.0
relu_0.2_method1_sgd,0.0,310.0,324.0,190.0,204.0
relu_0.2_method2_adam,0.0,24.0,2.0,13.0,19.0
relu_0.2_method2_sgd,0.0,310.0,324.0,189.0,200.0
relu_0.3_method1_adam,7.0,0.0,0.0,0.0,34.0
relu_0.3_method1_sgd,350.0,444.0,404.0,298.0,335.0
relu_0.3_method2_adam,7.0,0.0,32.0,35.0,24.0
relu_0.3_method2_sgd,350.0,472.0,352.0,318.0,295.0
