model,num_tasks_seen,task,metric_type,accuracy
relu_0.1_method1_adam,1,0,Class-IL,96.89999999999999
relu_0.1_method1_adam,1,0,Task-IL,96.89999999999999
relu_0.1_method1_adam,1,avg,Class-IL,96.9
relu_0.1_method1_adam,1,avg,Task-IL,96.9
relu_0.1_method1_adam,2,0,Class-IL,0.0
relu_0.1_method1_adam,2,0,Task-IL,49.8
relu_0.1_method1_adam,2,1,Class-IL,82.65
relu_0.1_method1_adam,2,1,Task-IL,82.65
relu_0.1_method1_adam,2,avg,Class-IL,41.32
relu_0.1_method1_adam,2,avg,Task-IL,66.22
relu_0.1_method1_adam,3,0,Class-IL,0.0
relu_0.1_method1_adam,3,0,Task-IL,28.199999999999996
relu_0.1_method1_adam,3,1,Class-IL,0.0
relu_0.1_method1_adam,3,1,Task-IL,50.0
relu_0.1_method1_adam,3,2,Class-IL,50.1
relu_0.1_method1_adam,3,2,Task-IL,50.1
relu_0.1_method1_adam,3,avg,Class-IL,16.7
relu_0.1_method1_adam,3,avg,Task-IL,42.77
relu_0.1_method1_adam,4,0,Class-IL,0.0
relu_0.1_method1_adam,4,0,Task-IL,59.95
relu_0.1_method1_adam,4,1,Class-IL,0.0
relu_0.1_method1_adam,4,1,Task-IL,50.0
relu_0.1_method1_adam,4,2,Class-IL,0.0
relu_0.1_method1_adam,4,2,Task-IL,45.6
relu_0.1_method1_adam,4,3,Class-IL,98.05
relu_0.1_method1_adam,4,3,Task-IL,98.05
relu_0.1_method1_adam,4,avg,Class-IL,24.51
relu_0.1_method1_adam,4,avg,Task-IL,63.4
relu_0.1_method1_adam,5,0,Class-IL,0.0
relu_0.1_method1_adam,5,0,Task-IL,14.649999999999999
relu_0.1_method1_adam,5,1,Class-IL,0.0
relu_0.1_method1_adam,5,1,Task-IL,50.0
relu_0.1_method1_adam,5,2,Class-IL,0.0
relu_0.1_method1_adam,5,2,Task-IL,50.0
relu_0.1_method1_adam,5,3,Class-IL,0.0
relu_0.1_method1_adam,5,3,Task-IL,54.6
relu_0.1_method1_adam,5,4,Class-IL,88.64999999999999
relu_0.1_method1_adam,5,4,Task-IL,88.64999999999999
relu_0.1_method1_adam,5,avg,Class-IL,17.73
relu_0.1_method1_adam,5,avg,Task-IL,51.58
relu_0.025_method1_sgd,1,0,Class-IL,97.25
relu_0.025_method1_sgd,1,0,Task-IL,97.25
relu_0.025_method1_sgd,1,avg,Class-IL,97.25
relu_0.025_method1_sgd,1,avg,Task-IL,97.25
relu_0.025_method1_sgd,2,0,Class-IL,0.0
relu_0.025_method1_sgd,2,0,Task-IL,65.0
relu_0.025_method1_sgd,2,1,Class-IL,87.75
relu_0.025_method1_sgd,2,1,Task-IL,87.75
relu_0.025_method1_sgd,2,avg,Class-IL,43.88
relu_0.025_method1_sgd,2,avg,Task-IL,76.38
relu_0.025_method1_sgd,3,0,Class-IL,0.0
relu_0.025_method1_sgd,3,0,Task-IL,56.95
relu_0.025_method1_sgd,3,1,Class-IL,0.0
relu_0.025_method1_sgd,3,1,Task-IL,69.8
relu_0.025_method1_sgd,3,2,Class-IL,94.75
relu_0.025_method1_sgd,3,2,Task-IL,94.75
relu_0.025_method1_sgd,3,avg,Class-IL,31.58
relu_0.025_method1_sgd,3,avg,Task-IL,73.83
relu_0.025_method1_sgd,4,0,Class-IL,0.0
relu_0.025_method1_sgd,4,0,Task-IL,62.9
relu_0.025_method1_sgd,4,1,Class-IL,0.0
relu_0.025_method1_sgd,4,1,Task-IL,61.25000000000001
relu_0.025_method1_sgd,4,2,Class-IL,0.0
relu_0.025_method1_sgd,4,2,Task-IL,78.05
relu_0.025_method1_sgd,4,3,Class-IL,97.25
relu_0.025_method1_sgd,4,3,Task-IL,97.25
relu_0.025_method1_sgd,4,avg,Class-IL,24.31
relu_0.025_method1_sgd,4,avg,Task-IL,74.86
relu_0.025_method1_sgd,5,0,Class-IL,0.0
relu_0.025_method1_sgd,5,0,Task-IL,75.94999999999999
relu_0.025_method1_sgd,5,1,Class-IL,0.0
relu_0.025_method1_sgd,5,1,Task-IL,56.39999999999999
relu_0.025_method1_sgd,5,2,Class-IL,0.0
relu_0.025_method1_sgd,5,2,Task-IL,55.15
relu_0.025_method1_sgd,5,3,Class-IL,0.0
relu_0.025_method1_sgd,5,3,Task-IL,60.6
relu_0.025_method1_sgd,5,4,Class-IL,94.19999999999999
relu_0.025_method1_sgd,5,4,Task-IL,94.19999999999999
relu_0.025_method1_sgd,5,avg,Class-IL,18.84
relu_0.025_method1_sgd,5,avg,Task-IL,68.46
relu_0.1_method2_adam,1,0,Class-IL,96.89999999999999
relu_0.1_method2_adam,1,0,Task-IL,96.89999999999999
relu_0.1_method2_adam,1,avg,Class-IL,96.9
relu_0.1_method2_adam,1,avg,Task-IL,96.9
relu_0.1_method2_adam,2,0,Class-IL,0.0
relu_0.1_method2_adam,2,0,Task-IL,50.05
relu_0.1_method2_adam,2,1,Class-IL,78.0
relu_0.1_method2_adam,2,1,Task-IL,78.0
relu_0.1_method2_adam,2,avg,Class-IL,39.0
relu_0.1_method2_adam,2,avg,Task-IL,64.03
relu_0.1_method2_adam,3,0,Class-IL,0.0
relu_0.1_method2_adam,3,0,Task-IL,50.24999999999999
relu_0.1_method2_adam,3,1,Class-IL,15.2
relu_0.1_method2_adam,3,1,Task-IL,50.0
relu_0.1_method2_adam,3,2,Class-IL,52.5
relu_0.1_method2_adam,3,2,Task-IL,57.35
relu_0.1_method2_adam,3,avg,Class-IL,22.57
relu_0.1_method2_adam,3,avg,Task-IL,52.53
relu_0.1_method2_adam,4,0,Class-IL,0.0
relu_0.1_method2_adam,4,0,Task-IL,50.0
relu_0.1_method2_adam,4,1,Class-IL,0.0
relu_0.1_method2_adam,4,1,Task-IL,50.05
relu_0.1_method2_adam,4,2,Class-IL,0.0
relu_0.1_method2_adam,4,2,Task-IL,50.0
relu_0.1_method2_adam,4,3,Class-IL,92.15
relu_0.1_method2_adam,4,3,Task-IL,92.15
relu_0.1_method2_adam,4,avg,Class-IL,23.04
relu_0.1_method2_adam,4,avg,Task-IL,60.55
relu_0.1_method2_adam,5,0,Class-IL,0.0
relu_0.1_method2_adam,5,0,Task-IL,68.8
relu_0.1_method2_adam,5,1,Class-IL,0.0
relu_0.1_method2_adam,5,1,Task-IL,50.0
relu_0.1_method2_adam,5,2,Class-IL,0.0
relu_0.1_method2_adam,5,2,Task-IL,50.6
relu_0.1_method2_adam,5,3,Class-IL,0.0
