model,1,2,3,4,5
relu_0.025_method1_adam,3.0,1.0,34.0,184.0,313.0
relu_0.025_method1_sgd,6.0,2.0,4.0,4.0,8.0
relu_0.025_method2_adam,3.0,1.0,33.0,185.0,249.0
relu_0.025_method2_sgd,6.0,1.0,3.0,3.0,5.0
relu_0.05_method1_adam,4.0,6.0,116.0,223.0,421.0
relu_0.05_method1_sgd,19.0,10.0,19.0,14.0,8.0
relu_0.05_method2_adam,4.0,6.0,123.0,166.0,424.0
relu_0.05_method2_sgd,19.0,8.0,14.0,9.0,11.0
relu_0.1_method1_adam,16.0,23.0,243.0,201.0,429.0
relu_0.1_method1_sgd,88.0,60.0,99.0,170.0,157.0
relu_0.1_method2_adam,16.0,23.0,260.0,331.0,453.0
relu_0.1_method2_sgd,88.0,65.0,99.0,145.0,146.0
