model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.25,78.47,73.93,66.97,67.1,76.74
relu_0.025_method1_adam,96.9,50.4,61.57,62.25,59.03,66.03
relu_0.025_method1_sgd,97.25,76.38,73.83,74.86,68.46,78.16
relu_0.025_method2_adam,96.9,65.08,64.12,54.89,54.62,67.12
relu_0.025_method2_sgd,97.25,77.3,76.63,72.14,59.23,76.51
relu_0.05_method1_adam,96.9,52.08,50.25,60.74,59.55,63.9
relu_0.05_method1_sgd,97.25,76.7,76.12,68.44,70.17,77.74
relu_0.05_method2_adam,96.9,53.18,49.92,63.98,59.2,64.63
relu_0.05_method2_sgd,97.25,76.35,74.1,66.29,61.35,75.07
relu_0.1_method1_adam,96.9,66.22,42.77,63.4,51.58,64.17
relu_0.1_method1_sgd,97.25,76.88,78.27,68.88,70.25,78.31
relu_0.1_method2_adam,96.9,64.03,52.53,60.55,63.07,67.42
relu_0.1_method2_sgd,97.25,74.78,72.77,74.09,68.48,77.47
