model,num_tasks_seen,task,metric_type,accuracy
01_baseline_sgd_relu,1,0,Class-IL,97.25
01_baseline_sgd_relu,1,0,Task-IL,97.25
01_baseline_sgd_relu,1,avg,Class-IL,97.25
01_baseline_sgd_relu,1,avg,Task-IL,97.25
01_baseline_sgd_relu,2,0,Class-IL,0.0
01_baseline_sgd_relu,2,0,Task-IL,70.0
01_baseline_sgd_relu,2,1,Class-IL,86.95
01_baseline_sgd_relu,2,1,Task-IL,86.95
01_baseline_sgd_relu,2,avg,Class-IL,43.48
01_baseline_sgd_relu,2,avg,Task-IL,78.47
01_baseline_sgd_relu,3,0,Class-IL,0.0
01_baseline_sgd_relu,3,0,Task-IL,62.6
01_baseline_sgd_relu,3,1,Class-IL,0.0
01_baseline_sgd_relu,3,1,Task-IL,65.85
01_baseline_sgd_relu,3,2,Class-IL,93.35
01_baseline_sgd_relu,3,2,Task-IL,93.35
01_baseline_sgd_relu,3,avg,Class-IL,31.12
01_baseline_sgd_relu,3,avg,Task-IL,73.93
01_baseline_sgd_relu,4,0,Class-IL,0.0
01_baseline_sgd_relu,4,0,Task-IL,63.74999999999999
01_baseline_sgd_relu,4,1,Class-IL,0.0
01_baseline_sgd_relu,4,1,Task-IL,53.25
01_baseline_sgd_relu,4,2,Class-IL,0.0
01_baseline_sgd_relu,4,2,Task-IL,53.1
01_baseline_sgd_relu,4,3,Class-IL,97.8
01_baseline_sgd_relu,4,3,Task-IL,97.8
01_baseline_sgd_relu,4,avg,Class-IL,24.45
01_baseline_sgd_relu,4,avg,Task-IL,66.97
01_baseline_sgd_relu,5,0,Class-IL,0.0
01_baseline_sgd_relu,5,0,Task-IL,75.6
01_baseline_sgd_relu,5,1,Class-IL,0.0
01_baseline_sgd_relu,5,1,Task-IL,60.95
01_baseline_sgd_relu,5,2,Class-IL,0.0
01_baseline_sgd_relu,5,2,Task-IL,45.7
01_baseline_sgd_relu,5,3,Class-IL,0.0
01_baseline_sgd_relu,5,3,Task-IL,60.0
01_baseline_sgd_relu,5,4,Class-IL,93.25
01_baseline_sgd_relu,5,4,Task-IL,93.25
01_baseline_sgd_relu,5,avg,Class-IL,18.65
01_baseline_sgd_relu,5,avg,Task-IL,67.1
relu_0.1_method2_sgd,1,0,Class-IL,97.25
relu_0.1_method2_sgd,1,0,Task-IL,97.25
relu_0.1_method2_sgd,1,avg,Class-IL,97.25
relu_0.1_method2_sgd,1,avg,Task-IL,97.25
relu_0.1_method2_sgd,2,0,Class-IL,0.0
relu_0.1_method2_sgd,2,0,Task-IL,26.75
relu_0.1_method2_sgd,2,1,Class-IL,84.39999999999999
relu_0.1_method2_sgd,2,1,Task-IL,84.39999999999999
relu_0.1_method2_sgd,2,avg,Class-IL,42.2
relu_0.1_method2_sgd,2,avg,Task-IL,55.58
relu_0.1_method2_sgd,3,0,Class-IL,0.0
relu_0.1_method2_sgd,3,0,Task-IL,57.25
relu_0.1_method2_sgd,3,1,Class-IL,0.0
relu_0.1_method2_sgd,3,1,Task-IL,47.15
relu_0.1_method2_sgd,3,2,Class-IL,91.64999999999999
relu_0.1_method2_sgd,3,2,Task-IL,91.64999999999999
relu_0.1_method2_sgd,3,avg,Class-IL,30.55
relu_0.1_method2_sgd,3,avg,Task-IL,65.35
relu_0.1_method2_sgd,4,0,Class-IL,0.0
relu_0.1_method2_sgd,4,0,Task-IL,48.9
relu_0.1_method2_sgd,4,1,Class-IL,0.0
relu_0.1_method2_sgd,4,1,Task-IL,50.9
relu_0.1_method2_sgd,4,2,Class-IL,0.0
relu_0.1_method2_sgd,4,2,Task-IL,56.35
relu_0.1_method2_sgd,4,3,Class-IL,92.35
relu_0.1_method2_sgd,4,3,Task-IL,92.35
relu_0.1_method2_sgd,4,avg,Class-IL,23.09
relu_0.1_method2_sgd,4,avg,Task-IL,62.12
relu_0.1_method2_sgd,5,0,Class-IL,0.0
relu_0.1_method2_sgd,5,0,Task-IL,65.0
relu_0.1_method2_sgd,5,1,Class-IL,0.0
relu_0.1_method2_sgd,5,1,Task-IL,49.55
relu_0.1_method2_sgd,5,2,Class-IL,0.0
relu_0.1_method2_sgd,5,2,Task-IL,49.15
relu_0.1_method2_sgd,5,3,Class-IL,0.0
relu_0.1_method2_sgd,5,3,Task-IL,66.85
relu_0.1_method2_sgd,5,4,Class-IL,92.4
relu_0.1_method2_sgd,5,4,Task-IL,92.4
relu_0.1_method2_sgd,5,avg,Class-IL,18.48
relu_0.1_method2_sgd,5,avg,Task-IL,64.59
relu_0.025_method1_sgd,1,0,Class-IL,97.25
relu_0.025_method1_sgd,1,0,Task-IL,97.25
relu_0.025_method1_sgd,1,avg,Class-IL,97.25
relu_0.025_method1_sgd,1,avg,Task-IL,97.25
relu_0.025_method1_sgd,2,0,Class-IL,0.0
relu_0.025_method1_sgd,2,0,Task-IL,69.85
relu_0.025_method1_sgd,2,1,Class-IL,87.05000000000001
relu_0.025_method1_sgd,2,1,Task-IL,87.05000000000001
relu_0.025_method1_sgd,2,avg,Class-IL,43.53
relu_0.025_method1_sgd,2,avg,Task-IL,78.45
relu_0.025_method1_sgd,3,0,Class-IL,0.0
relu_0.025_method1_sgd,3,0,Task-IL,47.099999999999994
relu_0.025_method1_sgd,3,1,Class-IL,0.0
relu_0.025_method1_sgd,3,1,Task-IL,58.45
relu_0.025_method1_sgd,3,2,Class-IL,90.75
relu_0.025_method1_sgd,3,2,Task-IL,90.75
relu_0.025_method1_sgd,3,avg,Class-IL,30.25
relu_0.025_method1_sgd,3,avg,Task-IL,65.43
relu_0.025_method1_sgd,4,0,Class-IL,0.0
relu_0.025_method1_sgd,4,0,Task-IL,55.95
relu_0.025_method1_sgd,4,1,Class-IL,0.0
relu_0.025_method1_sgd,4,1,Task-IL,48.0
relu_0.025_method1_sgd,4,2,Class-IL,0.0
relu_0.025_method1_sgd,4,2,Task-IL,44.6
relu_0.025_method1_sgd,4,3,Class-IL,97.89999999999999
relu_0.025_method1_sgd,4,3,Task-IL,97.89999999999999
relu_0.025_method1_sgd,4,avg,Class-IL,24.48
relu_0.025_method1_sgd,4,avg,Task-IL,61.61
relu_0.025_method1_sgd,5,0,Class-IL,0.0
relu_0.025_method1_sgd,5,0,Task-IL,39.45
relu_0.025_method1_sgd,5,1,Class-IL,0.0
relu_0.025_method1_sgd,5,1,Task-IL,49.5
relu_0.025_method1_sgd,5,2,Class-IL,0.0
relu_0.025_method1_sgd,5,2,Task-IL,49.75
relu_0.025_method1_sgd,5,3,Class-IL,0.0
relu_0.025_method1_sgd,5,3,Task-IL,64.5
relu_0.025_method1_sgd,5,4,Class-IL,92.55
