task,layer,inactive_count,epoch,model
1,conv1,1,0,relu_0.1_method2_sgd
1,layer1,1,0,relu_0.1_method2_sgd
1,layer2,7,0,relu_0.1_method2_sgd
1,layer3,16,0,relu_0.1_method2_sgd
1,layer4,61,0,relu_0.1_method2_sgd
1,conv1,2,1,relu_0.1_method2_sgd
1,layer1,1,1,relu_0.1_method2_sgd
1,layer2,10,1,relu_0.1_method2_sgd
1,layer3,7,1,relu_0.1_method2_sgd
1,layer4,142,1,relu_0.1_method2_sgd
1,conv1,2,2,relu_0.1_method2_sgd
1,layer1,1,2,relu_0.1_method2_sgd
1,layer2,4,2,relu_0.1_method2_sgd
1,layer3,9,2,relu_0.1_method2_sgd
1,layer4,88,2,relu_0.1_method2_sgd
1,conv1,2,3,relu_0.1_method2_sgd
1,layer1,1,3,relu_0.1_method2_sgd
1,layer2,2,3,relu_0.1_method2_sgd
1,layer3,3,3,relu_0.1_method2_sgd
1,layer4,150,3,relu_0.1_method2_sgd
1,conv1,2,4,relu_0.1_method2_sgd
1,layer1,2,4,relu_0.1_method2_sgd
1,layer2,1,4,relu_0.1_method2_sgd
1,layer3,3,4,relu_0.1_method2_sgd
1,layer4,71,4,relu_0.1_method2_sgd
1,conv1,2,5,relu_0.1_method2_sgd
1,layer1,1,5,relu_0.1_method2_sgd
1,layer2,3,5,relu_0.1_method2_sgd
1,layer3,8,5,relu_0.1_method2_sgd
1,layer4,72,5,relu_0.1_method2_sgd
1,conv1,2,6,relu_0.1_method2_sgd
1,layer1,1,6,relu_0.1_method2_sgd
1,layer2,3,6,relu_0.1_method2_sgd
1,layer3,8,6,relu_0.1_method2_sgd
1,layer4,109,6,relu_0.1_method2_sgd
1,conv1,2,7,relu_0.1_method2_sgd
1,layer1,1,7,relu_0.1_method2_sgd
1,layer2,3,7,relu_0.1_method2_sgd
1,layer3,5,7,relu_0.1_method2_sgd
1,layer4,64,7,relu_0.1_method2_sgd
1,conv1,3,8,relu_0.1_method2_sgd
1,layer1,1,8,relu_0.1_method2_sgd
1,layer2,6,8,relu_0.1_method2_sgd
1,layer3,6,8,relu_0.1_method2_sgd
1,layer4,76,8,relu_0.1_method2_sgd
1,conv1,1,9,relu_0.1_method2_sgd
1,layer1,2,9,relu_0.1_method2_sgd
1,layer2,5,9,relu_0.1_method2_sgd
1,layer3,5,9,relu_0.1_method2_sgd
1,layer4,90,9,relu_0.1_method2_sgd
2,conv1,1,0,relu_0.1_method2_sgd
2,layer1,6,0,relu_0.1_method2_sgd
2,layer2,5,0,relu_0.1_method2_sgd
2,layer3,16,0,relu_0.1_method2_sgd
2,layer4,85,0,relu_0.1_method2_sgd
2,conv1,1,1,relu_0.1_method2_sgd
2,layer1,4,1,relu_0.1_method2_sgd
2,layer2,1,1,relu_0.1_method2_sgd
2,layer3,18,1,relu_0.1_method2_sgd
2,layer4,105,1,relu_0.1_method2_sgd
2,conv1,1,2,relu_0.1_method2_sgd
2,layer1,6,2,relu_0.1_method2_sgd
2,layer2,4,2,relu_0.1_method2_sgd
